,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,3D animator,,"June 26, 2024",2024-07-26,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 26, 2024",ICON Creative Studio Inc.,Vancouver (BC),"70,000.00 to $85,000.00 annually (to be negotiated)",2976925,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Dental plan', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits']}","Vancouver , BC","$ 70,000 to $ 85,000 YEAR annually (To be negotiated) / 40 hours per week",Term or contract Full time,Starts as soon as possible,2,Job Bank #2976925,"Benefits:Health benefits"
1,3D animator,,"June 18, 2024",2024-07-18,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 18, 2024",Undaunted Games Inc,Montréal (QC),"50,000.00 to $70,000.00 annually (to be negotiated)",2965102,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Montréal , QC Remote work available","$ 50,000 to $ 70,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,2,Job Bank #2965102,Flexible Hours
2,3D animator,,"April 22, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 22, 2024",Trubicars Ltd.,London (ON),37.50 hourly,2889124,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Parking available']}","London , ON",$ 37.50 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2889124,"Benefits:Other benefits"
3,animator - animated films,,"June 25, 2024",2024-07-25,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 25, 2024",Sony Pictures Imageworks Canada Inc.,Vancouver (BC),26.44 to $43.99 hourly (to be negotiated),2972858,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Group insurance benefits', 'Life insurance', 'Registered Retirement Savings Plan (RRSP)', 'Tax-Free Savings Account (TFSA)', 'Other benefits']}","Vancouver , BC Remote work available",$ 26.44 to $ 43.99 HOUR hourly (To be negotiated) / 40 hours per week,Term or contract Full time,Starts as soon as possible,30,Job Bank #2972858,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
4,animator - animated films,,"June 25, 2024",2024-07-25,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 25, 2024",Sony Pictures Imageworks Canada Inc.,Vancouver (BC),45.34 to $58.51 hourly (to be negotiated),2972832,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Group insurance benefits', 'Life insurance', 'Registered Retirement Savings Plan (RRSP)', 'Tax-Free Savings Account (TFSA)', 'Other benefits']}","Vancouver , BC Remote work available",$ 45.34 to $ 58.51 HOUR hourly (To be negotiated) / 40 hours per week,Term or contract Full time,Starts as soon as possible,30,Job Bank #2972832,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
5,digital animator - artist,,"April 05, 2024",2024-07-25,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 05, 2024",Ingenuity Studios Canada ULC,Vancouver (BC),32.00 to $42.00 hourly (to be negotiated),2861149,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Paid time off (volunteering or personal days)']}","1120 Hamilton Street suite 400 Vancouver , BC V6B 2S2 Remote work available",$ 32.00 to $ 42.00 HOUR hourly (To be negotiated) / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2861149,"Benefits:Health benefits, Other benefits"
6,community animator,,"June 25, 2024",2024-07-15,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 25, 2024",Centre de santé communautaire du Témiskaming,Kirkland Lake (ON),29.80 to $35.82 hourly (to be negotiated),2974922,,"{'Language Requirement': 'French', 'Experience Requirement': '5 years or more', 'Benefits': ['Group insurance benefits', 'Pension plan']}","Kirkland Lake , ON",$ 29.80 to $ 35.82 HOUR hourly (To be negotiated) / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2974922,"Benefits:Financial benefits"
7,social animator,,"June 25, 2024",2024-07-25,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 25, 2024",Parc Oméga Inc.,Montebello (QC),19.00 hourly,2973489,,"{'Language Requirement': 'Bilingual', 'Experience Requirement': 'Not specified', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits', 'Group insurance benefits', 'Life insurance', 'Pension plan', 'Long-term care insurance', 'Free parking available', 'Learning/training paid by employer', 'On-site amenities', 'On-site recreation and activities', 'Paid time off (volunteering or personal days)', 'Team building opportunities', 'Parking available', 'Wellness program']}","399 route 323 nord Montebello , QC J0V 1L0",$ 19.00 HOUR hourly / 16 to 35 hours per week,Seasonal employment Part time,Starts as soon as possible,1 vacancy,Job Bank #2973489,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
8,community animator,Title posted on Québec emploi -community animator OR community worker,"June 26, 2024",2024-08-09,,,,"June 26, 2024",CENTRE-FEMMES DU GRAND-PORTAGE,Rivière-du-Loup (QC),28.61 hourly,449978,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=449978,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Rivière-du-Loup , QC",$ 28.61 HOUR hourly / 32 hours per week,Permanent employment Full time,Starts as soon as 2024-10-16,2,Québec emploi #449978,Not specified
9,community animator,Title posted on Québec emploi -community animator OR community worker,"June 26, 2024",2024-07-15,,,,"June 26, 2024",LES PETITS FRERES DES PAUVRES,Chicoutimi (QC),19.00 hourly,449939,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=449939,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Chicoutimi , QC",$ 19.00 HOUR hourly / 35 hours per week,Seasonal employment Full time,Starts as soon as 2024-08-02,1 vacancy,Québec emploi #449939,Not specified
