,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,property appraiser,,"March 12, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 12, 2024",CUSHMAN & WAKEFIELD ULC,Toronto (ON),"50,000.00 to $60,000.00 annually (to be negotiated)",2826822,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits', 'Bonus', 'Mileage paid']}","161 Bay Street suite 1500 Toronto , ON M5J 2S1","$ 50,000 to $ 60,000 YEAR annually (To be negotiated) / 30 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2826822,"Benefits:Health benefits, Financial benefits"
1,appraisal technician,,"June 04, 2024",2024-07-04,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 04, 2024","Paris, Ladouceur & Associés inc",Laval (QC),28.00 to $30.00 hourly (to be negotiated),2946975,,"{'Language Requirement': 'French', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Mileage paid', 'Long-term care insurance', 'Free parking available', 'Learning/training paid by employer', 'On-site recreation and activities', 'Parking available']}","63 rue de la Pointe Langlois Laval , QC H7L 3J4",$ 28.00 to $ 30.00 HOUR hourly (To be negotiated) / 35 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2946975,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
2,real estate appraiser,,"June 25, 2024",Not specified,,,,"June 25, 2024",Atkinson & Asssociates,Calgary (AB),Salary not available,9337536259,https://ca.indeed.com/viewjob?jk=12b063e238162eee&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9337536259,Not specified
3,real estate appraiser,Title posted on CivicJobs.ca -Property Negotiator,"June 19, 2024",2024-07-03,,,,"June 19, 2024",Township of Langley,Langley (BC),46.07 hourly,95575,https://www.civicjobs.ca/jobs?id=95575,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Langley , BC",$ 46.07 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95575,Not specified
4,chartered business valuator (CBV),,"June 10, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 10, 2024",100+ Accounting Inc.,Edmonton (AB),40.00 to $60.00 hourly (to be negotiated),2953265,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Bonus', 'Commission', 'Gratuities', 'Stocks/shares', 'Free parking available', 'Learning/training paid by employer', 'Other benefits']}","Edmonton , AB",$ 40.00 to $ 60.00 HOUR hourly (To be negotiated) / 20 to 60 hours per week,Permanent employment Part time leading to full time,Starts as soon as possible,1 vacancy,Job Bank #2953265,"Benefits:Financial benefits, Other benefits"
5,property appraiser,Title posted on Jobillico -Estimateur,"June 17, 2024",2024-07-16,,,,"June 17, 2024",Ébénisterie G.D. Pro inc.,Montréal (QC),Salary not available,14027367,https://www.jobillico.com/en/job-offer/ebenisterie-g-d-pro-inc-.lRgiCx/estimateur/14027367?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #14027367,Not specified
6,appraisal technician,Title posted on Jobillico -Estimateur.trice,"June 12, 2024",2024-07-11,,,,"June 12, 2024",Les Entreprises Michaudville inc.,Mont-Saint-Hilaire (QC),Salary not available,9890353,https://www.jobillico.com/en/job-offer/les-entreprises-michaudville-inc-.rsyiil/estimateur.trice/9890353?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mont-Saint-Hilaire , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #9890353,Not specified
7,appraisal technician,Title posted on Jobillico -Technicien en estimation,"June 10, 2024",2024-07-09,,,,"June 10, 2024",Groupe Industries Fournier,Thetford Mines (QC),Salary not available,13979685,https://www.jobillico.com/en/job-offer/groupe-industries-fournier/technicien-en-estimation/13979685?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Thetford Mines , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13979685,Not specified
8,property appraiser,Title posted on Jobillico -Estimateur,"June 10, 2024",2024-07-09,,,,"June 10, 2024",Ébénisterie G.D. Pro inc.,Montréal (QC),Salary not available,13977906,https://www.jobillico.com/en/job-offer/ebenisterie-g-d-pro-inc-.lRgiCx/estimateur/13977906?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13977906,Not specified
9,business appraiser,Title posted on Jobillico -Directeur principal ou directrice principale en évaluation d’entreprises,"June 15, 2024",2024-07-14,,,,"June 15, 2024",Mallette,Trois-Rivières (QC),Salary not available,12290653,https://www.jobillico.com/en/job-offer/mallette/directeur-principal-ou-directrice-principale-en-eacute-valuation-d-rsquo-entreprises/12290653?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Trois-Rivières , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #12290653,Not specified
10,business appraiser,Title posted on Jobillico -Directeur principal ou directrice principale en évaluation d’entreprises,"June 15, 2024",2024-07-14,,,,"June 15, 2024",Mallette,Québec (QC),Salary not available,12290611,https://www.jobillico.com/en/job-offer/mallette/directeur-principal-ou-directrice-principale-en-eacute-valuation-d-rsquo-entreprises/12290611?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Québec , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #12290611,Not specified
11,business appraiser,Title posted on Jobillico -Directeur principal ou directrice principale en évaluation d’entreprises,"June 15, 2024",2024-07-14,,,,"June 15, 2024",Mallette,Lévis (QC),Salary not available,12290668,https://www.jobillico.com/en/job-offer/mallette/directeur-principal-ou-directrice-principale-en-eacute-valuation-d-rsquo-entreprises/12290668?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Lévis , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #12290668,Not specified
12,business appraiser,Title posted on Jobillico -Directeur principal ou directrice principale en évaluation d’entreprises,"June 15, 2024",2024-07-14,,,,"June 15, 2024",Mallette,Saint-Hyacinthe (QC),Salary not available,12290674,https://www.jobillico.com/en/job-offer/mallette/directeur-principal-ou-directrice-principale-en-eacute-valuation-d-rsquo-entreprises/12290674?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Hyacinthe , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #12290674,Not specified
13,business appraiser,Title posted on Jobillico -Directeur principal ou directrice principale en évaluation d’entreprises,"June 15, 2024",2024-07-14,,,,"June 15, 2024",Mallette,Terrebonne (QC),Salary not available,12290686,https://www.jobillico.com/en/job-offer/mallette/directeur-principal-ou-directrice-principale-en-eacute-valuation-d-rsquo-entreprises/12290686?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Terrebonne , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #12290686,Not specified
14,business appraiser,Title posted on Jobillico -Directeur principal ou directrice principale en évaluation d’entreprises,"June 15, 2024",2024-07-14,,,,"June 15, 2024",Mallette,Montréal (QC),Salary not available,12290689,https://www.jobillico.com/en/job-offer/mallette/directeur-principal-ou-directrice-principale-en-eacute-valuation-d-rsquo-entreprises/12290689?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #12290689,Not specified
