,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,assistant store manager,,"June 12, 2024",Not specified,,,,"June 12, 2024",Warehouse One - The Jean Store,Whitehorse (YT),19.00 hourly,9320084141,https://ca.indeed.com/viewjob?jk=9a825d0ac6f0ddc0&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Whitehorse , YT",$ 19.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9320084141,Not specified
1,assistant store manager,,"June 18, 2024",Not specified,,,,"June 18, 2024",LABELS-Eastgate Square,Hamilton (ON),16.55 to $17.50 hourly,9328060383,https://ca.indeed.com/viewjob?jk=416a9cee66df3835&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Hamilton , ON",$ 16.55 to $ 17.50 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9328060383,Not specified
2,assistant store manager,,"June 27, 2024",Not specified,,,,"June 27, 2024",La Canadienne Shoes,Halton Hills (ON),21.00 hourly,9340321054,https://ca.indeed.com/viewjob?jk=236d503ef30942bb&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Halton Hills , ON",$ 21.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9340321054,Not specified
3,assistant store manager,Title posted on indeed.com -Assistant Store Manager - Temporary,"June 11, 2024",Not specified,,,,"June 11, 2024",Warehouse One - The Jean Store,Moose Jaw (SK),16.50 hourly,9318327516,https://ca.indeed.com/viewjob?jk=9fe083d96f5cc265&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Moose Jaw , SK",$ 16.50 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9318327516,Not specified
4,assistant store manager,,"June 11, 2024",Not specified,,,,"June 11, 2024",Warehouse One - The Jean Store,Sherwood Park (AB),18.00 hourly,9318768772,https://ca.indeed.com/viewjob?jk=37e4a6c0d0fb36e9&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sherwood Park , AB",$ 18.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9318768772,Not specified
5,assistant store manager,,"June 12, 2024",Not specified,,,,"June 12, 2024",Tip Top Tailors Store - Bayshore Shopping Centre,Nepean (ON),Salary not available,9319817630,https://ca.indeed.com/viewjob?jk=b4a6595e94bf99f8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Nepean , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9319817630,Not specified
6,assistant store manager,,"June 24, 2024",Not specified,,,,"June 24, 2024",Tip Top - St. Laurent Shopping Centre,Ottawa (ON),Salary not available,9335678912,https://ca.indeed.com/viewjob?jk=4c6c4bcf43b32f12&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9335678912,Not specified
7,assistant store manager,,"June 24, 2024",Not specified,,,,"June 24, 2024",Tip Top - Place D'Orleans,Orleans East (ON),Salary not available,9335679698,https://ca.indeed.com/viewjob?jk=653b0b237f83eb43&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Orleans East , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9335679698,Not specified
8,assistant store manager,,"June 20, 2024",Not specified,,,,"June 20, 2024",Kent Building Supplies,Grand Falls (NB),Salary not available,9331437166,https://ca.indeed.com/viewjob?jk=e4b1058714b4a27a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Grand Falls , NB",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9331437166,Not specified
9,assistant store manager,,"June 20, 2024",Not specified,,,,"June 20, 2024",Powell's Supermarket,Bay Roberts (NL),Salary not available,9331332970,https://ca.indeed.com/viewjob?jk=1d30e42d873b512d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Bay Roberts , NL",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9331332970,Not specified
10,assistant store manager,,"June 18, 2024",Not specified,,,,"June 18, 2024",Tip Top Tailors - Vaughan Mills,Concord (ON),Salary not available,9327809745,https://ca.indeed.com/viewjob?jk=48a4197c03a84342&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Concord , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9327809745,Not specified
11,assistant store manager,,"June 18, 2024",Not specified,,,,"June 18, 2024",George Richards - Dilworth Shopping Centre,Kelowna (BC),Salary not available,9327752320,https://ca.indeed.com/viewjob?jk=92a66d51ee11c2e4&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kelowna , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9327752320,Not specified
12,assistant store manager,,"June 18, 2024",Not specified,,,,"June 18, 2024",George Richards - Millstream Village,Victoria (BC),Salary not available,9327757441,https://ca.indeed.com/viewjob?jk=809018b8030b0997&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9327757441,Not specified
13,assistant store manager,,"June 21, 2024",Not specified,,,,"June 21, 2024",Ricki's,Saskatoon (SK),Salary not available,9332859725,https://ca.indeed.com/viewjob?jk=879500b41480a7c2&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saskatoon , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9332859725,Not specified
14,assistant store manager,,"June 20, 2024",Not specified,,,,"June 20, 2024",The Hunny Pot Cannabis Co,Toronto (ON),21.00 hourly,9331399497,https://ca.indeed.com/viewjob?jk=10e080d112cb5700&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",$ 21.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9331399497,Not specified
15,assistant store manager,,"June 19, 2024",Not specified,,,,"June 19, 2024",Bath Depot / Bain Dépôt,Barrie (ON),"35,817.13 to $55,877.90 annually",9329958002,https://ca.indeed.com/viewjob?jk=e8c4f8ac5b3bec30&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Barrie , ON","$ 35,817.13 to $ 55,877.9 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9329958002,Not specified
16,assistant store manager,,"June 17, 2024",Not specified,,,,"June 17, 2024",The Salvation Army - NRO,Toronto (ON),19.69 to $24.62 hourly,9326921814,https://ca.indeed.com/viewjob?jk=473ead5ec189303e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",$ 19.69 to $ 24.62 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9326921814,Not specified
17,assistant store manager,,"June 11, 2024",Not specified,,,,"June 11, 2024",Cleo Fashions Inc,Fredericton (NB),Salary not available,9318583054,https://ca.indeed.com/viewjob?jk=1f53379891bee4e9&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Fredericton , NB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9318583054,Not specified
18,assistant store manager,,"June 14, 2024",Not specified,,,,"June 14, 2024",True Religion Brand Jeans,Halton Hills (ON),17.00 hourly,9323170665,https://ca.indeed.com/viewjob?jk=d34e070642d87614&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Halton Hills , ON",$ 17.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9323170665,Not specified
19,assistant manager - food store,Title posted on Jobillico -Assistant Store Manager,"June 25, 2024",2024-07-24,,,,"June 25, 2024",Metro,Toronto (ON),Salary not available,13498791,https://www.jobillico.com/en/job-offer/metro/assistant-store-manager/13498791?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #13498791,Not specified
20,assistant store manager,Title posted on indeed.com -Part time Assistant Store Manager,"June 24, 2024",Not specified,,,,"June 24, 2024",GUESS?. INC.,Edmonton International Airport (AB),19.00 to $21.00 hourly,9335890923,https://ca.indeed.com/viewjob?jk=993a79904bc3a9f2&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton International Airport , AB",$ 19.00 to $ 21.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9335890923,Not specified
21,assistant store manager,,"June 10, 2024",Not specified,,,,"June 10, 2024",Ricki's,Belleville (ON),Salary not available,9316713362,https://ca.indeed.com/viewjob?jk=01582f7f90dacf0c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Belleville , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9316713362,Not specified
22,assistant store manager,,"June 04, 2024",Not specified,,,,"June 04, 2024",Sukoshi Mart,Toronto (ON),18.50 to $19.00 hourly,9309014709,https://ca.indeed.com/viewjob?jk=383a3b62e150833f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",$ 18.50 to $ 19.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9309014709,Not specified
