,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,automotive service technician,,"June 13, 2024",Not specified,,,,"June 13, 2024",Arcadia Transmission and Automotive Repairs,Surrey (BC),Salary: $25.00 to $39.99 hourly,9322031279,https://ca.indeed.com/viewjob?jk=032457c4e735a986&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",$ 25.00 to $ 39.99 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9322031279,Not specified
1,automotive service technician,,"June 18, 2024",Not specified,,,,"June 18, 2024",Waterloo Honda,Waterloo (ON),Salary: $28.00 to $34.00 hourly,9328423441,https://ca.indeed.com/viewjob?jk=bdb673e6b871c9b8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Waterloo , ON",$ 28.00 to $ 34.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9328423441,Not specified
2,automotive service technician,Title posted on ZipRecruiter -Automotive Technician,"June 18, 2024",2024-07-17,,,,"June 18, 2024",KING OF CARS B.C. LTD,Langley (BC),Salary: $41.18 hourly,de28a14a4,https://www.ziprecruiter.com/k/t/AAJdbpD0-9lKrf9q9S0UNZLifEOp2PE8RkpUaMFGldvPF7Lc1Hn6WqkaqRwZLctWGLvQSX76s23yU4cP8ptzsvFy8pYpQSFmAD8i6TNmb4WK3ExE-5z15_ZNDudZixZFCRVYtMCVYUbJubU9KcTL9_Og3-mNl4pHWydtjWY-1-9xp7Ral2OoSXzT5l8GkQbkth9IJH-Vsr1vLZKj91f-vrtmBimbNfazpUwHAPFHegGnt3a-KyFbD9GI0ZpGiV8QUyaReRLfIaZyuJvjF-BgYwv7eOfxV_zwoo0XSrN2ilNzbu4hctLHyMJLjA,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Langley , BC",$ 41.18 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #de28a14a4,Not specified
3,automotive service technician,,"June 23, 2024",Not specified,,,,"June 23, 2024",LS Motorwerks,Calgary (AB),Salary: $20.00 to $40.00 hourly,9334929405,https://ca.indeed.com/viewjob?jk=db4e9e49881c8d1f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 20.00 to $ 40.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9334929405,Not specified
4,automotive service technician,Title posted on Monster -Automotive Service Technician (Audi Royal Oak),"June 17, 2024",2024-07-18,,,,"June 17, 2024",Go Auto,Calgary (AB),Salary not available,875b7935eefe45328cab9c4485a28b78,https://job-openings.monster.ca/automotive-service-technician-audi-royal-oak-calgary-ab-ca-go-auto/f44d65d5-6872-459a-845e-0bea0d40df0b?mescoid=4900868001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #875b7935eefe45328cab9c4485a28b78,Not specified
5,automotive service technician,Title posted on Monster -Automotive Service Technician (Norden Volkswagen),"June 12, 2024",2024-07-13,,,,"June 12, 2024",Go Auto,Edmonton (AB),Salary not available,fd874cfb91bb47eea326eee6450465b3,https://job-openings.monster.ca/automotive-service-technician-norden-volkswagen-edmonton-ab-ca-go-auto/bad0b929-1e87-43e6-821a-9b8b954d994b?mescoid=4900868001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #fd874cfb91bb47eea326eee6450465b3,Not specified
6,automotive service technician,Title posted on ZipRecruiter -Auto Technicians,"June 21, 2024",2024-07-20,,,,"June 21, 2024",Gold Shield Auto INC.,Brentwood Bay (BC),Salary: $41.10 hourly,2cca9f8d,https://www.ziprecruiter.com/k/t/AALzjRnZG7ByhXfJEK5oAVQx1_jxOw8gD1c_z-kQzIadURRP0twwoSgEDzmgpEpzJQx0Epj-7WHjkkR9RcU04veGSZswuoc4ggPoTCOqKKsDjxQ9wUKHgjwemGWKCodFaZBSf3aHtKjJQ7c8BgrQeARNtoIQZmT_IuxdLcooICDoLeXezftZ5IWWmIG36I93Pe5APlWq4yQco9VzKmwNvL6sy1NmOm_bntuk2fGpJ4MscQiSTwVWaYBAiSSBXFluLxn5hfArNXba9j8ImUB7K8yGs-3Hhq_GZ89Jx_MrOfBxl7x1fQ,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Brentwood Bay , BC",$ 41.10 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #2cca9f8d,Not specified
7,automotive service technician,,"June 17, 2024",Not specified,,,,"June 17, 2024",B & H Tirecraft,Chemainus (BC),Salary: $19.44 to $41.18 hourly,9326596578,https://ca.indeed.com/viewjob?jk=b873be12e116297f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Chemainus , BC",$ 19.44 to $ 41.18 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9326596578,Not specified
8,automotive service technician,Title posted on Monster -Journeyman Automotive Technician (Go Mazda),"June 19, 2024",2024-07-20,,,,"June 19, 2024",Go Auto,Edmonton (AB),Salary not available,301d2ad983aa4fd9b4e368e09a338e87,https://job-openings.monster.ca/journeyman-automotive-technician-go-mazda-edmonton-ab-ca-go-auto/55ca5ff3-bdcf-47ae-aa23-dde0632fc2b0?mescoid=4900868001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #301d2ad983aa4fd9b4e368e09a338e87,Not specified
9,automotive service technician,,"June 14, 2024",Not specified,,,,"June 14, 2024",Jack Carter Chevrolet Buick GMC,Calgary (AB),Salary not available,9323832555,https://ca.indeed.com/viewjob?jk=5ceb48ae3069cba7&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9323832555,Not specified
