,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,building superintendent,Title posted on Monster -Site Superintendent,"June 21, 2024",2024-07-22,,,,"June 21, 2024",Rohit Group,Calgary (AB),Salary not available,yPSkvAYksQ,https://job-openings.monster.ca/site-superintendent-calgary-ab-ca-rohit-group/2d451e0e-e94a-429c-9824-ef8fe85ad8e9?mescoid=1100034001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #yPSkvAYksQ,Not specified
1,building superintendent,Title posted on Monster -Building Superintendent (live out),"June 26, 2024",2024-07-27,,,,"June 26, 2024",Accommod8U,Waterloo (ON),Salary not available,9e7c635d8a21357daffe5d1de719a178,https://job-openings.monster.ca/building-superintendent-live-out-waterloo-on-ca-accommod8u/bf892470-e5fe-43d2-bcf7-aa493be820a6?mescoid=1100034001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Waterloo , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #9e7c635d8a21357daffe5d1de719a178,Not specified
2,building superintendent,Title posted on Monster -Assistant Site Superintendent North Bay,"June 18, 2024",2024-07-19,,,,"June 18, 2024",SearchLabs,North Bay (ON),Salary not available,630029000018196096,https://job-openings.monster.ca/assistant-site-superintendent-north-bay-north-bay-north-on-ca-searchlabs/87c70402-03fc-4cda-9022-e94e0ae9b683?mescoid=1100034001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North Bay , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #630029000018196096,Not specified
3,building superintendent,Title posted on Monster -Site Superintendent,"June 07, 2024",2024-07-08,,,,"June 07, 2024",Casman Inc,Fort McMurray (AB),Salary not available,fb3d6eff-684a-eea2-b6cd-6a0f2abf56a7,https://job-openings.monster.ca/site-superintendent-fort-mcmurray-ab-ca-casman-inc/407cb1aa-bcce-4d9a-8f32-607648405193?mescoid=1100034001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Fort McMurray , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #fb3d6eff-684a-eea2-b6cd-6a0f2abf56a7,Not specified
4,"superintendent, building",Title posted on indeed.com -Building Superintendent,"June 21, 2024",Not specified,,,,"June 21, 2024",Springfield Janitorial Service,Markham (ON),20.00 hourly,9333755760,https://ca.indeed.com/viewjob?jk=51f5c090ea965c80&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Markham , ON",$ 20.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9333755760,Not specified
5,building superintendent,Title posted on Monster -Site Superintendent Level 2,"June 26, 2024",2024-07-27,,,,"June 26, 2024",Genmec ACL,Bonnyville (AB),Salary not available,GF226,https://job-openings.monster.ca/site-superintendent-level-2-bonnyville-ab-ca-genmec-acl/161bf434-3fb9-4242-aff4-a8f98449c097?mescoid=1100034001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Bonnyville , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #GF226,Not specified
6,"superintendent, building",Title posted on indeed.com -Building Superintendent,"June 03, 2024",Not specified,,,,"June 03, 2024",FirstService Residential Ontario,Toronto (ON),"39,000.00 annually",9306564146,https://ca.indeed.com/viewjob?jk=25a1bbbc77d6045d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON","$ 39,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9306564146,Not specified
7,building superintendent,Title posted on CivicJobs.ca -Building Department Manager,"June 21, 2024",2024-07-07,,,,"June 21, 2024",City of Penticton,Penticton (BC),"110,420.00 annually",95654,https://www.civicjobs.ca/jobs?id=95654,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Penticton , BC","$ 110,420 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95654,Not specified
8,building superintendent,,"June 07, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 07, 2024",BUJOR.CO BUILDING MAINTENANCE,Vancouver (BC),29.00 hourly,2951728,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': ['Bonus', 'Free parking available', 'Team building opportunities', 'Parking available']}","Vancouver , BC",$ 29.00 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2951728,"Benefits:Financial benefits, Other benefits"
9,building superintendent,Title posted on ZipRecruiter -Live-in Building superintendent - Accommodations Provided!,"June 20, 2024",2024-07-19,,,,"June 20, 2024",Paramount Properties,Ottawa (ON),"41,143.80 annually",bab5702e8,https://www.ziprecruiter.com/k/t/AALVW5TkpvoUDkre7SOhKdq6M8uP7yLbju7ibd_PLjlkjM0AzyvwXeQ8wvoWlVmRDL0pC9f1j7bRPhuDtljeO0joNXTyR2PD-K1SK8s_VnEYnWtKJaAhpPxnmvN5QsBtVhq7Xr9F-2M8HAxffg9_GqS8gkkHQLViIjreGgGH_xK9FvDk7BTjo4j6gfvsHt-NO_Y-Mii79bRR9_8zna7w7EHM5S9-tMn6M3tkta1LIfKFFE_-6ekitI12Q_PFhyCWEUNnNjttlVNe0SmL8LLTiUKTjYlNhT39cnnz3Z4HwUUjEcZnLQhzxQXIV6Bo2QNOqM-Rl2cxatELXujp2ddaxNAHKj0NWUx3ofQy4_o,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON","$ 41,143.8 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #bab5702e8,Not specified
