,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,call centre agent - customer service,,"June 25, 2024",2024-07-09,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 25, 2024",Foundever,"LocationGatineau, QC",16.75 hourly,2969632,,"{'Language Requirement': 'Bilingual', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Group insurance benefits', 'Life insurance', 'Long-term care insurance', 'Learning/training paid by employer', 'Wellness program']}","Virtual job based in Gatineau, QC",$ 16.75 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,10,Job Bank #2969632,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
1,call centre agent - customer service,,"June 24, 2024",2024-07-08,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 24, 2024",Foundever,"LocationSudbury, ON",19.20 hourly,2969657,,"{'Language Requirement': 'Bilingual', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Group insurance benefits', 'Life insurance', 'Long-term care insurance', 'Learning/training paid by employer', 'Wellness program']}","Virtual job based in Sudbury, ON",$ 19.20 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,10,Job Bank #2969657,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
2,call centre agent - customer service,,"June 24, 2024",2024-07-08,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 24, 2024",Foundever,"LocationWindsor, ON",19.20 hourly,2969652,,"{'Language Requirement': 'Bilingual', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Group insurance benefits', 'Life insurance', 'Long-term care insurance', 'Learning/training paid by employer', 'Wellness program']}","Virtual job based in Windsor, ON",$ 19.20 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,10,Job Bank #2969652,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
3,call centre agent - customer service,,"June 24, 2024",2024-07-08,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 24, 2024",Foundever,"LocationWelland, ON",19.20 hourly,2969643,,"{'Language Requirement': 'Bilingual', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Group insurance benefits', 'Life insurance', 'Long-term care insurance', 'Learning/training paid by employer', 'Wellness program']}","Virtual job based in Welland, ON",$ 19.20 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,10,Job Bank #2969643,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
4,call centre agent - customer service,,"June 24, 2024",2024-07-08,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 24, 2024",Foundever,"LocationToronto, ON",19.20 hourly,2969637,,"{'Language Requirement': 'Bilingual', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Group insurance benefits', 'Life insurance', 'Long-term care insurance', 'Learning/training paid by employer', 'Wellness program']}","Virtual job based in Toronto, ON",$ 19.20 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,10,Job Bank #2969637,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
5,call centre agent - customer service,,"June 24, 2024",2024-07-08,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 24, 2024",Foundever,"LocationOttawa, ON",19.20 hourly,2969635,,"{'Language Requirement': 'Bilingual', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Group insurance benefits', 'Life insurance', 'Long-term care insurance', 'Learning/training paid by employer', 'Wellness program']}","Virtual job based in Ottawa, ON",$ 19.20 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,10,Job Bank #2969635,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
6,customer service representative - call centre,,"May 21, 2024",2024-07-08,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 21, 2024","Inspire Direct Marketing, Inc.","LocationSt. Catharines, ON",20.00 to $24.00 hourly (to be negotiated),2925319,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits', 'Bonus', 'Group insurance benefits', 'Life insurance', 'Learning/training paid by employer', 'Paid time off (volunteering or personal days)', 'Team building opportunities', 'Travel insurance', 'Wellness program']}","Virtual job based in St. Catharines, ON",$ 20.00 to $ 24.00 HOUR hourly (To be negotiated) / 40 hours per week,Permanent employment Full time,Starts as soon as possible,8,Job Bank #2925319,"Benefits:Health benefits, Financial benefits, Other benefits"
7,"guard, security",Title posted on indeed.com -Security Guard,"June 18, 2024",Not specified,,,,"June 18, 2024",Integrity Investigative Solutions Limited,Belleville (ON),17.00 to $20.00 hourly,9328624725,https://ca.indeed.com/viewjob?jk=73ccb18116a24d4d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Belleville , ON",$ 17.00 to $ 20.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9328624725,Not specified
8,"guard, security",Title posted on indeed.com -Security Guard,"June 24, 2024",Not specified,,,,"June 24, 2024",Canadian Security Services.,Greater Napanee (ON),16.55 hourly,9336595166,https://ca.indeed.com/viewjob?jk=4aa73b95171dab90&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Greater Napanee , ON",$ 16.55 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9336595166,Not specified
9,security officer,Title posted on Monster -(CAN) ASSET PROTECTION ASSOCIATE,"June 21, 2024",2024-07-22,,,,"June 21, 2024",Walmart Canada,Trenton (ON),Salary not available,R-1909583-1,https://job-openings.monster.ca/can-asset-protection-associate-trenton-on-ca-walmart-canada/e9c48885-886b-47a2-94ff-9d130c18f702?mescoid=3300600001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Trenton , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #R-1909583-1,Not specified
