,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,chemical engineer,"Title posted on Jobboom -Technical Sales Representative, Industrial Water Treatment","June 11, 2024",2024-06-24,,,,"June 11, 2024",Ecolab Ltée,Montréal (QC),Salary not available,3259394,https://www.jobboom.com/en/job-offer/technical-sales-representative-industrial-water-treatment_ecolab-ltd_p3259394,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobboom #3259394,Not specified
1,chemical process engineer,"Title posted on JobsMedia.ca -CPI in pharmaceutical processes ? Montreal, Métro du Collège","May 31, 2024",2024-06-30,,,,"May 31, 2024",Laporte,Saint-Laurent (QC),Salary not available,104244,https://lemarche.co/en/offer/cpi-in-pharmaceutical-processes-montreal-metro-du-college/104244?utm_campaign=jobbank_jobs_apply&utm_source=jobbank_jobs_apply&utm_medium=organic,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Laurent , QC",Not available,Not specified,Starts as soon as 2024-08-02,1 vacancy,JobsMedia.ca #104244,Not specified
2,chemical process control engineer,,"May 03, 2024",2024-07-15,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 03, 2024",Synnovate Inc.,Thornhill (ON),Salary: $43.00 hourly,2904843,,"{'Language Requirement': 'Bilingual', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","Thornhill , ON",$ 43.00 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2904843,"Day, Weekend, Morning"
3,chief process engineer,,"June 13, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 13, 2024",Gill HS Renovations and construction Inc.,Sudbury (ON),Salary: $43.00 to $49.00 hourly (to be negotiated),2959295,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","124 Loudres Street Sudbury , ON P3B 2V4",$ 43.00 to $ 49.00 HOUR hourly (To be negotiated) / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2959295,"Day, Evening, Morning"
4,chief process engineer,,"April 22, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 22, 2024",SRK Construction Ltd,Edmonton (AB),Salary: $65.00 hourly,2889420,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","4204 26 Ave NW Edmonton , AB T6L 4G7",$ 65.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2889420,"Day, Evening, Weekend, Overtime, Morning"
5,chemical engineer,Title posted on Jobillico -Ingénieur chimiste,"June 14, 2024",2024-07-13,,,,"June 14, 2024",Ressorts Liberté,Montmagny (QC),Salary not available,13590900,https://www.jobillico.com/en/job-offer/ressorts-liberte/ingenieur-chimiste/13590900?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montmagny , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13590900,Not specified
6,chemical engineer,Title posted on Jobillico -Ingénieur chimiste,"June 04, 2024",2024-07-03,,,,"June 04, 2024",Ultium CAM GP Inc.,Bécancour (QC),Salary not available,13540665,https://www.jobillico.com/en/job-offer/ultium-cam-gp-inc/ingenieur-chimiste/13540665?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Bécancour , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13540665,Not specified
7,chemical project engineer,Title posted on Jobillico -Chargé de projet,"June 15, 2024",2024-07-14,,,,"June 15, 2024",Groupe GÉOS inc.,Drummondville (QC),Salary: $26.00 to $40.00 hourly,13243636,https://www.jobillico.com/en/job-offer/groupe-geos-inc/charge-de-projet/13243636?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Drummondville , QC",$ 26.00 to $ 40.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13243636,Not specified
8,chemical project engineer,Title posted on Jobillico -Chargé de projet,"June 15, 2024",2024-07-14,,,,"June 15, 2024",Groupe GÉOS inc.,Québec (QC),Salary: $26.00 to $36.00 hourly,13243544,https://www.jobillico.com/en/job-offer/groupe-geos-inc/charge-de-projet/13243544?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Québec , QC",$ 26.00 to $ 36.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13243544,Not specified
9,chemical process engineer,Title posted on Jobillico -Ingénieur chimique,"June 11, 2024",2024-07-10,,,,"June 11, 2024","Epsilyte Canada, ULC",Baie-d'Urfé (QC),"Salary: $73,000.00 to $80,000.00 annually",13989330,https://www.jobillico.com/en/job-offer/epsilyte-canada-ulc/ingenieur-chimique/13989330?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Baie-d'Urfé , QC","$ 73,000 to $ 80,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13989330,Not specified
10,chemical process engineer,Title posted on Jobillico -Ingénieur Procédé Chimique,"June 16, 2024",2024-07-15,,,,"June 16, 2024",Blue Solutions Canada,Boucherville (QC),Salary not available,13607586,https://www.jobillico.com/en/job-offer/blue-solutions-canada/ingenieur-e-procede-chimique/13607586?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Boucherville , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13607586,Not specified
11,chemical process engineer,Title posted on Jobillico -Ingénieur - Procédés,"June 12, 2024",2024-07-11,,,,"June 12, 2024",Vergers Leahy Inc.,Franklin (QC),Salary not available,12545113,https://www.jobillico.com/en/job-offer/les-vergers-leahy-inc/ingenieur-procedes-/12545113?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Franklin , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #12545113,Not specified
12,chemical process engineer,Title posted on Jobillico -Ingénieur des procédés chimiques,"June 12, 2024",2024-07-11,,,,"June 12, 2024",MAgroup Tecnickrome,Pointe-aux-Trembles (QC),Salary not available,13997727,https://www.jobillico.com/en/job-offer/magroup-tecnickrome/ingenieur-des-procedes-chimiques/13997727?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Pointe-aux-Trembles , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13997727,Not specified
13,chemical project engineer,Title posted on Jobillico -Ingénieur chargé de projets - Traitement des eaux,"June 11, 2024",2024-07-10,,,,"June 11, 2024",Tetra Tech,Sherbrooke (QC),Salary not available,11678208,https://www.jobillico.com/en/job-offer/tetra-tech/ingenieur-charge-de-projets-traitement-des-eaux/11678208?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sherbrooke , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #11678208,Not specified
14,chemical project engineer,Title posted on Jobillico -Chargé de projet,"June 10, 2024",2024-07-09,,,,"June 10, 2024",Groupe GÉOS inc.,Lévis (QC),Salary not available,13077504,https://www.jobillico.com/en/job-offer/groupe-geos-inc/charge-de-projet/13077504?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Lévis , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13077504,Not specified
15,electrochemical engineer,,"April 18, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 18, 2024",Micromatter Technologies Inc.,Surrey (BC),Salary: $42.50 hourly,2885701,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Dental plan', 'Vision care benefits', 'Group insurance benefits']}","Surrey , BC",$ 42.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2885701,"Benefits:
					Health benefits, Financial benefits"
16,chemical process engineer,Title posted on Jobillico -Ingénieur de procédés,"June 05, 2024",2024-07-04,,,,"June 05, 2024",Ultium CAM GP Inc.,Bécancour (QC),Salary not available,13198741,https://www.jobillico.com/en/job-offer/ultium-cam-gp-inc/ingenieur-de-procedes-/13198741?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Bécancour , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13198741,Not specified
17,chemical process engineer,Title posted on JobsMedia.ca -Ingénieur de procédés,"May 28, 2024",2024-06-27,,,,"May 28, 2024",Sogenix Groupe Conseil,Chambly (QC),Salary not available,104091,https://lemarche.co/fr/offre/ingenieure-de-procedes/104091?utm_campaign=jobbank_jobs_apply&utm_source=jobbank_jobs_apply&utm_medium=organic,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Chambly , QC",Not available,Full time,Starts as soon as possible,1 vacancy,JobsMedia.ca #104091,Not specified
18,fuels engineer,,"May 20, 2024",2024-07-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 20, 2024",mtls aerostructure,Saint-Laurent (QC),Salary: $50.00 to $80.00 hourly (to be negotiated),2925948,,"{'Language Requirement': 'Bilingual', 'Experience Requirement': '5 years or more', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Vision care benefits', 'Group insurance benefits', 'Life insurance', 'Pension plan']}","Saint-Laurent , QC",$ 50.00 to $ 80.00 HOUR hourly (To be negotiated) / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2925948,"Benefits:
					Health benefits, Financial benefits"
19,chief process engineer,Title posted on Québec emploi -Ingénieur de projet (mécanique de procédé),"June 21, 2024",2024-07-25,,,,"June 21, 2024",TECHNOGENIE RESSOURCES PLUS   INC.,Montréal (QC),"Salary: $90,000.00 annually",449532,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=449532,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC","$ 90,000 YEAR annually / 40 hours per week",Permanent employment Full time,Starts as soon as 2024-08-01,1 vacancy,Québec emploi #449532,In-house position at the agency
20,chief process engineer,,"June 10, 2024",2024-07-10,Job Bank,,This job posting is advertised by a recruitment agency on behalf of the employer.,"June 10, 2024",TechnoGénie - Chasseurs de Talents,Québec (QC),"Salary: $85,000.00 to $95,000.00 annually (to be negotiated)",2953604,,"{'Language Requirement': 'French', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['As per collective agreement', 'Registered Retirement Savings Plan (RRSP)', 'Free parking available', 'Paid time off (volunteering or personal days)', 'Wellness program']}","Québec , QC","$ 85,000 to $ 95,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2953604,Permanent placement opportunity
21,biochemical engineer,Title posted on Jobillico -Ingénieur électrique,"June 10, 2024",2024-07-09,,,,"June 10, 2024",Sherbrooke OEM ltée,Sherbrooke (QC),Salary not available,13983675,https://www.jobillico.com/en/job-offer/sherbrooke-oem-ltee.kUmaEq/ingenieur-electrique/13983675?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sherbrooke , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13983675,Not specified
22,biochemical engineer,Title posted on Jobillico -Ingénieur en Matériaux R&D,"June 10, 2024",2024-07-09,,,,"June 10, 2024",Sherbrooke OEM ltée,Sherbrooke (QC),Salary not available,13983672,https://www.jobillico.com/en/job-offer/sherbrooke-oem-ltee.kUmaEq/ingenieur-en-materiaux-r-amp-d/13983672?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sherbrooke , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13983672,Not specified
23,chief process engineer,,"February 28, 2024",2024-06-27,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"February 28, 2024",Woodfibre Management Ltd,Various locations,"Salary: $150,000.00 to $180,000.00 annually (to be negotiated)",2816265,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Dental plan', 'Health care plan', 'Bonus', 'Paid time off (volunteering or personal days)']}","Various locations Vancouver , , BC Squamish , , BC","$ 150,000 to $ 180,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2816265,"Benefits:
					Health benefits, Financial benefits, Other benefits"
