,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,civil engineer,Title posted on ZipRecruiter -Civil Engineering Technologist,"June 11, 2024",2024-07-10,,,,"June 11, 2024",Aptus Engineering Ltd.,Red Deer (AB),Salary: $41.26 hourly,1b1e8e57,https://www.ziprecruiter.com/k/t/AAJ2Grdl98NczSfXmYjQsKsM-oNrBOKoq6wIurVhWyQlLCLZZkmOyxqPq7MVfB5h9nx5CrWsq1CRbE5wBCo5WdPM3vhbpeyiOCYR3DNv5rHtkluj35ZGdswB_PB7C3mLOsnCxFJbjxEEKcsTS2gCMpfTubK1bcZh9A7UOzgDfL1pFna7wpgwqbtBPP4_hGoqaDKsx87G9QC9tbqwWrwFWmVAVhMS2lnpTza6QIekf3QxiRo1qz5JTJ6F-qnvo70Iz86pkg5g41Ym62zUWuHPdRGc1y8eCppTeW-hzQFtUjVcEkRZ8yrBwokpV9RWvIRk2QLwxA,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Red Deer , AB",$ 41.26 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #1b1e8e57,Not specified
1,civil engineer,,"June 06, 2024",Not specified,,,,"June 06, 2024",Canadian Nuclear Laboratories,Chalk River (ON),"Salary: $105,800.00 annually",9312082000,https://ca.indeed.com/viewjob?jk=bed83f2d5e7490db&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Chalk River , ON","$ 105,800 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9312082000,Not specified
2,civil engineer,"Title posted on Monster -Program Administrator, Civil Engineering","June 19, 2024",2024-07-20,,,,"June 19, 2024",The University of Calgary,Calgary (AB),Salary not available,32089-1A,https://job-openings.monster.ca/program-administrator-civil-engineering-calgary-ab-ca-the-university-of-calgary/ae492325-63f4-4693-836a-446d6f77381e?mescoid=1300093001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #32089-1A,Not specified
3,civil engineer,Title posted on Monster -Civil Engineer ( Junior or Intermediate ),"June 20, 2024",2024-07-21,,,,"June 20, 2024",ZE Power Engineering,Richmond (BC),Salary not available,173609546,https://job-openings.monster.ca/civil-engineer-junior-or-intermediate-richmond-bc-ca-ze-power-engineering/1c2cd479-a485-4e3f-b449-fc35c936817b?mescoid=1700166001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #173609546,Not specified
4,civil engineer,Title posted on Monster -Civil Engineer ( Junior or Intermediate ),"June 20, 2024",2024-07-23,,,,"June 20, 2024",ze,Richmond (BC),Salary not available,1900,https://job-openings.monster.ca/civil-engineer-junior-or-intermediate-richmond-bc-ca-ze/ba31a10a-d8ee-4bf1-af52-e559943f9ae5?mescoid=1700166001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #1900,Not specified
5,civil engineer,Title posted on CivicJobs.ca -Civil Engineer I,"June 20, 2024",2024-07-18,,,,"June 20, 2024",City of Vancouver,Vancouver (BC),"Salary: $75,410.00 annually",95617,https://www.civicjobs.ca/jobs?id=95617,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC","$ 75,410 YEAR annually",Term or contract Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95617,Not specified
6,civil engineer,Title posted on Monster -Civil Engineer in Training,"June 21, 2024",2024-07-22,,,,"June 21, 2024",Stantec,Charlottetown (PE),Salary not available,464677F3AE384FBFAE9F9908A30B7AEC,https://job-openings.monster.ca/civil-engineer-in-training-charlottetown-pe-ca-stantec/f099f801-ac58-48c2-8c1b-a0ae9f1aff97?mescoid=1700166001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Charlottetown , PE",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #464677F3AE384FBFAE9F9908A30B7AEC,Not specified
7,civil engineer,Title posted on Monster -Civil Engineer in Training,"June 21, 2024",2024-07-22,,,,"June 21, 2024",Stantec,Dartmouth (NS),Salary not available,E2B95F6ABFBD42B59D65A6B1292856D9,https://job-openings.monster.ca/civil-engineer-in-training-dartmouth-ns-ca-stantec/5f81699a-fa74-41d1-8e61-813c2605938c?mescoid=1700166001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Dartmouth , NS",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #E2B95F6ABFBD42B59D65A6B1292856D9,Not specified
8,civil engineer,Title posted on Monster -Civil Engineer-In-Training,"June 21, 2024",2024-07-22,,,,"June 21, 2024",WSP USA,Summerside (PE),Salary not available,7FDD72A6E7A74F97BE1C60FAF5E27A7B,https://job-openings.monster.ca/civil-engineer-in-training-summerside-pe-ca-wsp-usa/de681624-b60b-417b-bffd-fe28d4c92036?mescoid=1700166001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Summerside , PE",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #7FDD72A6E7A74F97BE1C60FAF5E27A7B,Not specified
9,civil engineer,Title posted on indeed.com -Intermediate Civil Engineer,"May 31, 2024",Not specified,,,,"May 31, 2024",InfraCor Consulting Ltd.,Winnipeg (MB),"Salary: $65,000.00 to $95,000.00 annually",9312139568,https://ca.indeed.com/viewjob?jk=631f1e83352f18d8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB","$ 65,000 to $ 95,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9312139568,Not specified
