,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,public relations specialist,,"June 17, 2024",Not specified,,,,"June 17, 2024",Alberta Co-op Taxi Line Ltd.,Edmonton (AB),"40,000.00 to $50,000.00 annually",9326824324,https://ca.indeed.com/viewjob?jk=577e2116be5885c2&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB","$ 40,000 to $ 50,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9326824324,Not specified
1,labour relations specialist,,"June 18, 2024",Not specified,,,,"June 18, 2024",McAsphalt Industries Limited,Hamilton (ON),"60,000.00 to $73,000.00 annually",9328293156,https://ca.indeed.com/viewjob?jk=54939f9198ec39e8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Hamilton , ON","$ 60,000 to $ 73,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9328293156,Not specified
2,labour relations specialist,,"May 28, 2024",2024-06-28,,,,"May 28, 2024",Kwantlen Polytechnic University,Langley (BC),"79,731.00 annually",94901,https://www.civicjobs.ca/jobs?id=94901,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Langley , BC","$ 79,731 YEAR annually",Term or contract Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #94901,Not specified
3,labour relations specialist,Title posted on CivicJobs.ca -Labour Relations Consultant,"June 14, 2024",2024-06-28,,,,"June 14, 2024",City of Vancouver,Vancouver (BC),"111,139.00 annually",95464,https://www.civicjobs.ca/jobs?id=95464,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC","$ 111,139 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95464,Not specified
4,public relations specialist,"Title posted on Monster -Global Director, Communications and Public Relations","June 10, 2024",2024-07-11,,,,"June 10, 2024",WSP USA,Montréal (QC),Salary not available,DAB93E2B19F84552933CAE200627774D,https://job-openings.monster.ca/global-director-communications-public-relations-montreal-qc-ca-wsp-usa/481d1977-8473-49ce-8204-cabea632af5f?mescoid=1100009001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #DAB93E2B19F84552933CAE200627774D,Not specified
5,public relations specialist,Title posted on Monster -PR Influencer Specialist,"June 06, 2024",2024-07-07,,,,"June 06, 2024",Psycho Bunny Inc,Montréal (QC),Salary not available,1343,https://job-openings.monster.ca/pr-influencer-specialist-montreal-qc-ca-psycho-bunny-inc/9ab5e238-1e08-4f5b-9f3d-41a58113d6ed?mescoid=2700438001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #1343,Not specified
6,public relations specialist,"Title posted on ZipRecruiter -Advertising, Marketing and Public Relations Manager","June 07, 2024",2024-07-06,,,,"June 07, 2024",Hochi & Rasamy Inc.,London (ON),75.61 hourly,26196082,https://www.ziprecruiter.com/k/t/AALUrD6fMzk_tSabwviN4hHaSjGloO0RzMOg2pJBsSvyeSa5jEauNe12ALOj2O1PjueK44XwkCtZIU6czitri_P7VoSgRFZjOuglxzOPomKhFVSn7UZ9klWXzfZ6P00oh5k31iuTL88kZ_8vzanFTNkNVHER_ytCM_WRYajjUYUOGLDPGH6qWDW91a7V4YNE_jz_taQ3wx9JxvSNGA9r_w6BmbC3HEjvBSsI8yqN-VwViNCdTSKuajKQMWt-tX8enwvy9BZOCcBmUIMfILz0TCEZ7mljaZHcwPp01T6lXsINwxcQOq5O3Kr4JVMY0Cg7HKMcuAumUHfc0LvINw2NwgVibw,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","London , ON",$ 75.61 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #26196082,Not specified
7,public relations specialist,Title posted on Monster -Public Relations Administrative Coordinator,"June 17, 2024",2024-07-18,,,,"June 17, 2024",Le Groupe Aldo Inc,Montréal (QC),Salary not available,010206,https://job-openings.monster.ca/public-relations-administrative-coordinator-montreal-qc-ca-le-groupe-aldo-inc/e45d722e-b661-4550-bd61-d1c1439ebb94?mescoid=4300692001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #010206,Not specified
8,Client base development specialist,,"June 19, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 19, 2024",Sedgwick Strategies Inc.,Delta (BC),29.00 hourly,2967709,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Delta , BC",$ 29.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2967709,Not specified
9,Client base development specialist,,"May 17, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 17, 2024",Agence Canard Noir Inc,Montréal (QC),27.47 hourly,2921532,,"{'Language Requirement': 'Bilingual', 'Experience Requirement': '5 years or more', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Commission']}","Montréal , QC Remote work available",$ 27.47 HOUR hourly / 30 hours per week Minimum wage is guaranteed,Term or contract Full time,Starts as soon as possible,1 vacancy,Job Bank #2921532,"Benefits:Health benefits, Financial benefits"
10,client service clerk,Title posted on ZipRecruiter -Bilingual ( French )Client Service Representative( ON and Quebec only),"June 17, 2024",2024-07-16,,,,"June 17, 2024",Legal Aid Ontario,Toronto (ON),"72,738.34 annually",faaf99f1,https://www.ziprecruiter.com/k/t/AAL_m-mkHHgXckozYeLNmvODeHS9SBxgwcKlOAYXb2UB7J9k0gYEnaVXXC87tRCxJnd4h7SSxTAwP7P_jTu3hVugBVV-kpelAm82b2rhsN5rYDqlu3dQRlY_MI3DipvlYr65SbI4TyrKWe2Ls1eQxX5AleMWPsFKCLEEqHzQTvrxVUfzz0GFWpo4lhWmhHhAEaZWqe_gEJI6g7Dvpq3h32VHDmkSjKGfIV1AGMmlgMGUQefFgc5Y5VOMyjuR62pKbtyJuXZbHPpKyaHvQ0HMILGuyBZI_3Wr9djxJnq2nikf5YHMNyF2eLAoaCUto1Rled3Kq-7O3uoqpZDCj1Rt2EgHyKl29RkGS9kE5EBWAl-9kTA,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON","$ 72,738.34 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #faaf99f1,Not specified
