,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,apartment building concierge,Title posted on Jobillico -Concierge,"June 20, 2024",2024-07-19,,,,"June 20, 2024",Sunrise Senior Living,Markham (ON),Salary not available,13472592,https://www.jobillico.com/en/job-offer/sunrise-senior-living/concierge/13472592?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Markham , ON",Not available,Part time,Starts as soon as possible,1 vacancy,Jobillico #13472592,Not specified
1,apartment building concierge,Title posted on Jobillico -Concierge,"June 16, 2024",2024-07-15,,,,"June 16, 2024",Sunrise Senior Living,Victoria (BC),Salary not available,14024526,https://www.jobillico.com/en/job-offer/sunrise-senior-living/concierge/14024526?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC",Not available,Part time,Starts as soon as possible,1 vacancy,Jobillico #14024526,Not specified
2,apartment building concierge,,"June 13, 2024",2024-07-18,,,,"June 13, 2024",LES IMMEUBLES CHANTAL ET  MARTIN INC.,Chicoutimi (QC),Salary: $20.00 weekly,447934,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=447934,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Chicoutimi , QC",$ 20 WEEKLY weekly / 40 hours per week,Permanent employment Full time,Starts as soon as 2024-07-13,1 vacancy,Québec emploi #447934,Not specified
3,"concierge, office building",,"June 13, 2024",2024-07-19,,,,"June 13, 2024",LES IMMEUBLES CHANTAL ET  MARTIN INC.,Chicoutimi (QC),Salary: $18.00 weekly,447932,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=447932,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Chicoutimi , QC",$ 18 WEEKLY weekly / 40 hours per week,Permanent employment Full time,Starts as soon as 2024-10-03,1 vacancy,Québec emploi #447932,Not specified
4,custodian,Title posted on Jobillico -Resident concierge in Laval,"June 06, 2024",2024-07-05,,,,"June 06, 2024",COGIR Immobilier,Laval (QC),Salary not available,13961127,https://www.jobillico.com/en/job-offer/cogir-immobilier/resident-concierge-in-laval/13961127?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Laval , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #13961127,Not specified
5,janitor,,"June 25, 2024",2024-07-25,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 25, 2024",E&M maintenance services LTD,Yellowknife (NT),Salary: $25.00 hourly,2974315,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Yellowknife , NT",$ 25.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2974315,Not specified
6,head janitor,,"June 24, 2024",2024-07-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 24, 2024",Landmark Building Maintenance Corporation,Delta (BC),Salary: $29.75 hourly,2973460,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","7511 116 Street Delta , BC V4C 5T1",$ 29.75 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,5,Job Bank #2973460,"Day, Evening, Flexible Hours, Morning"
7,janitor supervisor,,"June 24, 2024",2024-07-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 24, 2024",PROFESSIONAL CLEANING LTD.,Edmonton (AB),Salary: $23.50 hourly,2972802,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","Edmonton , AB",$ 23.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2972802,Not specified
8,"custodian, building",,"June 24, 2024",2024-07-15,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 24, 2024",Timmins Finnish Seniors' Home Inc.,South Porcupine (ON),Salary: $20.00 hourly,2968255,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","231 Huot Street South Porcupine , ON P0N 1H0",$ 20.00 HOUR hourly / 15 hours per week,Permanent employment Part time,Starts as soon as 2024-08-15,1 vacancy,Job Bank #2968255,"Morning, 08:00 to 11:00"
9,head caretaker,,"June 24, 2024",2024-07-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 24, 2024",LES DISQUES DUE BÉLIER INC.,Mirabel (QC),Salary: $20.00 hourly,2972386,,"{'Language Requirement': 'English or French', 'Experience Requirement': 'Will train', 'Benefits': ['Health care plan']}","17587 De Chenonceau Mirabel , QC J7J 0S3",$ 20.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2972386,"Benefits:
					Health benefits"
10,heavy-duty cleaner,,"June 23, 2024",2024-07-23,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 23, 2024",Big Guns Property Maintenance Ltd.,Aldersyde (AB),Salary: $19.00 to $24.00 hourly (to be negotiated),2972192,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Aldersyde , AB",$ 19.00 to $ 24.00 HOUR hourly (To be negotiated) / 32 to 44 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2972192,"Day, Evening, Night, Weekend, Shift, Overtime, On Call, Flexible Hours, To be determined, Early Morning, Morning"
11,building caretaker,,"June 22, 2024",2024-07-06,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 22, 2024",Lion's Gate Building Maintenance Ltd.,Vancouver (BC),Salary: $17.40 to $24.00 hourly (to be negotiated),2971711,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Vancouver , BC",$ 17.40 to $ 24.00 HOUR hourly (To be negotiated) / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2971711,"Day, Weekend, Overtime, Flexible Hours, Early Morning, Morning"
12,head custodian - cleaning services,,"June 22, 2024",2024-07-06,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 22, 2024",Lion's Gate Building Maintenance Ltd.,Vancouver (BC),Salary: $18.00 to $28.85 hourly (to be negotiated),2971709,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Vancouver , BC",$ 18.00 to $ 28.85 HOUR hourly (To be negotiated) / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2971709,"Day, Weekend, Overtime, Early Morning, Morning"
13,building superintendent,,"June 22, 2024",2024-07-06,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 22, 2024",Lion's Gate Building Maintenance Ltd.,Vancouver (BC),Salary: $17.40 to $24.00 hourly (to be negotiated),2971708,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Vancouver , BC",$ 17.40 to $ 24.00 HOUR hourly (To be negotiated) / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2971708,"Day, Weekend, Overtime, Early Morning, Morning"
14,building caretaker,,"June 22, 2024",2024-07-22,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 22, 2024",ALMAC MOTOR HOTEL,Lac La Biche (AB),Salary: $22.50 hourly,2971598,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Lac La Biche , AB",$ 22.50 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2971598,"Day, Evening, Night, Weekend, On Call, Early Morning, Morning"
15,construction cleaner,,"June 22, 2024",2024-07-22,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 22, 2024",H2O DISASTER CLEAN UP INC.,North York (ON),Salary: $22.00 to $23.00 hourly (to be negotiated),2971480,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","North York , ON",$ 22.00 to $ 23.00 HOUR hourly (To be negotiated) / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2971480,"Day, Morning"
16,school custodian,,"June 21, 2024",2024-07-05,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 21, 2024",Koala  T Care Daycare Inc.,Ilderton (ON),Salary: $18.00 to $19.00 hourly (to be negotiated),2970649,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['On-site daycare available', 'Team building opportunities', 'Parking available', 'Wellness program']}","Ilderton , ON",$ 18.00 to $ 19.00 HOUR hourly (To be negotiated) / 20 hours per week,Permanent employment Part time leading to full time,Starts as soon as possible,1 vacancy,Job Bank #2970649,"Benefits:
					Other benefits"
17,heavy-duty cleaner,,"June 21, 2024",2024-07-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 21, 2024",Alguss Maintenance Services Inc.,Red Deer (AB),Salary: $18.00 hourly,2969912,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","6 Inglis CR  Crescent, Red Deer , AB T4R 3H3",$ 18.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2969912,"Day, Weekend"
18,"superintendant, live-in",,"June 21, 2024",2024-07-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 21, 2024",Skyline Real Estate Limited Partnership,Windsor (ON),"Salary: $45,000.00 to $50,000.00 annually (to be negotiated)",2968765,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Dental plan', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Group insurance benefits', 'Life insurance', 'Registered Retirement Savings Plan (RRSP)', 'On-site housing options', 'Paid time off (volunteering or personal days)', 'Team building opportunities', 'Wellness program']}","Windsor , ON","$ 45,000 to $ 50,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2968765,"Benefits:
					Health benefits, Financial benefits, Other benefits"
19,"superintendant, live-in",,"June 21, 2024",2024-07-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 21, 2024",Skyline Real Estate Limited Partnership,Windsor (ON),"Salary: $45,000.00 to $50,000.00 annually (to be negotiated)",2968775,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Dental plan', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Group insurance benefits', 'Life insurance', 'Registered Retirement Savings Plan (RRSP)', 'On-site housing options', 'Paid time off (volunteering or personal days)', 'Team building opportunities', 'Wellness program']}","Windsor , ON","$ 45,000 to $ 50,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2968775,"Benefits:
					Health benefits, Financial benefits, Other benefits"
20,apartment building caretaker,,"June 21, 2024",2024-07-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 21, 2024",Gaudet Properties Ltd.,Rothesay (NB),Salary: $19.00 hourly,2969678,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Free parking available']}","126C Hampton Road suite 314 Rothesay , NB E2E 2N6",$ 19.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2969678,"Benefits:
					Other benefits"
21,building caretaker,,"June 21, 2024",2024-07-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 21, 2024",Central Protection Services Inc.,Edmonton (AB),Salary: $22.00 hourly,2969568,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","202-3476 93 Street NW Edmonton , AB T6E 6A4",$ 22.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2969568,"Day, Evening, Night, Weekend, On Call, Morning"
22,"superintendant, live-in",,"June 21, 2024",2024-07-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 21, 2024",Skyline Real Estate Limited Partnership,Moncton (NB),"Salary: $45,000.00 to $50,000.00 annually (to be negotiated)",2968795,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Dental plan', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Group insurance benefits', 'Life insurance', 'Registered Retirement Savings Plan (RRSP)', 'On-site housing options', 'Paid time off (volunteering or personal days)', 'Team building opportunities', 'Wellness program']}","Moncton , NB","$ 45,000 to $ 50,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2968795,"Benefits:
					Health benefits, Financial benefits, Other benefits"
23,janitor,,"June 20, 2024",2024-07-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 20, 2024",Snowlight,Edmonton (AB),Salary: $21.10 hourly,2968594,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Edmonton , AB On the road job",$ 21.10 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2968594,"Evening, Night, Shift, To be determined"
24,janitor,,"June 20, 2024",2024-07-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 20, 2024",1969417 ALBERTA LTD,Calgary (AB),Salary: $24.00 hourly,2968432,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Calgary , AB On the road job",$ 24.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2968432,"Day, Evening, Night, Weekend, Overtime, On Call, Early Morning, Morning"
25,"superintendent, building",Title posted on indeed.com -Building Superintendent,"June 21, 2024",Not specified,,,,"June 21, 2024",Springfield Janitorial Service,Markham (ON),Salary: $20.00 hourly,9333755760,https://ca.indeed.com/viewjob?jk=51f5c090ea965c80&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Markham , ON",$ 20.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9333755760,Not specified
26,building superintendent,Title posted on CivicJobs.ca -Building Department Manager,"June 21, 2024",2024-07-07,,,,"June 21, 2024",City of Penticton,Penticton (BC),"Salary: $110,420.00 annually",95654,https://www.civicjobs.ca/jobs?id=95654,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Penticton , BC","$ 110,420 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95654,Not specified
27,custodian,Title posted on CivicJobs.ca -Custodial Worker,"June 20, 2024",2024-07-20,,,,"June 20, 2024",Township of Esquimalt,Esquimalt (BC),Salary: $23.68 hourly,95624,https://www.civicjobs.ca/jobs?id=95624,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Esquimalt , BC",$ 23.68 HOUR hourly,Casual employment Part time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95624,Not specified
28,janitor,Title posted on indeed.com -Weekend Janitor,"June 22, 2024",Not specified,,,,"June 22, 2024",Northfield Janitorial,Nanaimo (BC),Salary: $19.00 to $22.00 hourly,9334181295,https://ca.indeed.com/viewjob?jk=8635901abfd33d20&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Nanaimo , BC",$ 19.00 to $ 22.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9334181295,Not specified
29,factory cleaner,Title posted on indeed.com -PT Evening Factory Cleaner,"June 21, 2024",Not specified,,,,"June 21, 2024",Glacier Maintenance,Colborne (ON),Salary: $17.00 hourly,9332949758,https://ca.indeed.com/viewjob?jk=1eff86324cd01019&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Colborne , ON",$ 17.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9332949758,Not specified
30,building superintendent,Title posted on ZipRecruiter -Live-in Building superintendent - Accommodations Provided!,"June 20, 2024",2024-07-19,,,,"June 20, 2024",Paramount Properties,Ottawa (ON),"Salary: $41,143.80 annually",bab5702e8,https://www.ziprecruiter.com/k/t/AALVW5TkpvoUDkre7SOhKdq6M8uP7yLbju7ibd_PLjlkjM0AzyvwXeQ8wvoWlVmRDL0pC9f1j7bRPhuDtljeO0joNXTyR2PD-K1SK8s_VnEYnWtKJaAhpPxnmvN5QsBtVhq7Xr9F-2M8HAxffg9_GqS8gkkHQLViIjreGgGH_xK9FvDk7BTjo4j6gfvsHt-NO_Y-Mii79bRR9_8zna7w7EHM5S9-tMn6M3tkta1LIfKFFE_-6ekitI12Q_PFhyCWEUNnNjttlVNe0SmL8LLTiUKTjYlNhT39cnnz3Z4HwUUjEcZnLQhzxQXIV6Bo2QNOqM-Rl2cxatELXujp2ddaxNAHKj0NWUx3ofQy4_o,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON","$ 41,143.8 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #bab5702e8,Not specified
31,custodian,Title posted on indeed.com -Childcare Custodian,"June 20, 2024",Not specified,,,,"June 20, 2024",Lullaboo Nursery and Childcare Center Inc,Brampton (ON),Salary: $18.00 to $20.00 hourly,9331607454,https://ca.indeed.com/viewjob?jk=42f8ab24b26fcc3a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Brampton , ON",$ 18.00 to $ 20.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9331607454,Not specified
32,custodian,Title posted on indeed.com -CUSTODIAN (CW),"June 17, 2024",Not specified,,,,"June 17, 2024",Bigstone Health Commission,Wabasca-Desmarais (AB),Salary: $18.48 hourly,9326852721,https://ca.indeed.com/viewjob?jk=b6bfae2150d23c5e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Wabasca-Desmarais , AB",$ 18.48 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9326852721,Not specified
