,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,contract manager,,"June 25, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 25, 2024",Queen's University,Kingston (ON),"Salary: $72,485.00 to $89,941.00 annually (to be negotiated)",2972513,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Dental plan', 'Health care plan', 'Pension plan', 'Other benefits']}","Kingston , ON","$ 72,485 to $ 89,941 YEAR annually (To be negotiated) / 35 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2972513,"Benefits:
					Health benefits, Financial benefits, Other benefits"
1,contract manager,Title posted on Jobillico -Contract Implementation Manager Job Details | Purolator,"June 23, 2024",2024-07-22,,,,"June 23, 2024",Purolator,Mississauga (ON),Salary not available,13869819,https://www.jobillico.com/en/job-offer/purolator/contract-implementation-manager-job-details-purolator/13869819?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #13869819,Not specified
2,contract manager,Title posted on indeed.com -Contract Manager (R141),"June 18, 2024",Not specified,,,,"June 18, 2024",Hitachi Energy,Saint-Laurent (QC),Salary not available,9328191730,https://ca.indeed.com/viewjob?jk=e45a3ce7acceac02&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Laurent , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9328191730,Not specified
3,contract manager,,"June 13, 2024",2024-07-14,,,,"June 13, 2024","J&M Group, Inc",Toronto (ON),Salary not available,24-00797-2282-1,https://job-openings.monster.ca/contract-manager-toronto-on-ca-j-m-group-inc/8b8708ac-9107-4f5b-a893-616c58791b3b?mescoid=1300093001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-00797-2282-1,Not specified
4,contract manager,,"June 13, 2024",2024-07-14,,,,"June 13, 2024",Capleo Global,Victoria (BC),Salary not available,24-87166-1400-1,https://job-openings.monster.ca/contract-manager-victoria-bc-ca-capleo-global/2f6880fe-f351-470a-b042-35a788cd69f4?mescoid=1300093001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-87166-1400-1,Not specified
5,contract manager,"Title posted on Monster -Senior Contract Manager, Rail & Transit","June 24, 2024",2024-07-25,,,,"June 24, 2024",WSP USA,Calgary (AB),Salary not available,169640953B8F43FEB32287FAC8C7B742,https://job-openings.monster.ca/senior-contract-manager-rail-transit-calgary-ab-ca-wsp-usa/16274c89-2385-493f-8e12-1039432337bf?mescoid=1300093001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #169640953B8F43FEB32287FAC8C7B742,Not specified
6,contract manager,"Title posted on Monster -Senior Contract Manager, Rail & Transit","June 24, 2024",2024-07-25,,,,"June 24, 2024",WSP USA,Edmonton (AB),Salary not available,5CE160ED3F1C428596C7AD7D34804CCE,https://job-openings.monster.ca/senior-contract-manager-rail-transit-edmonton-ab-ca-wsp-usa/c1b200e3-5998-4b23-9010-c9e5da10bc4b?mescoid=1300093001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #5CE160ED3F1C428596C7AD7D34804CCE,Not specified
7,contract manager,Title posted on Jobillico -Gestionnaire de catégories,"June 13, 2024",2024-07-12,,,,"June 13, 2024",Fed Supply,Saint-Laurent (QC),"Salary: $75,000.00 to $85,000.00 annually",14007123,https://www.jobillico.com/en/job-offer/fed-supply/gestionnaire-de-cat-233-gories/14007123?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Laurent , QC","$ 75,000 to $ 85,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #14007123,Not specified
8,contract manager,Title posted on Jobillico -Gestionnaire de projets d'achats et d'approvisionnement,"June 17, 2024",2024-07-16,,,,"June 17, 2024",Prevost,Sainte-Claire (QC),Salary not available,14027052,https://www.jobillico.com/en/job-offer/prevost/gestionnaire-de-projets-d-achats-et-d-approvisionnement/14027052?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sainte-Claire , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #14027052,Not specified
9,contract manager,,"June 22, 2024",2024-07-22,,,,"June 22, 2024",Clean Harbors,Calgary (AB),Salary not available,135757-348913900,https://job-openings.monster.ca/contract-manager-calgary-ab-ca-clean-harbors/3ff1b6b6-1629-4b4c-872b-9543b6d5d7c1?mescoid=1300093001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #135757-348913900,Not specified
10,contract manager,,"June 13, 2024",Not specified,,,,"June 13, 2024",Tisseur inc.,Sainte-Adèle (QC),Salary not available,9321738393,https://ca.indeed.com/viewjob?jk=88668aa3d5ea71d9&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sainte-Adèle , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9321738393,Not specified
