,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,assistant controller,,"June 11, 2024",Not specified,,,"June 11, 2024",Inner City Diesel,Fort McMurray (AB),"Salary: $80,000.00 to $95,000.00 annually",9318371276,https://ca.indeed.com/viewjob?jk=8badad0e5deb89ed&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Fort McMurray , AB","$ 80,000 to $ 95,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9318371276,Not specified
1,assistant controller,,"June 06, 2024",Not specified,,,"June 06, 2024",Kelson Group,Kamloops (BC),"Salary: $70,000.00 to $100,000.00 annually",9312827330,https://ca.indeed.com/viewjob?jk=cf24dce65f38b22b&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kamloops , BC","$ 70,000 to $ 100,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9312827330,Not specified
2,financial controller,,"June 06, 2024",Not specified,,,"June 06, 2024",Seed & Stone,White Rock (BC),"Salary: $85,000.00 to $95,000.00 annually",9312859092,https://ca.indeed.com/viewjob?jk=e04e0ee9e64891b8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","White Rock , BC","$ 85,000 to $ 95,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9312859092,Not specified
3,assistant controller,,"June 10, 2024",Not specified,,,"June 10, 2024",Ferrari Maserati Of Alberta,Calgary (AB),"Salary: $65,000.00 annually",9317195560,https://ca.indeed.com/viewjob?jk=efc3d9396f0c7443&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB","$ 65,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9317195560,Not specified
4,financial controller,,"June 12, 2024",2024-07-11,,,"June 12, 2024",King & Benton,Welland (ON),"Salary: $110,019.60 annually",3de668c15,https://www.ziprecruiter.com/k/t/AAKyuGz442McNCBRMj3TpAcvycZ9pfd-3Srozjy7cPoC6UpUj1VIJkUZy2ZgNTjbaFK6m7hIiAs5mPZxt8GPHAqLgMcTGXukpsfbLongj2vdgwexm8nAn00ruic6D0CzSOFPyxEKnBbPT7YARHNhvhP5zHIo9-K7qvczf34J0MsAY3WzWaNDwuuW9Vh8nrJyUSbDvkMLBy5d6j0WXxNW9ErLG-MVjrbg0SVahpwn4K-OX5u2CTJFGjvUHjpGMPt_wq6IhzbaRxi3ny7-ONB5FI5CI2P41t4eXEZDM_13Q-M,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Welland , ON","$ 110,019.6 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #3de668c15,Not specified
5,financial controller,,"June 04, 2024",Not specified,,,"June 04, 2024",Niradia Group of Companies,Delta (BC),"Salary: $85,000.00 to $100,000.00 annually",9308985514,https://ca.indeed.com/viewjob?jk=bee98b705107d34d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Delta , BC","$ 85,000 to $ 100,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9308985514,Not specified
6,financial controller,Title posted on Jobillico -Controller,"June 09, 2024",2024-07-08,,,"June 09, 2024",Fed Finance,Montréal (QC),"Salary: $130,000.00 to $160,000.00 annually",13977555,https://www.jobillico.com/en/job-offer/fed-finance/controller/13977555?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC","$ 130,000 to $ 160,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13977555,Not specified
7,financial controller,Title posted on Jobillico -Controller,"June 09, 2024",2024-07-08,,,"June 09, 2024",Fed Finance,Montréal (QC),"Salary: $130,000.00 to $160,000.00 annually",13977552,https://www.jobillico.com/en/job-offer/fed-finance/controller/13977552?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC","$ 130,000 to $ 160,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13977552,Not specified
8,financial controller,,"June 06, 2024",Not specified,,,"June 06, 2024",Lamborghini Calgary,Calgary (AB),"Salary: $100,000.00 annually",9312264355,https://ca.indeed.com/viewjob?jk=503efaca3def0988&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB","$ 100,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9312264355,Not specified
9,assistant controller,,"June 04, 2024",Not specified,,,"June 04, 2024",ADJ Industries Inc,London (ON),"Salary: $58,000.00 to $68,000.00 annually",9308756553,https://ca.indeed.com/viewjob?jk=72a3a494b78a4516&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","London , ON","$ 58,000 to $ 68,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9308756553,Not specified
10,financial controller,Title posted on indeed.com -Financial Controller Designate,"June 05, 2024",Not specified,,,"June 05, 2024",The Parkside Hotel & Spa,Victoria (BC),"Salary: $80,000.00 annually",9311313811,https://ca.indeed.com/viewjob?jk=a2d75599af44947c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC","$ 80,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9311313811,Not specified
