,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,shipping coordinator,,"June 25, 2024",Not specified,,,,"June 25, 2024",HealthCraft Products Inc,Ottawa (ON),23.00 to $26.00 hourly,9337676141,https://ca.indeed.com/viewjob?jk=62bd7658f8aedf22&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",$ 23.00 to $ 26.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9337676141,Not specified
1,shipping coordinator,,"June 20, 2024",Not specified,,,,"June 20, 2024",Euro Tile & Stone,Ottawa (ON),20.00 to $25.00 hourly,9332215563,https://ca.indeed.com/viewjob?jk=cb11c087e1d140e8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",$ 20.00 to $ 25.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9332215563,Not specified
2,event coordinator,,"June 19, 2024",Not specified,,,,"June 19, 2024",CanPrev Natural Health Products,Scarborough (ON),"50,000.00 to $55,000.00 annually",9329972084,https://ca.indeed.com/viewjob?jk=dc001817eff2ff2c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Scarborough , ON","$ 50,000 to $ 55,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9329972084,Not specified
3,recreation coordinator,Title posted on CivicJobs.ca -Assistant Program Coordinator,"June 18, 2024",2024-07-01,,,,"June 18, 2024",District of West Vancouver,West Vancouver (BC),32.92 hourly,95558,https://www.civicjobs.ca/jobs?id=95558,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","West Vancouver , BC",$ 32.92 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95558,Not specified
4,marketing coordinator,Title posted on indeed.com -Marketing Coordinator (Shawnessy),"June 25, 2024",Not specified,,,,"June 25, 2024",Hudsons Canada's Pub,Calgary (AB),20.00 hourly,9337661466,https://ca.indeed.com/viewjob?jk=7734cd7a79899d61&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 20.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9337661466,Not specified
5,administrative coordinator,Title posted on Jobillico -Operations Coordinator,"June 13, 2024",2024-07-12,,,,"June 13, 2024",Thomson Tremblay inc.,Saint-Laurent (QC),22.00 to $26.50 hourly,14002260,https://www.jobillico.com/en/job-offer/thomson-tremblay-inc-.vEeqSn/operations-coordinator/14002260?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Laurent , QC",$ 22.00 to $ 26.50 HOUR hourly,Term or contract Full time,Starts as soon as possible,1 vacancy,Jobillico #14002260,In-house position at the agency
6,marketing coordinator,,"June 24, 2024",Not specified,,,,"June 24, 2024",Whitewater Brewing Company,Cobden (ON),Salary not available,9335793050,https://ca.indeed.com/viewjob?jk=2d5365db2d338b9e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cobden , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9335793050,Not specified
7,administrative coordinator,,"June 20, 2024",Not specified,,,,"June 20, 2024",Taylor Made Logistics Inc,Whitby (ON),16.55 to $20.00 hourly,9331485094,https://ca.indeed.com/viewjob?jk=2ec1982d7fc284b7&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Whitby , ON",$ 16.55 to $ 20.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9331485094,Not specified
8,logistics coordinator,,"June 11, 2024",Not specified,,,,"June 11, 2024",Westgate Technology Corporation,Delta (BC),27.00 hourly,9318099828,https://ca.indeed.com/viewjob?jk=928bd1b8ed137373&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Delta , BC",$ 27.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9318099828,Not specified
9,marketing coordinator,Title posted on indeed.com -Marketing Coordinator (NOC 2),"June 25, 2024",Not specified,,,,"June 25, 2024",INKAS® Armored Vehicle Manufacturing,North York (ON),32.45 hourly,9337156664,https://ca.indeed.com/viewjob?jk=389eaa12e4df99a6&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North York , ON",$ 32.45 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9337156664,Not specified
10,marketing coordinator,,"June 14, 2024",Not specified,,,,"June 14, 2024",Sunset Grill,Oakville (ON),"50,000.00 annually",9323840786,https://ca.indeed.com/viewjob?jk=d92eaaeaaa1a6295&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Oakville , ON","$ 50,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9323840786,Not specified
11,logistics coordinator,,"June 19, 2024",Not specified,,,,"June 19, 2024",Scott Freight Services,Richmond (BC),22.50 to $27.50 hourly,9329978101,https://ca.indeed.com/viewjob?jk=6eb0c69f7a3a6270&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond , BC",$ 22.50 to $ 27.50 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9329978101,Not specified
12,human resources coordinator,,"June 26, 2024",Not specified,,,,"June 26, 2024",Onedersquad,Mississauga (ON),"30,000.00 to $50,000.00 annually",9338820409,https://ca.indeed.com/viewjob?jk=d1b3c730c97da8bd&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON","$ 30,000 to $ 50,000 YEAR annually",Permanent employment,Starts as soon as possible,1 vacancy,indeed.com #9338820409,Not specified
13,administrative coordinator,Title posted on CivicJobs.ca -Corporate Grant Analyst,"June 21, 2024",2024-07-21,,,,"June 21, 2024",Capital Regional District,Victoria (BC),40.36 hourly,95670,https://www.civicjobs.ca/jobs?id=95670,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC",$ 40.36 HOUR hourly,Term or contract Part time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95670,Not specified
14,General office support workers,Title posted on CareerBeacon -Summer Intern - Office Assistant,"June 20, 2024",2024-07-20,,,,"June 20, 2024",Canadian Red Cross,Saint John (NB),17.00 hourly,2039490,https://www.careerbeacon.com/en/job/2039490/canadian-red-cross/summer-intern-office-assistant/saint-john?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint John , NB",$ 17.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2039490,Not specified
15,marketing coordinator,Title posted on indeed.com -Proposal & Marketing Coordinator,"June 24, 2024",Not specified,,,,"June 24, 2024",Heritage Office Furnishings,Vancouver (BC),"45,000.00 to $50,000.00 annually",9336099590,https://ca.indeed.com/viewjob?jk=bf3c9b5ef5a61235&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC","$ 45,000 to $ 50,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9336099590,Not specified
16,sustainability program coordinator,Title posted on indeed.com -Program Coordinator,"June 26, 2024",Not specified,,,,"June 26, 2024",New West College,Calgary (AB),"50,000.00 to $60,000.00 annually",9338041634,https://ca.indeed.com/viewjob?jk=8492d1463461e4a8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB","$ 50,000 to $ 60,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9338041634,Not specified
