,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,customer service agent,"Title posted on Monster -Remote Customer Service Agent Swift Current, SK","June 17, 2024",2024-07-18,,,,"June 17, 2024",HMG Careers,Swift Current (SK),Salary not available,TCaTyqdAcY,https://job-openings.monster.ca/remote-customer-service-agent-swift-current-sk-swift-current-sk-ca-hmg-careers/6086e0ba-bff7-4333-820d-2312c7493797?mescoid=4300715001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Swift Current , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #TCaTyqdAcY,Not specified
1,restaurant manager,,"June 15, 2024",2024-07-15,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 15, 2024",K Motel Steakhouse & Family Restaurant,Swift Current (SK),23.08 hourly,2962470,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Swift Current , SK",$ 23.08 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2962470,"Day, Evening, Weekend, Shift, Overtime, On Call, Morning"
2,operations manager - administrative services,,"June 24, 2024",2024-07-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 24, 2024",Open Parachute,"LocationKelowna, BC","95,000.00 to $110,000.00 annually (to be negotiated)",2970266,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Bonus', 'Paid time off (volunteering or personal days)']}","Virtual job based in Kelowna, BC","$ 95,000 to $ 110,000 YEAR annually (To be negotiated) / 40 to 50 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2970266,"Benefits:Financial benefits, Other benefits"
3,customer service adviser,,"June 21, 2024",2024-07-05,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 21, 2024",Foundever Teleservices Canada,"LocationPortage la Prairie, MB",15.30 hourly,2969668,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Life insurance', 'Long-term care insurance', 'Wellness program']}","Virtual job based in Portage la Prairie, MB",$ 15.30 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,10,Job Bank #2969668,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
4,customer service adviser,,"June 21, 2024",2024-07-05,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 21, 2024",Foundever Teleservices Canada,"LocationEdmonton, AB",15.00 hourly,2969659,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Life insurance', 'Long-term care insurance', 'Wellness program']}","Virtual job based in Edmonton, AB",$ 15.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,10,Job Bank #2969659,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
5,customer service adviser,,"June 19, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 19, 2024",Foundever Teleservices Canada,"LocationThompson, MB",15.30 hourly,2966648,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Life insurance', 'Long-term care insurance', 'Wellness program']}","Virtual job based in Thompson, MB",$ 15.30 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,10,Job Bank #2966648,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
6,customer service adviser,,"June 19, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 19, 2024",Foundever Teleservices Canada,"LocationVancouver, BC",17.40 hourly,2966642,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Life insurance', 'Long-term care insurance', 'Wellness program']}","Virtual job based in Vancouver, BC",$ 17.40 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,10,Job Bank #2966642,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
7,customer service adviser,,"June 19, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 19, 2024",Foundever Teleservices Canada,"LocationMoncton, NB",15.30 hourly,2966621,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Life insurance', 'Long-term care insurance', 'Wellness program']}","Virtual job based in Moncton, NB",$ 15.30 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,10,Job Bank #2966621,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
8,customer service adviser,,"June 19, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 19, 2024",Foundever Teleservices Canada,"LocationRegina, SK",14.00 hourly,2966637,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Life insurance', 'Long-term care insurance', 'Wellness program']}","Virtual job based in Regina, SK",$ 14.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,10,Job Bank #2966637,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
9,customer service adviser,,"June 19, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 19, 2024",Foundever Teleservices Canada,"LocationHalifax, NS",15.20 hourly,2966633,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Life insurance', 'Long-term care insurance', 'Wellness program']}","Virtual job based in Halifax, NS",$ 15.20 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,10,Job Bank #2966633,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
