,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,data entry clerk,,"June 11, 2024",Not specified,,,"June 11, 2024",CARO Analytical Services,Kelowna (BC),Salary: $18.00 hourly,9318860655,https://ca.indeed.com/viewjob?jk=704cafdfe03fcbd9&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kelowna , BC",$ 18.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9318860655,Not specified
1,data entry clerk,,"May 31, 2024",Not specified,,,"May 31, 2024",ARZ Fine Foods,North York (ON),Salary not available,9302316754,https://ca.indeed.com/viewjob?jk=b80dc4e6b6b95cdf&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North York , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9302316754,Not specified
2,data entry clerk,,"June 06, 2024",Not specified,,,"June 06, 2024",AMA Energy Rentals Ltd.,Fort St. John (BC),Salary: $20.00 to $27.00 hourly,9312266447,https://ca.indeed.com/viewjob?jk=dae4d0aeb60c4509&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Fort St. John , BC",$ 20.00 to $ 27.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9312266447,Not specified
3,data entry clerk,Title posted on Monster -Data Entry Operator,"June 04, 2024",2024-07-04,,,"June 04, 2024",IIQAF,Cornwall (ON),Salary not available,173531,https://job-openings.monster.ca/data-entry-operator-ontario-on-ca-iiqaf/dfeb12ad-4be7-45bd-adb5-f354f873eec6?mescoid=4300751001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cornwall , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #173531,Not specified
4,data entry clerk,,"June 12, 2024",Not specified,,,"June 12, 2024",Appraisal West Real Estate,Kelowna (BC),Salary: $19.00 to $22.00 hourly,9320229777,https://ca.indeed.com/viewjob?jk=f8e84d79f04b3b6f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kelowna , BC",$ 19.00 to $ 22.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9320229777,Not specified
5,data entry clerk,,"May 27, 2024",Not specified,,,"May 27, 2024",PREMIUM INSURANCE BROKERS,Windsor (ON),Salary not available,9296452510,https://ca.indeed.com/viewjob?jk=403e9b74ff54da08&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Windsor , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9296452510,Not specified
6,data entry clerk,,"June 12, 2024",2024-06-19,,,"June 12, 2024",Recrute Action,Waterloo (ON),Salary not available,287d919fcfbf,https://ca.talent.com/redirect?id=287d919fcfbf&amp;source=jobbank&amp;utm_source=partner&amp;utm_medium=jobbank&amp;puid=bddeedd83de93aec3de73def3de73aeagadd9ada3aee8adaced39ddg9ed3ccddecdf8cdcfed39ddf&amp;cg=talent,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Waterloo , ON",Not available,Not available,Starts as soon as possible,1 vacancy,Talent.com #287d919fcfbf,Not specified
7,data entry clerk,,"June 05, 2024",Not specified,,,"June 05, 2024",BRIDGEVIEW CUSTOMS BROKERS,Windsor (ON),Salary: $20.00 to $22.00 hourly,9310226121,https://ca.indeed.com/viewjob?jk=fe59fe37ad76fa40&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Windsor , ON",$ 20.00 to $ 22.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9310226121,Not specified
8,data entry clerk,,"May 22, 2024",Not specified,,,"May 22, 2024",Freedom Mobile (Dealership Stores),Brampton (ON),Salary: $16.55 to $18.00 hourly,9289960933,https://ca.indeed.com/viewjob?jk=96af7fff6de9bcb4&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Brampton , ON",$ 16.55 to $ 18.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9289960933,Not specified
9,data entry clerk,,"May 27, 2024",Not specified,,,"May 27, 2024",Nurses & Company,Calgary (AB),Salary: $18.14 to $19.13 hourly,9296172287,https://ca.indeed.com/viewjob?jk=63ed96ae8fe495c4&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 18.14 to $ 19.13 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9296172287,Not specified
