,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,data scientist,Title posted on Monster -Senior Data Scientist,"June 13, 2024",2024-07-14,,,,"June 13, 2024",Hour Consulting Corporation,Toronto (ON),Salary not available,24-00021-2188-1,https://job-openings.monster.ca/senior-data-scientist-toronto-on-ca-hour-consulting-corporation/36916f50-7ece-4b2f-8140-7f4aff38cd8f?mescoid=1500156001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-00021-2188-1,Not specified
1,data scientist,Title posted on Monster -Sr. Data Scientist,"June 13, 2024",2024-07-14,,,,"June 13, 2024",Hour Consulting Corporation,Toronto (ON),Salary not available,24-00022-2188-1,https://job-openings.monster.ca/sr-data-scientist-toronto-on-ca-hour-consulting-corporation/9634d88c-94f7-4951-9193-57bdac05e45c?mescoid=1500156001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-00022-2188-1,Not specified
2,data scientist,,"June 11, 2024",2024-06-28,,,,"June 11, 2024",SaskEnergy REGINA-Victoria Ave,Regina (SK),"Salary: $90,898 - $130,351",1358376,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1358376,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK","$ 90,898 to $ 130,351 YEAR annually",Not specified,Starts as soon as possible,Not specified,SaskJobs #1358376,Not specified
3,data scientist,"Title posted on Monster -Data Scientist, Data and Analytics Services, Data Science and Innovation - BC Centre for Disease Control","June 14, 2024",2024-07-14,,,,"June 14, 2024",BC Centre for Disease Control (BCCDC),Vancouver (BC),Salary not available,2417869,https://job-openings.monster.ca/data-scientist-data-analytics-services-data-science-innovation-bc-centre-for-disease-control-vancouver-bc-ca-bc-centre-for-disease-control-bccdc/881ebaae-8eb3-47b8-a40a-961f24020489?mescoid=1500156001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #2417869,Not specified
4,data scientist,Title posted on Monster -Principal AI Data Scientist,"June 08, 2024",2024-07-09,,,,"June 08, 2024",Blend360,Vancouver (BC),Salary not available,42179ba8-5e38-4eaf-b8fb-87ac27a928f1,https://job-openings.monster.ca/principal-ai-data-scientist-vancouver-bc-ca-blend360/b4d47ee6-6aff-4546-b690-fac8ca915f9a?mescoid=1500156001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #42179ba8-5e38-4eaf-b8fb-87ac27a928f1,Not specified
5,data scientist,,"June 04, 2024",2024-07-05,,,,"June 04, 2024",NearSource,Toronto (ON),Salary not available,1780807,https://job-openings.monster.ca/data-scientist-toronto-on-ca-nearsource/728da329-a5d9-424a-baf4-03b7dc448fed?mescoid=1500156001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #1780807,Not specified
6,data scientist,,"May 22, 2024",2024-06-22,,,,"May 22, 2024",Tech Mahindra Limited,Toronto (ON),Salary not available,273753190,https://job-openings.monster.ca/data-scientist-toronto-on-ca-tech-mahindra-limited/273753190?mescoid=1500156001001&mstr_dist=true,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #273753190,Not specified
7,data scientist,Title posted on ZipRecruiter -Remote Data Scientist Software Engineer - AI Model Training,"June 05, 2024",2024-07-04,,,,"June 05, 2024",Outlier AI,Toronto (ON),Salary: $20.50 hourly,4ca4664c,https://www.ziprecruiter.com/k/t/AAJG2on9Dich49464IVhdVuZOyA6gdJXb8sTra0OSv5BUnA821xf_fwRueVdi1rvXyDgeO0_Hw-2GK24vA9o7fFQeyKamhauA0bIgsrDc58gu42y_YA1Ieshm803hZh7BmeWxkhrTayQ5_Mrp47AsHx5YefVLoiqB-h4V_JdifJb6Bl6Arrn4sMAlZ2HK2EeeltPawrGEoBuhI6FcdYUcrdssd80yVOtSyfN_B5F3p31zaC59qkVW4tvxMRuyZROusxfQscXlfoHu7PmMYZ-jGcFOEKSSXFf6nqptII8DYQBIG1iIK7jQmK3vlFDHYDesMsavo4g8dowDf-ZsLsyFTiHsg0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",$ 20.50 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,ZipRecruiter #4ca4664c,Not specified
8,data scientist,,"May 31, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 31, 2024",Aimlsavy Incorporated,Mississauga (ON),Salary: $48.45 hourly,2942217,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Mississauga , ON",$ 48.45 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2942217,"Day, Evening, Weekend, Morning"
9,data scientist,,"June 03, 2024",2024-06-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 03, 2024",RAD Canada Inc.,York (ON),"Salary: $75,000.00 to $90,000.00 annually (to be negotiated)",2941511,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits', 'Bonus']}","York , ON","$ 75,000 to $ 90,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,2,Job Bank #2941511,"Benefits:
					Health benefits, Financial benefits"
10,data scientist,,"June 12, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 12, 2024",ViewsML Technologies Inc.,Vancouver (BC),"Salary: $100,000.00 to $140,000.00 annually (to be negotiated)",2958256,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits', 'Stocks/shares']}","550 Burrard Street Vancouver , BC V6C 0A3","$ 100,000 to $ 140,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2958256,"Benefits:
					Health benefits, Financial benefits"
11,data scientist,,"May 03, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 03, 2024",Abroadin Inc.,Toronto (ON),Salary: $53.00 hourly,2903939,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Dental plan', 'Health care plan', 'Bonus', 'Commission', 'Other benefits']}","Toronto , ON",$ 53.00 HOUR hourly / 32 to 37.5 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2903939,"Benefits:
					Health benefits, Financial benefits, Other benefits"
12,data scientist,,"March 14, 2024",2024-07-04,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 14, 2024",Solution MS Technology Inc.,Edmonton (AB),Salary: $46.50 hourly,2836317,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","5555 Calgary Trail NW Edmonton , AB T6H 5P9",$ 46.50 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2836317,"Day, Morning"
13,data scientist,,"April 18, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 18, 2024",Promateus Ltd,Calgary (AB),Salary: $41.24 hourly,2885231,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","421 - 7 Ave SW Calgary , AB T2P 4K9",$ 41.24 HOUR hourly / 32 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2885231,"Day, Evening, Weekend, Shift, Overtime, Flexible Hours, Morning"
14,data scientist,,"March 05, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 05, 2024",2704989 ONTARIO INC,Brampton (ON),Salary: $48.45 hourly,2824920,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","Brampton , ON",$ 48.45 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2824920,"Day, Evening, Shift"
15,data scientist,,"March 27, 2024",2024-07-02,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 27, 2024",Access Pacific Enterprises LTD.,Richmond (BC),Salary: $46.00 hourly,2854423,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits', 'Free parking available']}","Richmond , BC",$ 46.00 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2854423,"Benefits:
					Health benefits, Other benefits"
16,data scientist,,"April 12, 2024",2024-06-29,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 12, 2024",KONI AMERI TECH SERVICES CANADA INC.,Etobicoke (ON),Salary: $49.00 hourly,2876859,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Etobicoke , ON",$ 49.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2876859,"Weekend, Overtime, On Call, Flexible Hours"
17,data scientist,,"April 10, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 10, 2024",Satvika Consulting Services Ltd.,Mississauga (ON),Salary: $48.50 hourly,2873966,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Mississauga , ON",$ 48.50 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2873966,Not specified
18,data scientist,Title posted on Monster -Senior Data Scientist,"June 06, 2024",2024-07-07,,,,"June 06, 2024",Global Relay,Vancouver (BC),Salary not available,5197536004,https://job-openings.monster.ca/senior-data-scientist-vancouver-bc-ca-global-relay/0dd2a834-1b7d-4a89-93d1-8809b059dff8?mescoid=1500156001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #5197536004,Not specified
19,data scientist,Title posted on Monster -Scientifique de données Senior - Senior Data scientist,"May 16, 2024",2024-06-16,,,,"May 16, 2024",Humanify,Montréal (QC),Salary not available,356461000187921447,https://job-openings.monster.ca/scientifique-de-données-senior-senior-data-scientist-montréal-qc-ca-humanify/a3c25191-1997-49b2-a8c8-fe182a1bcfa9?mescoid=1500156001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #356461000187921447,Not specified
20,data engineer,,"June 07, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 07, 2024",Origineer Consulting Inc.,Burnaby (BC),Salary: $46.00 hourly,2952306,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","Burnaby , BC",$ 46.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2952306,Not specified
21,data engineer,,"June 13, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 13, 2024",BBD Insights Inc.,North York (ON),"Salary: $85,000.00 to $95,000.00 annually (to be negotiated)",2958069,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Dental plan', 'Health care plan', 'Parking available']}","North York , ON","$ 85,000 to $ 95,000 YEAR annually (To be negotiated) / 35 to 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2958069,"Benefits:
					Health benefits, Other benefits"
22,data analytics specialist,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",Virtual Wonders,Mississauga (ON),Salary: $48.40 hourly,2956164,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Mississauga , ON",$ 48.40 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2956164,Not specified
23,data engineer,Title posted on indeed.com -Azure Data Engineer,"June 11, 2024",Not specified,,,,"June 11, 2024",Compest Solutions Inc,Toronto (ON),"Salary: $110,000.00 to $115,000.00 annually",9318828632,https://ca.indeed.com/viewjob?jk=fed5e4545f672268&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON","$ 110,000 to $ 115,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9318828632,Not specified
24,data architect,,"June 12, 2024",2024-12-31,,,,"June 12, 2024",City of Regina,Regina (SK),"Salary: Annual Salary: $77,207.00 - $102,942.00",1358626,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1358626,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK","$ 77,207 to $ 102,942 YEAR annually",Not specified,Starts as soon as possible,Not specified,SaskJobs #1358626,Not specified
