,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,dental hygienist,,"June 02, 2024",Not specified,,,,"June 02, 2024",Queensville Dental,Queensville (ON),Salary: $45.00 to $55.00 hourly,9305250166,https://ca.indeed.com/viewjob?jk=4185414e839b655c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Queensville , ON",$ 45.00 to $ 55.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9305250166,Not specified
1,dental hygienist,,"June 05, 2024",Not specified,,,,"June 05, 2024",Mississauga Dental Office,Mississauga (ON),Salary: $48.00 hourly,9310396312,https://ca.indeed.com/viewjob?jk=1543c5ba9ec0771a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",$ 48.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9310396312,Not specified
2,dental hygienist,,"June 08, 2024",Not specified,,,,"June 08, 2024",Britannia Dental Center,Mississauga (ON),Salary: $40.00 to $48.00 hourly,9315042562,https://ca.indeed.com/viewjob?jk=9b76713a2df65873&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",$ 40.00 to $ 48.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9315042562,Not specified
3,dental hygienist,,"June 06, 2024",Not specified,,,,"June 06, 2024",K & K Dental Studio,Ottawa (ON),Salary: $48.00 to $53.00 hourly,9312273858,https://ca.indeed.com/viewjob?jk=6254b69884e627e6&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",$ 48.00 to $ 53.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9312273858,Not specified
4,dental hygienist,Title posted on indeed.com -RDH Dental Hygienist,"June 08, 2024",Not specified,,,,"June 08, 2024",Marigold Dental,Pitt Meadows (BC),Salary: $43.21 to $61.01 hourly,9315031734,https://ca.indeed.com/viewjob?jk=0704353e5880163c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Pitt Meadows , BC",$ 43.21 to $ 61.01 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9315031734,Not specified
5,dental hygienist,,"June 06, 2024",Not specified,,,,"June 06, 2024",Louvre Dental Centre,Paris (ON),Salary: $50.00 hourly,9312260373,https://ca.indeed.com/viewjob?jk=d76d9d34db89880f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Paris , ON",$ 50.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9312260373,Not specified
6,dental hygienist,,"June 07, 2024",Not specified,,,,"June 07, 2024",Granville Dental,Vancouver (BC),Salary: $52.00 to $63.00 hourly,9313946160,https://ca.indeed.com/viewjob?jk=1488167b603bf08c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",$ 52.00 to $ 63.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9313946160,Not specified
7,dental hygienist,,"May 27, 2024",2024-06-30,,,,"May 27, 2024",CIVIC CENTRE DENTAL CLINIC,Moose Jaw (SK),Salary: $50-$53 per hour,1354314,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1354314,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Moose Jaw , SK",$ 50.00 to $ 53.00 HOUR hourly,Not specified,Starts as soon as possible,Not specified,SaskJobs #1354314,Not specified
8,dental hygienist,Title posted on indeed.com -Part-time Dental Hygienist,"June 12, 2024",Not specified,,,,"June 12, 2024",Eastbridge Dental Care,Waterloo (ON),Salary: $45.00 to $50.00 hourly,9320163842,https://ca.indeed.com/viewjob?jk=c59f8153b81c1221&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Waterloo , ON",$ 45.00 to $ 50.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9320163842,Not specified
9,dental hygienist,,"May 26, 2024",Not specified,,,,"May 26, 2024",Heron Park Dental,Ottawa (ON),Salary: $50.00 to $55.00 hourly,9294949661,https://ca.indeed.com/viewjob?jk=01b9b45b22e3b948&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",$ 50.00 to $ 55.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9294949661,Not specified
10,dental hygienist,Title posted on indeed.com -Part-time Dental Hygienist needed in Markham,"June 10, 2024",Not specified,,,,"June 10, 2024",DC Dental,Markham (ON),Salary: $45.00 to $55.00 hourly,9316709233,https://ca.indeed.com/viewjob?jk=ff919abca5d4fbff&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Markham , ON",$ 45.00 to $ 55.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9316709233,Not specified
11,dental hygienist,,"June 06, 2024",Not specified,,,,"June 06, 2024",Armadale Dental,Markham (ON),Salary: $45.00 to $50.00 hourly,9312388932,https://ca.indeed.com/viewjob?jk=be9760db3486a582&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Markham , ON",$ 45.00 to $ 50.00 HOUR hourly,Permanent employment,Starts as soon as possible,1 vacancy,indeed.com #9312388932,Not specified
12,dental hygienist,,"May 26, 2024",Not specified,,,,"May 26, 2024",Heron Park Dental,Ottawa (ON),Salary: $50.00 to $55.00 hourly,9294950689,https://ca.indeed.com/viewjob?jk=6c39abb77b99dacf&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",$ 50.00 to $ 55.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9294950689,Not specified
13,dental hygienist,,"June 06, 2024",Not specified,,,,"June 06, 2024",Cornwall Dental Arts,Cornwall (ON),Salary not available,9312814604,https://ca.indeed.com/viewjob?jk=630d42e2f656949a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cornwall , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9312814604,Not specified
14,dental hygienist,,"June 03, 2024",Not specified,,,,"June 03, 2024",Homer Dental centre,Vancouver (BC),Salary: $58.00 hourly,9307067901,https://ca.indeed.com/viewjob?jk=2b602079e19a9b8c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",$ 58.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9307067901,Not specified
15,dental hygienist,,"June 08, 2024",2024-07-07,,,,"June 08, 2024",Lighthouse Dental,Vancouver (BC),Salary: $75.78 hourly,40f5da273,https://www.ziprecruiter.com/k/t/AAKmS_F1PNvZ8mw0vgRAN2T4AMLbpJFPS4-PQLX6GGoUn-HuEERCZuApcWp-A5ZkFoJCXX6iI2VgxGBrpQ6cqZ8GofLXuL2YJoiSMe4jHJtzYJqKzb0B1NW7aGJq782hPm5YaT4DO3Awy_Hiduft_ycfavmaYS0-qZ06LUh9HExYXWIs7P1cftMUtyc-KLS0KKx9gogT0fDRZ_f8FZZXmKzKNIMZy9KnpXy-jB_MS4XHxT2j3Y6LYjpjQ5eVE8KdMCgyQdwK8FOrg019MSQwkWISM-0K6uQsH41SYJrzMzDKlA,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",$ 75.78 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #40f5da273,Not specified
16,dental hygienist,,"June 12, 2024",Not specified,,,,"June 12, 2024",Serene Dental,Thunder Bay (ON),Salary: $36.00 to $42.00 hourly,9320916079,https://ca.indeed.com/viewjob?jk=0ec10684e5a58eec&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Thunder Bay , ON",$ 36.00 to $ 42.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9320916079,Not specified
17,dental hygienist,,"June 13, 2024",Not specified,,,,"June 13, 2024",South London - Dental Care Centre,London (ON),Salary: $42.00 to $48.00 hourly,9322498813,https://ca.indeed.com/viewjob?jk=81527c751455fa4c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","London , ON",$ 42.00 to $ 48.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9322498813,Not specified
18,dental hygienist,,"June 05, 2024",Not specified,,,,"June 05, 2024",Sierra Dental,Calgary (AB),Salary: $54.00 to $60.00 hourly,9310396309,https://ca.indeed.com/viewjob?jk=b2f6d26d73bcbbdd&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 54.00 to $ 60.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9310396309,Not specified
19,dental hygienist,,"May 27, 2024",Not specified,,,,"May 27, 2024",Sandalwood Dental Clinic,Brampton (ON),Salary not available,9296347723,https://ca.indeed.com/viewjob?jk=2ec98c1b171dbe0b&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Brampton , ON",Not available,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9296347723,Not specified
20,registered dental hygienist,Title posted on indeed.com -Registered Dental Hygienist 11-8pm Mondays,"June 12, 2024",Not specified,,,,"June 12, 2024",BRAMPTON DENTAL GROUP,Brampton (ON),Salary: $33.54 to $49.12 hourly,9320188619,https://ca.indeed.com/viewjob?jk=b1f14e6e03fa3134&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Brampton , ON",$ 33.54 to $ 49.12 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9320188619,Not specified
21,registered dental hygienist,,"June 03, 2024",Not specified,,,,"June 03, 2024",East Ottawa Dental,Ottawa (ON),Salary: $43.00 to $50.00 hourly,9307248130,https://ca.indeed.com/viewjob?jk=fb2f0648c593d8f7&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",$ 43.00 to $ 50.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9307248130,Not specified
22,dental hygienist,,"June 05, 2024",Not specified,,,,"June 05, 2024",SPEERS DENTAL CENTRE,Oakville (ON),Salary: $42.00 to $50.00 hourly,9310544428,https://ca.indeed.com/viewjob?jk=8e46da3abb9f3224&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Oakville , ON",$ 42.00 to $ 50.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9310544428,Not specified
23,dental hygienist,Title posted on indeed.com -Full Time Dental Hygienist,"June 04, 2024",Not specified,,,,"June 04, 2024",Convent Glen Dental Centre,Ottawa (ON),Salary: $45.00 to $50.00 hourly,9308409858,https://ca.indeed.com/viewjob?jk=2beaa9f5f7eb7275&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",$ 45.00 to $ 50.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9308409858,Not specified
24,dental hygienist,,"June 13, 2024",Not specified,,,,"June 13, 2024",Aurora Dental Clinic,Richmond (BC),Salary: $55.00 to $57.00 hourly,9322339998,https://ca.indeed.com/viewjob?jk=2ed279d5fb97171c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond , BC",$ 55.00 to $ 57.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9322339998,Not specified
25,registered dental hygienist,Title posted on indeed.com -Registered Dental Hygienist Full Time & Part Time,"June 06, 2024",Not specified,,,,"June 06, 2024",Lawrence West Dental,North York (ON),Salary: $33.00 to $50.00 hourly,9312490156,https://ca.indeed.com/viewjob?jk=6b49bda531bd5c50&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North York , ON",$ 33.00 to $ 50.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9312490156,Not specified
