,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,distribution centre manager,"Title posted on indeed.com -Distribution Centre Manager - Calgary, AB","June 26, 2024",Not specified,,,,"June 26, 2024",OK Tire Stores Inc.,Calgary (AB),"60,000.00 annually",9338791033,https://ca.indeed.com/viewjob?jk=d54a0f8a06d59784&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB","$ 60,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9338791033,Not specified
1,"manager, sales and distribution",,"March 27, 2024",2024-07-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 27, 2024",Chennai Caters Inc.,Brampton (ON),58.00 hourly,2854516,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","Brampton , ON",$ 58.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2854516,"Day, Evening, Weekend, Morning"
2,"manager, sales and distribution",,"May 13, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 13, 2024",1359238 Ontario INC,Woodbridge (ON),47.00 hourly,2916240,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Other benefits']}","643 Chrislea Road suite 3 Woodbridge , ON L4L 8A3",$ 47.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2916240,"Benefits:Other benefits"
3,sales and distribution manager,,"June 13, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 13, 2024",Norden Windows And Doors Ltd.,Delta (BC),56.30 hourly,2960322,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","Delta , BC",$ 56.30 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2960322,Day
4,"manager, sales and distribution",,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",Value Mobile,Woodbridge (ON),47.00 hourly,2955787,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Parking available']}","643 Chrislea Road Woodbridge , ON L4L 8A3",$ 47.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2955787,"Benefits:Other benefits"
5,"manager, distribution - logistics",Title posted on CareerBeacon -Shipper Receiver,"June 25, 2024",2024-07-25,,,,"June 25, 2024",Nautel Ltd.,Hacketts Cove (NS),Salary not available,2087736,https://www.careerbeacon.com/en/job/2087736/nautel-ltd/shipper-receiver/hacketts-cove?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Hacketts Cove , NS",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2087736,Not specified
6,sales and distribution manager,,"June 04, 2024",2024-07-26,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 04, 2024",UNI-ONE FOOD GROUP INC.,Kelowna (BC),56.50 hourly,2946382,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Kelowna , BC",$ 56.50 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2946382,Not specified
7,sales and distribution manager,,"April 09, 2024",2024-07-04,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 09, 2024",Nutrition'ally' organics & wellness market ltd,Surrey (BC),57.00 hourly,2871510,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","8160, 120th St. Surrey , BC V3W 3N3",$ 57.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2871510,Not specified
8,distribution centre manager,,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Coastal Drywall Supplies Ltd,Dieppe (NB),30.00 hourly,2960753,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Dental plan', 'Health care plan', 'Registered Retirement Savings Plan (RRSP)']}","Dieppe , NB",$ 30.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2960753,"Benefits:Health benefits, Financial benefits"
9,distribution manager - logistics,,"June 04, 2024",2024-07-26,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 04, 2024",UNI-ONE FOOD GROUP INC.,Kelowna (BC),49.50 hourly,2946384,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Kelowna , BC",$ 49.50 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2946384,Not specified
