,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,art coordinator - education,Title posted on Jobillico -Inclusive Education Coordinator,"June 13, 2024",2024-07-12,,,,"June 13, 2024",Alexis Board of Education,Glenevis (AB),Salary not available,13796421,https://www.jobillico.com/en/job-offer/alexis-board-of-education/inclusive-education-coordinator/13796421?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Glenevis , AB",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13796421,Not specified
1,education program coordinator,,"June 13, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 13, 2024",Keewaytinook Okimakanak Board of Education,Various locations,"Salary: $41,062.32 to $107,466.32 annually (to be negotiated)",2954868,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Vision care benefits', 'Pension plan', 'Free parking available']}","Various locations Thunder Bay , , ON Sioux Lookout , , ON","$ 41,062.32 to $ 107,466.32 YEAR annually (To be negotiated) / 35 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2954868,"Benefits:
					Health benefits, Financial benefits, Other benefits"
2,art coordinator - education,Title posted on Jobillico -Educational Support Services Coordinator,"June 08, 2024",2024-07-07,,,,"June 08, 2024",White Rock Christian Academy,Surrey (BC),Salary not available,13976436,https://www.jobillico.com/en/job-offer/white-rock-christian-academy/educational-support-services-coordinator/13976436?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13976436,Not specified
3,art coordinator - education,Title posted on Jobillico -Inclusive Education Coordinator,"June 06, 2024",2024-07-05,,,,"June 06, 2024",Tribal Chiefs Education Foundation,Frog Lake (AB),Salary not available,13959816,https://www.jobillico.com/en/job-offer/tribal-chiefs-education-foundation/inclusive-education-coordinator/13959816?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Frog Lake , AB",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13959816,Not specified
4,education program coordinator,Title posted on CivicJobs.ca -Indigenous Supported Child Development Worker,"June 11, 2024",2024-06-30,,,,"June 11, 2024",Westbank First Nation,Kelowna (BC),"Salary: $49,325.00 annually",95330,https://www.civicjobs.ca/jobs?id=95330,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kelowna , BC","$ 49,325 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95330,Not specified
5,art coordinator - education,Title posted on Jobillico -Indigenous Education Coordinator,"May 31, 2024",2024-06-29,,,,"May 31, 2024",Garden Valley School Division,Winkler (MB),Salary not available,13705164,https://www.jobillico.com/en/job-offer/garden-valley-school-division/indigenous-education-coordinator/13705164?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winkler , MB",Not available,Part time,Starts as soon as possible,1 vacancy,Jobillico #13705164,Not specified
6,art coordinator - education,"Title posted on Jobillico -T24-193 Continuing, Full-Time Coordinator: Inclusive Education","June 12, 2024",2024-07-11,,,,"June 12, 2024",School District #33 (Chilliwack),Chilliwack (BC),Salary not available,13996020,https://www.jobillico.com/en/job-offer/school-district-33-chilliwack/t24-193-continuing-full-time-coordinator-inclusive-education/13996020?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Chilliwack , BC",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13996020,Not specified
7,education program coordinator,Title posted on CivicJobs.ca -Child Care Project Lead,"June 07, 2024",2024-06-21,,,,"June 07, 2024",Métis Nation British Columbia,Surrey (BC),"Salary: $73,000.00 annually",95240,https://www.civicjobs.ca/jobs?id=95240,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC","$ 73,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95240,Not specified
8,languages coordinator - education,,"June 10, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 10, 2024",My CELL (English Language Learning),Winnipeg (MB),Salary: $29.00 hourly,2955467,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Learning/training paid by employer', 'Paid time off (volunteering or personal days)']}","Winnipeg , MB",$ 29.00 HOUR hourly / 30 to 40 hours per week,Term or contract (ending: 2026-07-10) Full time,"Starts as soon as 2024-07-10					
						to
						2026-07-10",1 vacancy,Job Bank #2955467,"Benefits:
					Other benefits"
9,education program coordinator,,"June 11, 2024",2024-07-02,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",Kidsville Indoor Playground,Melville (SK),Salary: $18.00 to $20.00 hourly (to be negotiated),2953232,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","Melville , SK",$ 18.00 to $ 20.00 HOUR hourly (To be negotiated) / 15 to 20 hours per week,Casual employment Part time,Starts as soon as 2024-09-02,1 vacancy,Job Bank #2953232,Flexible Hours
