,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,"assistant, educational",Title posted on indeed.com -Educational Assistant,"June 07, 2024",Not specified,,,,"June 07, 2024",Aspire Special Needs Resource Centre,Red Deer (AB),Salary: $18.00 to $24.00 hourly,9313853830,https://ca.indeed.com/viewjob?jk=507559a5c692f910&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Red Deer , AB",$ 18.00 to $ 24.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9313853830,Not specified
1,"assistant, educational",,"June 11, 2024",2024-06-19,,,,"June 11, 2024",South East Cornerstone School Division #209 (Weyburn),Weyburn (SK),Salary: $20.36 per hour to start,1358316,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1358316,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Weyburn , SK",$ 20.36 HOUR hourly,Permanent employment Part time,Starts as soon as possible,Not specified,SaskJobs #1358316,Not specified
2,"assistant, educational",,"June 10, 2024",2024-06-18,,,,"June 10, 2024",South East Cornerstone School Division #209 (Weyburn),Midale (SK),Salary: $20.36/hr,1358094,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1358094,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Midale , SK",$ 20.36 HOUR hourly,Permanent employment Full time,Starts as soon as possible,Not specified,SaskJobs #1358094,Not specified
3,"assistant, educational",,"June 07, 2024",2024-06-17,,,,"June 07, 2024",South East Cornerstone School Division #209 (Weyburn),Estevan (SK),Salary: $20.36/hr,1357910,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1357910,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Estevan , SK",$ 20.36 HOUR hourly,Permanent employment Part time,Starts as soon as possible,Not specified,SaskJobs #1357910,Not specified
4,educational assistant,Title posted on ApplyToEducation -1.0  FTE - Permanent Educational Assistant Job Opportunity - St Boniface Catholic Elementary School,"June 08, 2024",2024-08-07,,,,"June 08, 2024",Waterloo Catholic District School Board,Breslau (ON),Salary not available,2776814,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=e14edcfd-1f7a-4bd2-bb8c-7117ced75c0a&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Breslau , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2776814,Not specified
5,"assistant, educational",,"June 06, 2024",2024-06-17,,,,"June 06, 2024",South East Cornerstone School Division #209 (Weyburn),Estevan (SK),Salary: $20.36/hr,1357842,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1357842,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Estevan , SK",$ 20.36 HOUR hourly,Permanent employment Full time,Starts as soon as possible,Not specified,SaskJobs #1357842,Not specified
6,"assistant, educational",,"June 06, 2024",2024-06-17,,,,"June 06, 2024",South East Cornerstone School Division #209 (Weyburn),Estevan (SK),Salary: $20.36 per hour,1357849,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1357849,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Estevan , SK",$ 20.36 HOUR hourly,Permanent employment Part time,Starts as soon as possible,Not specified,SaskJobs #1357849,Not specified
7,"assistant, educational",Title posted on indeed.com -Educational Assistant,"June 11, 2024",Not specified,,,,"June 11, 2024",Clearview Public Schools,Castor (AB),Salary: $17.56 to $24.30 hourly,9318548671,https://ca.indeed.com/viewjob?jk=a864e2774d894fbc&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Castor , AB",$ 17.56 to $ 24.30 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9318548671,Not specified
8,"assistant, educational",Title posted on indeed.com -Educational Assistant,"June 13, 2024",Not specified,,,,"June 13, 2024",River East Transcona School Division - Collège Pierre-Elliott-Trudeau,Winnipeg (MB),Salary: $22.15 to $27.09 hourly,9321718797,https://ca.indeed.com/viewjob?jk=35440d229c8a10cf&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB",$ 22.15 to $ 27.09 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9321718797,Not specified
9,"assistant, educational",Title posted on indeed.com -Educational Assistant,"June 13, 2024",Not specified,,,,"June 13, 2024",River East Transcona School Division - École Margaret-Underhill,Winnipeg (MB),Salary: $22.15 to $27.09 hourly,9321712392,https://ca.indeed.com/viewjob?jk=589c7f5f646e3c91&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB",$ 22.15 to $ 27.09 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9321712392,Not specified
