,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,electrical engineer,,"June 18, 2024",Not specified,,,,"June 18, 2024",Emtech Consulting Engineers Limited,Dartmouth (NS),"Salary: $51,000.00 to $90,000.00 annually",9328109279,https://ca.indeed.com/viewjob?jk=ada1b787668e626e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Dartmouth , NS","$ 51,000 to $ 90,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9328109279,Not specified
1,electrical engineer,,"June 20, 2024",Not specified,,,,"June 20, 2024",AMS Automated Manufacturing Systems,Brampton (ON),"Salary: $55,000.00 to $75,000.00 annually",9331421060,https://ca.indeed.com/viewjob?jk=5c26504caec21c52&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Brampton , ON","$ 55,000 to $ 75,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9331421060,Not specified
2,electrical engineer,Title posted on Monster -Senior Electrical Engineer - Buildings,"June 11, 2024",2024-07-12,,,,"June 11, 2024",City Build Recruitment,Toronto (ON),Salary not available,1789065,https://job-openings.monster.ca/senior-electrical-engineer-buildings-toronto-on-ca-city-build-recruitment/8efc56e4-ab80-4f5f-bfba-986734eeea80?mescoid=1700184001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #1789065,Not specified
3,electrical engineer,,"June 04, 2024",2024-06-25,,,,"June 04, 2024",Cameco Corporation-Saskatoon,Location,Salary not available,1357242,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1357242,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}",MCARTHUR RIVER MINE,Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1357242,Not specified
4,electrical engineer,Title posted on Monster -Senior Electrical Engineer,"June 08, 2024",2024-07-09,,,,"June 08, 2024",Spark Power,Hamilton (ON),Salary not available,5edc7b9522aa7e5f656bd1c03cebd5d3,https://job-openings.monster.ca/senior-electrical-engineer-hamilton-on-ca-spark-power/d1bb7b39-750a-4455-94c3-57946eb33642?mescoid=1700169001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Hamilton , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #5edc7b9522aa7e5f656bd1c03cebd5d3,Not specified
5,electrical engineer,,"June 04, 2024",Not specified,,,,"June 04, 2024",Vtek Consultants Inc.,Oakville (ON),"Salary: $58,122.10 to $125,024.67 annually",9308903680,https://ca.indeed.com/viewjob?jk=e4e62ca24bf9f1f0&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Oakville , ON","$ 58,122.1 to $ 125,024.67 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9308903680,Not specified
6,electrical engineer,,"June 14, 2024",Not specified,,,,"June 14, 2024",Local Engineering,Sherwood Park (AB),Salary not available,9324104539,https://ca.indeed.com/viewjob?jk=c2856a335468193f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sherwood Park , AB",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9324104539,Not specified
7,electrical engineer,"Title posted on Monster -Lead, Electrical Engineer","June 11, 2024",2024-07-12,,,,"June 11, 2024",Equinox Engineering Ltd.,Calgary (AB),Salary not available,205685,https://job-openings.monster.ca/lead-electrical-engineer-calgary-ab-ca-equinox-engineering-ltd/6ece7cae-4fb1-446e-8e00-e085cbff97a6?mescoid=1700169001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #205685,Not specified
8,electrical engineer,Title posted on indeed.com -Intermediate Electrical Engineer,"June 18, 2024",Not specified,,,,"June 18, 2024",Wave Engineering Consultants Inc,Grande Prairie (AB),Salary not available,9328269553,https://ca.indeed.com/viewjob?jk=408d82ebbd4bbed5&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Grande Prairie , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9328269553,Not specified
9,electrical engineer,"Title posted on Monster -Electrical Engineer Utilities, Power Distribution and Transmission","June 11, 2024",2024-07-12,,,,"June 11, 2024",Partner Staffing,Location,Salary not available,590961000016686118,https://job-openings.monster.ca/electrical-engineer-utilities-power-distribution-transmission-calgary-city-centre-calgary-tower-ab-ca-partner-staffing/52404439-807d-4457-a5f7-d01f78fa81d9?mescoid=1700169001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}",Calgary (City Centre / Calgary Tower),Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #590961000016686118,Not specified
