,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,employee relations officer,,"June 17, 2024",2024-07-16,,,,"June 17, 2024",Dufferin-Peel Catholic District School Board,Mississauga (ON),Salary not available,14028426,https://www.jobillico.com/en/job-offer/dufferin-peel-catholic-district-school-board/employee-relations-officer/14028426?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #14028426,Not specified
1,labour relations specialist,,"June 18, 2024",Not specified,,,,"June 18, 2024",McAsphalt Industries Limited,Hamilton (ON),"Salary: $60,000.00 to $73,000.00 annually",9328293156,https://ca.indeed.com/viewjob?jk=54939f9198ec39e8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Hamilton , ON","$ 60,000 to $ 73,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9328293156,Not specified
2,public relations specialist,,"June 17, 2024",Not specified,,,,"June 17, 2024",Alberta Co-op Taxi Line Ltd.,Edmonton (AB),"Salary: $40,000.00 to $50,000.00 annually",9326824324,https://ca.indeed.com/viewjob?jk=577e2116be5885c2&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB","$ 40,000 to $ 50,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9326824324,Not specified
3,labour relations specialist,,"May 28, 2024",2024-06-28,,,,"May 28, 2024",Kwantlen Polytechnic University,Langley (BC),"Salary: $79,731.00 annually",94901,https://www.civicjobs.ca/jobs?id=94901,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Langley , BC","$ 79,731 YEAR annually",Term or contract Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #94901,Not specified
4,labour relations specialist,Title posted on CivicJobs.ca -Labour Relations Consultant,"June 14, 2024",2024-06-28,,,,"June 14, 2024",City of Vancouver,Vancouver (BC),"Salary: $111,139.00 annually",95464,https://www.civicjobs.ca/jobs?id=95464,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC","$ 111,139 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95464,Not specified
5,public relations specialist,"Title posted on Monster -Global Director, Communications and Public Relations","June 10, 2024",2024-07-11,,,,"June 10, 2024",WSP USA,Montréal (QC),Salary not available,DAB93E2B19F84552933CAE200627774D,https://job-openings.monster.ca/global-director-communications-public-relations-montreal-qc-ca-wsp-usa/481d1977-8473-49ce-8204-cabea632af5f?mescoid=1100009001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #DAB93E2B19F84552933CAE200627774D,Not specified
6,public relations specialist,Title posted on Monster -PR Influencer Specialist,"June 06, 2024",2024-07-07,,,,"June 06, 2024",Psycho Bunny Inc,Montréal (QC),Salary not available,1343,https://job-openings.monster.ca/pr-influencer-specialist-montreal-qc-ca-psycho-bunny-inc/9ab5e238-1e08-4f5b-9f3d-41a58113d6ed?mescoid=2700438001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #1343,Not specified
7,conciliation officer - employee relations,Title posted on CareerBeacon -Informal Conflict Resolution Practitioner,"June 22, 2024",2024-07-22,,,,"June 22, 2024",Vitalité Health Network,Bathurst (NB),"Salary: $63,700.00 annually",173214,https://www.careerbeacon.com/en/job/1966119/vitalite-health-network/informal-conflict-resolution-practitioner/bathurst?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Bathurst , NB","$ 63,700 YEAR annually",Not available,Starts as soon as possible,Not specified,CareerBeacon #173214,Not specified
8,public relations specialist,"Title posted on ZipRecruiter -Advertising, Marketing and Public Relations Manager","June 07, 2024",2024-07-06,,,,"June 07, 2024",Hochi & Rasamy Inc.,London (ON),Salary: $75.61 hourly,26196082,https://www.ziprecruiter.com/k/t/AALUrD6fMzk_tSabwviN4hHaSjGloO0RzMOg2pJBsSvyeSa5jEauNe12ALOj2O1PjueK44XwkCtZIU6czitri_P7VoSgRFZjOuglxzOPomKhFVSn7UZ9klWXzfZ6P00oh5k31iuTL88kZ_8vzanFTNkNVHER_ytCM_WRYajjUYUOGLDPGH6qWDW91a7V4YNE_jz_taQ3wx9JxvSNGA9r_w6BmbC3HEjvBSsI8yqN-VwViNCdTSKuajKQMWt-tX8enwvy9BZOCcBmUIMfILz0TCEZ7mljaZHcwPp01T6lXsINwxcQOq5O3Kr4JVMY0Cg7HKMcuAumUHfc0LvINw2NwgVibw,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","London , ON",$ 75.61 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #26196082,Not specified
9,employee benefits manager,Title posted on Jobillico -Employee Wellness Manager,"June 14, 2024",2024-07-13,,,,"June 14, 2024",School District #23 (Central Okanagan),Kelowna (BC),Salary not available,14013645,https://www.jobillico.com/en/job-offer/school-district-23-central-okanagan/employee-wellness-manager/14013645?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kelowna , BC",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #14013645,Not specified
10,public relations specialist,Title posted on Monster -Public Relations Administrative Coordinator,"June 17, 2024",2024-07-18,,,,"June 17, 2024",Le Groupe Aldo Inc,Montréal (QC),Salary not available,010206,https://job-openings.monster.ca/public-relations-administrative-coordinator-montreal-qc-ca-le-groupe-aldo-inc/e45d722e-b661-4550-bd61-d1c1439ebb94?mescoid=4300692001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #010206,Not specified
11,employer-employee relations manager,"Title posted on Jobillico -HRS Manager, Employee and Labour Relations","June 12, 2024",2024-07-11,,,,"June 12, 2024",Avon Maitland District School Board,Seaforth (ON),Salary not available,13998168,https://www.jobillico.com/en/job-offer/avon-maitland-district-school-board/hrs-manager-employee-and-labour-relations/13998168?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Seaforth , ON",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13998168,Not specified
12,disability management specialist,,"June 24, 2024",Not specified,,,,"June 24, 2024",Organizational Solutions,Sherwood Park (AB),Salary not available,9336159260,https://ca.indeed.com/viewjob?jk=7a0fb95227be330e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sherwood Park , AB",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9336159260,Not specified
