Index,Job Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,"technician, environmental","May 16, 2024",Not specified,"May 16, 2024",DS Consultants Ltd.,Vaughan (ON),"Salary:$40,000.00 to $50,000.00 annually",9282138792,https://ca.indeed.com/viewjob?jk=b41717b50d264842&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vaughan , ON","$ 40,000 to $ 50,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9282138792,Not specified
1,environmental science manager,"June 01, 2024",2024-07-01,"June 01, 2024",Englobe Corp.,Thunder Bay (ON),Salary not available,1966979,https://www.careerbeacon.com/en/job/1966979/englobe-corp/environmental-technician-scientist/thunder-bay?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Thunder Bay , ON",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #1966979,Not specified
2,environmental technician,"May 30, 2024",2024-06-24,"May 30, 2024",City of Chilliwack,Chilliwack (BC),Salary:$44.20 hourly,94990,https://www.civicjobs.ca/jobs?id=94990,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Chilliwack , BC",$ 44.20 HOUR hourly,Term or contract Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #94990,Not specified
3,environmental planner,"May 24, 2024",2024-06-23,"May 24, 2024",City of Kelowna,Kelowna (BC),Salary:$42.18 hourly,94787,https://www.civicjobs.ca/jobs?id=94787,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kelowna , BC",$ 42.18 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #94787,Not specified
4,biological scientist,"May 30, 2024",2024-06-29,"May 30, 2024",BioVectra Inc.,Dartmouth (NS),Salary not available,2064912,https://www.careerbeacon.com/en/job/2064912/biovectra-inc/process-development-scientist-biologics/dartmouth?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Dartmouth , NS",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2064912,Not specified
5,"technician, environmental","May 31, 2024",Not specified,"May 31, 2024",The Confederacy of Mainland Mi'kmaq,Millbrook (NS),"Salary:$45,000.00 to $60,000.00 annually",9302423827,https://ca.indeed.com/viewjob?jk=996bba6584c8017e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Millbrook , NS","$ 45,000 to $ 60,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9302423827,Not specified
6,"manager, environmental science","June 10, 2024",2024-07-01,"June 10, 2024",City of Port Moody,Port Moody (BC),"Salary:$123,378.00 annually",95317,https://www.civicjobs.ca/jobs?id=95317,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Port Moody , BC","$ 123,378 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95317,Not specified
7,environmental technician,"June 09, 2024",2024-07-09,"June 09, 2024",Englobe Corp.,Ottawa (ON),Salary not available,1906023,https://www.careerbeacon.com/en/job/1906023/englobe-corp/environmental-technician/ottawa?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #1906023,Not specified
8,environmental technician,"June 03, 2024",2024-07-02,"June 03, 2024",Nvira,Saint-Laurent (QC),Salary not available,11349054,https://www.jobillico.com/en/job-offer/nvira/technician-environment-in-montreal/11349054?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Laurent , QC",Not available,Term or contract Full time,Starts as soon as possible,1 vacancy,Jobillico #11349054,Not specified
9,environmental consultant (except engineer),"June 08, 2024",2024-07-08,"June 08, 2024",Englobe Corp.,Hamilton (ON),Salary not available,2046808,https://www.careerbeacon.com/en/job/2046808/englobe-corp/environmental-consultant-professional/hamilton?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Hamilton , ON",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2046808,Not specified
10,environmental health officers supervisor,"June 05, 2024",Not specified,"June 05, 2024",Bunge North America,Edmonton (AB),Salary not available,1670130,https://www.careersinfood.com/environmental-health-and-safety-manager-job-1670130.htm,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,CareersInFood.com #1670130,Not specified
11,environmental toxicologist,"May 21, 2024",2024-06-20,"May 21, 2024",Englobe Corp.,Toronto (ON),Salary not available,1927347,https://www.careerbeacon.com/en/job/1927347/englobe-corp/environmental-risk-assessor/toronto?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #1927347,Not specified
