,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,event coordinator,,"June 05, 2024",2024-07-05,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 05, 2024",Queen’s’ Manor Event Centre,Brampton (ON),Salary: $31.50 hourly,2936884,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Brampton , ON",$ 31.50 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2936884,"Day, Evening, Night, Weekend, Morning"
1,event coordinator,,"June 21, 2024",Not specified,,,,"June 21, 2024",Lions Foundation of Canada Dog Guides,Oakville (ON),"Salary: $48,000.00 to $54,000.00 annually",9333431736,https://ca.indeed.com/viewjob?jk=f06f1c8584857fec&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Oakville , ON","$ 48,000 to $ 54,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9333431736,Not specified
2,event coordinator,,"June 19, 2024",Not specified,,,,"June 19, 2024",CanPrev Natural Health Products,Scarborough (ON),"Salary: $50,000.00 to $55,000.00 annually",9329972084,https://ca.indeed.com/viewjob?jk=dc001817eff2ff2c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Scarborough , ON","$ 50,000 to $ 55,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9329972084,Not specified
3,event coordinator,,"May 08, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 08, 2024",Borgata Event Centre by Avani,Concord (ON),Salary: $32.00 hourly,2909070,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Concord , ON",$ 32.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2909070,Not specified
4,event coordinator,Title posted on CivicJobs.ca -Special Events Officer,"June 24, 2024",2024-07-04,,,,"June 24, 2024",City of Burnaby,Burnaby (BC),"Salary: $5,491.00 monthly",95721,https://www.civicjobs.ca/jobs?id=95721,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Burnaby , BC","$ 5,491 MONTH monthly",Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95721,Not specified
5,event coordinator,,"June 19, 2024",2024-07-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 19, 2024",Sedgwick Strategies Inc.,Delta (BC),Salary: $30.00 hourly,2966104,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Delta , BC",$ 30.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2966104,Not specified
6,event coordinator,,"June 07, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 07, 2024",JHAJJ PRODUCTION LTD,Edmonton (AB),Salary: $27.00 hourly,2862113,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","2814 Calgary Trail NW Edmonton , AB T6J 6V7",$ 27.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2862113,"Day, Weekend"
7,event coordinator,,"June 17, 2024",2024-07-18,,,,"June 17, 2024",Mississauga Convention Centre,Mississauga (ON),Salary not available,KDPTCPVH,https://job-openings.monster.ca/event-coordinator-mississauga-on-ca-mississauga-convention-centre/baa29c7b-3862-4c49-a42f-11f30e2ae890?mescoid=1300088001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #KDPTCPVH,Not specified
8,event coordinator,,"June 12, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 12, 2024",Di Manno Bakery Ltd,Concord (ON),Salary: $31.00 hourly,2957782,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","10 Buttermill Ave Concord , ON L4K 3X4",$ 31.00 HOUR hourly / 30 to 44 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2957782,"Day, Weekend"
9,event coordinator,,"June 21, 2024",Not specified,,,,"June 21, 2024",Dog Tales Rescue and Sanctuary,King City (ON),Salary not available,9332893600,https://ca.indeed.com/viewjob?jk=398b1d8f4f21e7de&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","King City , ON",Not available,Part time,Starts as soon as possible,1 vacancy,indeed.com #9332893600,Not specified
10,event coordinator,,"March 11, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 11, 2024",Finesse Decor Company Inc.,Richmond (BC),Salary: $30.00 hourly,2832461,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Richmond , BC",$ 30.00 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2832461,"Day, Evening, Night, Weekend, Shift, Early Morning, Morning"
11,event coordinator,,"May 13, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 13, 2024",Sugar & Spice Indian Cuisine,Beaumont (AB),Salary: $27.54 hourly,2916185,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","104-5302  50 St. Beaumont , AB T4X 1E5",$ 27.54 HOUR hourly / 32 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2916185,"Day, Weekend"
12,event coordinator,,"April 29, 2024",2024-07-18,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 29, 2024",ADEM Company Inc.,Markham (ON),Salary: $30.25 hourly,2893638,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Dental plan', 'Health care plan']}","Markham , ON",$ 30.25 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2893638,"Benefits:
					Health benefits"
13,social events coordinator,Title posted on indeed.com -Social & Events Coordinator,"June 21, 2024",Not specified,,,,"June 21, 2024",Northern Undergraduate Student Society,Prince George (BC),Salary: $19.40 hourly,9333316567,https://ca.indeed.com/viewjob?jk=cd29191139134bfc&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Prince George , BC",$ 19.40 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9333316567,Not specified
14,event coordinator,,"April 16, 2024",2024-07-16,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 16, 2024",G9 Media Inc.,Kitchener (ON),Salary: $25.50 hourly,2872906,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Kitchener , ON",$ 25.50 HOUR hourly / 32 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2872906,"Day, Evening, Weekend, Flexible Hours, Morning"
15,event co-ordinator,,"May 10, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 10, 2024",Mag Events Ltd.,Calgary (AB),Salary: $27.50 hourly,2914861,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","5075 Falconridge Blvd. NE Calgary , AB T3J 3K9",$ 27.50 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2914861,"Day, Evening, Night, Weekend, Early Morning, Morning"
16,event coordinator,,"March 01, 2024",2024-06-29,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 01, 2024",OBR Catering Ltd,Toronto (ON),Salary: $30.14 to $32.14 hourly (to be negotiated),2819692,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Toronto , ON",$ 30.14 to $ 32.14 HOUR hourly (To be negotiated) / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2819692,"Day, Evening, Weekend, Morning"
17,event coordinator,,"March 04, 2024",2024-07-02,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 04, 2024",Peach Plum Art Academy,Calgary (AB),Salary: $27.00 hourly,2819775,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Calgary , AB",$ 27.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2819775,Not specified
18,event coordinator,,"June 12, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 12, 2024",Virsa Foundation,Brampton (ON),Salary: $31.00 hourly,2957923,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","1 Gateway Blvd Brampton , ON L6T 0G3",$ 31.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2957923,"Day, Evening, Weekend, Flexible Hours, To be determined, Morning"
19,event coordinator,,"May 10, 2024",2024-07-04,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 10, 2024",The Ecological Farmers Association of Ontario,Guelph (ON),Salary: $26.50 hourly,2912239,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Health care plan', 'Mileage paid']}","Guelph , ON",$ 26.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2912239,"Benefits:
					Health benefits, Financial benefits"
20,event coordinator,,"June 03, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 03, 2024",EMBASSY GRAND CONVENTION CENTRE,Brampton (ON),Salary: $30.50 hourly,2943931,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Brampton , ON",$ 30.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2943931,Not specified
21,event coordinator,,"April 03, 2024",2024-07-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 03, 2024",Mayfair Lakes Management Corp,Richmond (BC),Salary: $29.81 hourly,2864614,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits', 'Free parking available', 'On-site amenities', 'On-site recreation and activities', 'Team building opportunities', 'Parking available']}","5460 No. 7 Road Richmond , BC V6V 1R7",$ 29.81 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2864614,"Benefits:
					Health benefits, Other benefits"
22,special events coordinator,,"June 21, 2024",Not specified,,,,"June 21, 2024",Loyan Foundation,Etobicoke (ON),Salary: $16.55 hourly,9332805604,https://ca.indeed.com/viewjob?jk=398a225e220520a1&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Etobicoke , ON",$ 16.55 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9332805604,Not specified
23,event coordinator,,"March 05, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 05, 2024",Loonie Times Inc,Mississauga (ON),Salary: $26.00 hourly,2823131,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Dental plan', 'Health care plan', 'Life insurance']}","Mississauga , ON",$ 26.00 HOUR hourly / 30 to 37.5 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2823131,"Benefits:
					Health benefits, Financial benefits"
