,Job Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,executive assistant,"June 05, 2024",2024-07-06,"June 05, 2024",Nova Scotia Power,Halifax (NS),Salary not available,97bad555dd0843818ca923e3b8e03be3,https://job-openings.monster.ca/executive-assistant-halifax-ns-ca-nova-scotia-power/7015a770-28c0-4b54-8960-5c6c3ae5a1cd?mescoid=4300746001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Halifax , NS",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #97bad555dd0843818ca923e3b8e03be3,Not specified
1,executive assistant,"June 12, 2024",Not specified,"June 12, 2024",Skilled Trades College of Canada,Woodbridge (ON),Salary not available,9319958007,https://ca.indeed.com/viewjob?jk=97c83cec71f83cb6&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Woodbridge , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9319958007,Not specified
2,executive assistant,"June 10, 2024",2024-07-09,"June 10, 2024",Mattr,Drummondville (QC),Salary not available,13980561,https://www.jobillico.com/en/job-offer/mattr/executive-assistant/13980561?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Drummondville , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13980561,Not specified
3,executive assistant,"May 29, 2024",Not specified,"May 29, 2024",Stacked Pancake & Breakfast House,Mississauga (ON),Salary: $20.00 hourly,9299930561,https://ca.indeed.com/viewjob?jk=9c87aae16bfb6841&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",$ 20.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9299930561,Not specified
4,executive assistant,"June 07, 2024",2024-07-08,"June 07, 2024",Dillon Consulting Limited,North York (ON),Salary not available,198a372b9c7b41dfb17bb95ae9adaa94,https://job-openings.monster.ca/executive-assistant-north-york-on-ca-dillon-consulting-limited/4560fa5e-9aa9-469d-ad0e-01e40f00df9c?mescoid=4300746001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North York , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #198a372b9c7b41dfb17bb95ae9adaa94,Not specified
5,executive assistant,"June 07, 2024",2024-07-08,"June 07, 2024",IIQAF,Cornwall (ON),Salary not available,174495,https://job-openings.monster.ca/executive-assistant-ontario-on-ca-iiqaf/53b486d1-1e8d-40ab-b42b-cdae39706d71?mescoid=4300746001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cornwall , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #174495,Not specified
6,executive assistant,"May 31, 2024",Not specified,"May 31, 2024",Gilic Investment,Vancouver (BC),"Salary: $48,000.00 to $58,000.00 annually",9303659276,https://ca.indeed.com/viewjob?jk=35d64ffd799d079c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC","$ 48,000 to $ 58,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9303659276,Not specified
7,executive assistant,"June 10, 2024",Not specified,"June 10, 2024",Nezul Be Hunuyeh Child & Family Services Society,Fort St. James (BC),Salary: $29.17 to $33.49 hourly,9317323062,https://ca.indeed.com/viewjob?jk=7e372937c8e48015&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Fort St. James , BC",$ 29.17 to $ 33.49 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9317323062,Not specified
8,executive assistant,"June 11, 2024",2024-07-12,"June 11, 2024",L'indispensable Recrutement inc.,Toronto (ON),Salary not available,1766125,https://job-openings.monster.ca/executive-assistant-toronto-on-ca-l'indispensable-recrutement-inc/c339be03-df49-407d-a853-76f6ab9177a8?mescoid=4300746001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #1766125,Not specified
9,executive assistant,"May 22, 2024",Not specified,"May 22, 2024",Tri-Proto International Capital & Trade,Vancouver (BC),Salary: $18.00 to $25.00 hourly,9290627170,https://ca.indeed.com/viewjob?jk=c5482f5ca6f3868b&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",$ 18.00 to $ 25.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9290627170,Not specified
10,executive assistant,"June 04, 2024",Not specified,"June 04, 2024",Town of Vermilion,Vermilion (AB),"Salary: $62,832.00 to $70,677.00 annually",9308881601,https://ca.indeed.com/viewjob?jk=40e61913851db656&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vermilion , AB","$ 62,832 to $ 70,677 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9308881601,Not specified
11,executive assistant,"June 12, 2024",Not specified,"June 12, 2024",Reh-Fit Centre,Winnipeg (MB),Salary not available,9320085414,https://ca.indeed.com/viewjob?jk=a6e69f0ca6eaae06&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9320085414,Not specified
12,executive assistant,"May 31, 2024",Not specified,"May 31, 2024",Health Sciences Association of BC,New Westminster (BC),"Salary: $83,000.00 to $93,000.00 annually",9303290359,https://ca.indeed.com/viewjob?jk=ae79549f7b40a41c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","New Westminster , BC","$ 83,000 to $ 93,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9303290359,Not specified
13,executive assistant,"June 07, 2024",2024-07-08,"June 07, 2024",TEEMA,Hamilton (ON),Salary not available,MNAV9FLQ,https://job-openings.monster.ca/executive-assistant-to-ceo-hamilton-on-ca-teema/fcf50ddd-7e73-45ad-ab93-1d3de7d45fb0?mescoid=4300746001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Hamilton , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #MNAV9FLQ,Not specified
14,executive assistant,"May 28, 2024",2024-06-28,"May 28, 2024",LifeRaft,Halifax (NS),Salary not available,B1B8BB43D5,https://job-openings.monster.ca/executive-assistant-halifax-ns-ca-liferaft/f60d3f84-465b-40a1-8b38-c584b1b2cb01?mescoid=4300746001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Halifax , NS",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #B1B8BB43D5,Not specified
15,executive assistant,"May 31, 2024",Not specified,"May 31, 2024",Adult and Teen Challenge of Central Canada,Winnipeg (MB),"Salary: $60,000.00 to $90,000.00 annually",9302657713,https://ca.indeed.com/viewjob?jk=e10eb4b431be9b90&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB","$ 60,000 to $ 90,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9302657713,Not specified
16,executive assistant,"June 02, 2024",2024-07-03,"June 02, 2024",Shambhala Music Festival,Nelson (BC),Salary not available,4502604,https://job-openings.monster.ca/executive-assistant-nelson-bc-ca-shambhala-music-festival/fd324294-fbb4-47a9-90ce-cf8304d11c13?mescoid=4300746001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Nelson , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #4502604,Not specified
17,executive assistant,"June 06, 2024",Not specified,"June 06, 2024",It's Your Time Business Services Inc,Edmonton (AB),"Salary: $48,000.00 to $53,000.00 annually",9311931089,https://ca.indeed.com/viewjob?jk=2f1c63cac40835c9&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB","$ 48,000 to $ 53,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9311931089,Not specified
18,executive assistant,"May 24, 2024",2024-06-24,"May 24, 2024",L'indispensable Recrutement inc.,Toronto (ON),Salary not available,1763590,https://job-openings.monster.ca/executive-assistant-to-the-ceo-toronto-on-ca-l'indispensable-recrutement-inc/7436e5b4-2d64-4aa6-90a9-73df4b8e1b63?mescoid=4300746001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #1763590,Not specified
19,executive assistant,"May 27, 2024",Not specified,"May 27, 2024",Nova Health Club,Halifax (NS),Salary: $20.00 to $30.00 hourly,9306695861,https://ca.indeed.com/viewjob?jk=b79427d4ca79cdc3&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Halifax , NS",$ 20.00 to $ 30.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9306695861,Not specified
20,executive assistant,"May 29, 2024",2024-06-29,"May 29, 2024",NORTHWEST TERRITORIES POWER CORPORATION,Hay River (NT),Salary not available,119eb50fa26d4c8fb3f626dea0905384,https://job-openings.monster.ca/executive-assistant-to-the-president-ceo-team-leader-administrative-services-hay-river-nt-ca-northwest-territories-power-corporation/619e7b69-af78-49bb-bdab-90af908c035e?mescoid=4300746001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Hay River , NT",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #119eb50fa26d4c8fb3f626dea0905384,Not specified
21,executive assistant,"June 05, 2024",Not specified,"June 05, 2024",FFAW-Unifor,St. John's (NL),"Salary: $65,000.00 to $70,000.00 annually",9310415415,https://ca.indeed.com/viewjob?jk=818df3c7a49105a8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","St. John's , NL","$ 65,000 to $ 70,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9310415415,Not specified
22,executive assistant,"June 04, 2024",Not specified,"June 04, 2024","McMan Youth, Family and Community Services Association - Edmonton and North",Edmonton (AB),"Salary: $63,564.80 to $70,022.79 annually",9308937742,https://ca.indeed.com/viewjob?jk=3f501866dcc995a5&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB","$ 63,564.8 to $ 70,022.79 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9308937742,Not specified
23,executive assistant,"May 29, 2024",2024-06-29,"May 29, 2024",Next Level Group,Charlottetown (PE),Salary not available,HB9DK8CV,https://job-openings.monster.ca/executive-assistant-charlottetown-pe-ca-next-level-group/ef30ec73-929e-4f99-b732-0341531164d9?mescoid=4300746001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Charlottetown , PE",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #HB9DK8CV,Not specified
24,executive assistant,"June 04, 2024",2024-07-04,"June 04, 2024",Quality Staffing Pro,Location,Salary not available,700051000004272001,https://job-openings.monster.ca/bilingual-executive-assistant-government-of-canada-ottawa-gatineau-offices-on-ca-quality-staffing-pro/107f0fb0-49a8-4429-92b6-c87e75ea645a?mescoid=4300746001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}",Government of Canada Ottawa and Gatineau offices,Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #700051000004272001,Not specified
25,executive assistant,"June 07, 2024",2024-07-08,"June 07, 2024",Dillon Consulting Limited,North York (ON),Salary not available,198a372b9c7b41dfb17bb95ae9adaa94,https://job-openings.monster.ca/executive-assistant-north-york-on-ca-dillon-consulting-limited/4560fa5e-9aa9-469d-ad0e-01e40f00df9c?mescoid=4300746001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North York , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #198a372b9c7b41dfb17bb95ae9adaa94,Not specified
26,executive assistant,"June 10, 2024",2024-07-09,"June 10, 2024",Mattr,Drummondville (QC),Salary not available,13980561,https://www.jobillico.com/en/job-offer/mattr/executive-assistant/13980561?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Drummondville , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13980561,Not specified
27,executive assistant,"June 11, 2024",2024-07-12,"June 11, 2024",L'indispensable Recrutement inc.,Toronto (ON),Salary not available,1766125,https://job-openings.monster.ca/executive-assistant-toronto-on-ca-l'indispensable-recrutement-inc/c339be03-df49-407d-a853-76f6ab9177a8?mescoid=4300746001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #1766125,Not specified
28,executive assistant,"May 29, 2024",Not specified,"May 29, 2024",Stacked Pancake & Breakfast House,Mississauga (ON),Salary: $20.00 hourly,9299930561,https://ca.indeed.com/viewjob?jk=9c87aae16bfb6841&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",$ 20.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9299930561,Not specified
29,executive assistant,"June 06, 2024",2024-07-07,"June 06, 2024",Biogen,Toronto (ON),Salary not available,4ddcec3c-5c8f-48b7-8c91-4a76343f0bbd,https://job-openings.monster.ca/executive-assistant-office-manager-toronto-on-ca-biogen/b1c0193d-9ef8-4529-add8-643f30936f5b?mescoid=4300692001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #4ddcec3c-5c8f-48b7-8c91-4a76343f0bbd,Not specified
30,executive assistant,"May 23, 2024",2024-06-23,"May 23, 2024",destinationone Consulting,Surrey (BC),Salary not available,440612000060282012,https://job-openings.monster.ca/executive-assistant-to-ceo-surrey-bc-ca-destinationone-consulting/46fb2947-b579-418e-a3d2-9848d4590a85?mescoid=4300746001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #440612000060282012,Not specified
31,executive assistant,"June 02, 2024",2024-07-03,"June 02, 2024",Shambhala Music Festival,Nelson (BC),Salary not available,4502604,https://job-openings.monster.ca/executive-assistant-nelson-bc-ca-shambhala-music-festival/fd324294-fbb4-47a9-90ce-cf8304d11c13?mescoid=4300746001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Nelson , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #4502604,Not specified
32,executive assistant,"May 28, 2024",2024-06-28,"May 28, 2024",LifeRaft,Halifax (NS),Salary not available,B1B8BB43D5,https://job-openings.monster.ca/executive-assistant-halifax-ns-ca-liferaft/f60d3f84-465b-40a1-8b38-c584b1b2cb01?mescoid=4300746001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Halifax , NS",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #B1B8BB43D5,Not specified
33,executive assistant,"May 17, 2024",2024-06-17,"May 17, 2024",University of Waterloo,Waterloo (ON),Salary not available,cddcbf6711f844c0a88e34baea333467,https://job-openings.monster.ca/executive-assistant-waterloo-on-ca-university-of-waterloo/4f658eb8-811d-43c6-bcca-35316c1fcd7e?mescoid=4300746001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Waterloo , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #cddcbf6711f844c0a88e34baea333467,Not specified
