,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,facility maintenance manager,,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Partners Construction Limited,Pictou (NS),"$51,000.00 annually",2960790,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits', 'Bonus', 'Group insurance benefits', 'Life insurance', 'Long-term care insurance', 'Maternity and parental benefits', 'Free parking available', 'Parking available']}","427 Haliburton Road Pictou , NS B0K 1H0","$ 51,000 YEAR annually / 40 to 50 hours per week",Permanent employment Full time,Starts as soon as 2024-07-01,1 vacancy,Job Bank #2960790,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
1,recreation facility manager,Title posted on CivicJobs.ca -Community Recreation Manager,"June 17, 2024",2024-07-08,,,,"June 17, 2024",Township of Langley,Langley (BC),$66.90 hourly,95511,https://www.civicjobs.ca/jobs?id=95511,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Langley , BC",$ 66.90 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95511,Not specified
2,facility operations manager,Title posted on Jobillico -Senior Manager of Facilities Services - Operations and Environmental Sustainability,"June 12, 2024",2024-07-11,,,,"June 12, 2024",Durham District School Board,Whitby (ON),Salary not available,13994289,https://www.jobillico.com/en/job-offer/durham-district-school-board/senior-manager-of-facilities-services-operations-and-environmental-sustainability/13994289?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Whitby , ON",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13994289,Not specified
3,"director, facility management",,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",John Howard Society of Okanagan & Kootenay,Kelowna (BC),"$84,000.00 to $94,000.00 annually (to be negotiated)",2956241,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Dental plan', 'Health care plan', 'Registered Retirement Savings Plan (RRSP)']}","Kelowna , BC","$ 84,000 to $ 94,000 YEAR annually (To be negotiated) / 32 to 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2956241,"Benefits:Health benefits, Financial benefits"
4,facility operations manager,"Title posted on CivicJobs.ca -Manager, Building Operations & Infrastructure","June 06, 2024",2024-07-03,,,,"June 06, 2024",WorkSafe BC,Richmond (BC),"$116,186.00 annually",95190,https://www.civicjobs.ca/jobs?id=95190,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond , BC","$ 116,186 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95190,Not specified
5,facility operations manager,,"June 18, 2024",2024-07-03,,,,"June 18, 2024",Viterra (Regina),Carnduff (SK),Salary not available,1359504,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1359504,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Carnduff , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1359504,Not specified
6,facility operations manager,,"June 17, 2024",2024-07-01,,,,"June 17, 2024",Viterra (Regina),North Battleford (SK),Salary not available,1359306,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1359306,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North Battleford , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1359306,Not specified
7,athletic facility manager,Title posted on Jobillico -HSE Compliance & Facility Manager,"June 12, 2024",2024-07-11,,,,"June 12, 2024",Andritz Hydro Canada inc.,Pointe-Claire (QC),Salary not available,13992864,https://www.jobillico.com/en/job-offer/andritz-hydro-ltee/hse-compliance-amp-facility-manager/13992864?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Pointe-Claire , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13992864,Not specified
8,facility operations manager,,"June 12, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 12, 2024",Pet to Nature Canada Ltd,Calgary (AB),$44.00 hourly,2958025,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Free parking available']}","Calgary , AB",$ 44.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as 2024-09-01,1 vacancy,Job Bank #2958025,"Benefits:Other benefits"
9,facility maintenance manager,,"May 15, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 15, 2024",Argos Pet Ranch,Surrey (BC),$37.25 hourly,2920601,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","18030 32nd Ave Surrey , BC V3S 0L5",$ 37.25 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2920601,Not specified
10,facility operations manager,,"February 28, 2024",2024-06-27,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"February 28, 2024",GG Ice Centre Ltd,Abbotsford (BC),$38.00 hourly,2816619,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Abbotsford , BC",$ 38.00 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2816619,Day
11,facility maintenance manager,,"May 22, 2024",2024-07-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 22, 2024",Kleenway Building Maintenance Services Inc,Richmond Hill (ON),$47.50 hourly,2929014,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits']}","Richmond Hill , ON",$ 47.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2929014,"Benefits:Health benefits"
12,facility operations manager,,"March 02, 2024",2024-06-30,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 02, 2024",MAHAJAN CANADA LIMITED,Mississauga (ON),$47.15 hourly,2821008,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","1232 Aerowood Drive Mississauga , ON L4W 1B7",$ 47.15 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2821008,"Evening, Night, Weekend, Overtime, Early Morning"
13,facility operations manager,"Title posted on indeed.com -Sr. Manager, Facility Operations","June 25, 2024",Not specified,,,,"June 25, 2024",broadgrain commodities,Toronto (ON),Salary not available,9337291832,https://ca.indeed.com/viewjob?jk=650257f52cfee0e3&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9337291832,Not specified
14,facility operations manager,,"May 22, 2024",2024-07-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 22, 2024",DELTA GOLF COURSE (2015) LTD.,Delta (BC),$41.00 hourly,2929573,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Delta , BC",$ 41.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2929573,"Day, Weekend, Overtime"
15,facility operations manager,,"March 06, 2024",2024-07-04,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 06, 2024",Scandinavian Building Services Ltd,Thunder Bay (ON),$45.67 hourly,2816734,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Gasoline paid', 'Life insurance', 'Other benefits']}","Thunder Bay,ON - 80% travel;Other cities NWO - 20% Thunder Bay , ON P7B 6B9 On the road job",$ 45.67 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2816734,"Benefits:Health benefits, Financial benefits, Other benefits"
16,fitness facility manager,,"March 15, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 15, 2024",GG200 LANGLEY INVESTMENTS LTD,Langley (BC),"$4,250.00 monthly",2839938,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Langley , BC","$ 4,250 MONTH monthly / 160 hours per month",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2839938,"Day, Evening, Weekend"
17,facility operations manager,"Title posted on CareersInFood.com -Location Operations Manager - Meadow Lake, SK","June 04, 2024",Not specified,,,,"June 04, 2024",J.R. Simplot,Meadow Lake (SK),Salary not available,1669429,https://www.careersinfood.com/location-operations-manager-meadow-lake-sk-job-1669429.htm,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Meadow Lake , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,CareersInFood.com #1669429,Not specified
