,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,graphic designer,,"June 23, 2024",2024-07-23,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 23, 2024",14944836 Canada Inc,Calgary (AB),Salary: $31.50 hourly,2972004,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Calgary , AB",$ 31.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2972004,Shift
1,graphic designer,,"June 18, 2024",2024-07-02,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 18, 2024",Radiant Placement Services Inc.,Brampton (ON),Salary: $22.00 hourly,2965232,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","Brampton , ON",$ 22.00 HOUR hourly / 35 to 40 hours per week,Term or contract Full time,Starts as soon as possible,1 vacancy,Job Bank #2965232,Morning
2,graphic designer,,"June 24, 2024",Not specified,,,,"June 24, 2024",Teal,St. John's (NL),Salary: $20.00 to $35.00 hourly,9335662579,https://ca.indeed.com/viewjob?jk=6e4720aa993be449&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","St. John's , NL",$ 20.00 to $ 35.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9335662579,Not specified
3,graphic designer,,"June 15, 2024",2024-07-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 15, 2024",2G1 Marketing Inc,Vancouver (BC),Salary: $32.60 hourly,2962544,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","701 West Georgia Street Vancouver , BC V7Y 1C6",$ 32.60 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2962544,Not specified
4,graphic designer,,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",The UPS Store #244,Chilliwack (BC),Salary: $32.50 hourly,2960997,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","6014 Vedder Rd Chilliwack , BC V2R 5P5",$ 32.50 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2960997,Not specified
5,graphic designer,,"June 22, 2024",2024-07-22,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 22, 2024",EN3 Solutions Ltd.,Edmonton (AB),Salary: $31.50 hourly,2971874,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Edmonton , AB",$ 31.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2971874,Shift
6,graphic designer,,"June 19, 2024",2024-07-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 19, 2024",Amtech Industries,Lloydminster (AB),Salary: $31.00 hourly,2633414,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits']}","5017 50 St Lloydminster , AB T9V 0L9",$ 31.00 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2633414,"Benefits:
					Health benefits"
7,graphic designer,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",Allure Ventures Inc,Vancouver (BC),Salary: $32.00 hourly,2956807,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Vancouver , BC",$ 32.00 HOUR hourly / 30 to 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2956807,Not specified
8,graphic designer,,"June 19, 2024",2024-07-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 19, 2024",Winston Hawthorne & Co. Immigration Corp,Edmonton (AB),Salary: $27.88 hourly,2967377,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Edmonton , AB",$ 27.88 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2967377,Not specified
9,graphic designer,,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Superfish Brands,Toronto (ON),Salary: $33.65 hourly,2945823,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","77 McMurrich St suite 211 Toronto , ON M5R 3V3 Remote work available",$ 33.65 HOUR hourly / 32 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2945823,Not specified
