,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,human resources assistant,,"June 07, 2024",Not specified,,,,"June 07, 2024",ERP College,Calgary (AB),Salary not available,9314494741,https://ca.indeed.com/viewjob?jk=d366c4df88c1d110&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9314494741,Not specified
1,human resources assistant,Title posted on CivicJobs.ca -HR Assistant,"June 14, 2024",2024-07-14,,,,"June 14, 2024",Surrey Police Service,Surrey (BC),"Salary: $61,000.00 annually",95443,https://www.civicjobs.ca/jobs?id=95443,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC","$ 61,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95443,Not specified
2,human resources assistant,,"June 18, 2024",Not specified,,,,"June 18, 2024",Landscape Effects Group of Companies,Belle River (ON),Salary: $20.00 hourly,9327838217,https://ca.indeed.com/viewjob?jk=c05e8bc47116deee&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Belle River , ON",$ 20.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9327838217,Not specified
3,human resources assistant,,"June 18, 2024",Not specified,,,,"June 18, 2024",Armstrong Top Pack - Topline,Leamington (ON),Salary not available,9328241043,https://ca.indeed.com/viewjob?jk=0faf0becdb02e8d7&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Leamington , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9328241043,Not specified
4,human resources assistant,,"June 21, 2024",2024-07-22,,,,"June 21, 2024",County of Essex,Essex (ON),Salary not available,GlvDMrksmq,https://job-openings.monster.ca/human-resources-assistant-essex-on-ca-county-of-essex/b7266d45-0b27-4c78-b8da-5e68f117e03f?mescoid=4300725001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Essex , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #GlvDMrksmq,Not specified
5,human resources assistant,Title posted on Monster -HR Assistant,"June 24, 2024",2024-07-25,,,,"June 24, 2024",Channel Partners Group,Toronto (ON),Salary not available,177020,https://job-openings.monster.ca/hr-assistant-toronto-on-ca-channel-partners-group/4ac42f8c-8e3d-4e43-a302-8aecf8c328ee?mescoid=4300725001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #177020,Not specified
6,human resources assistant,,"June 14, 2024",Not specified,,,,"June 14, 2024",Viva Recruiters,Woodbridge (ON),"Salary: $60,675.18 to $75,927.32 annually",9324166501,https://ca.indeed.com/viewjob?jk=6a72155be30468b8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Woodbridge , ON","$ 60,675.18 to $ 75,927.32 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9324166501,Not specified
7,human resources assistant,,"June 21, 2024",Not specified,,,,"June 21, 2024",Modern Beauty,Calgary (AB),Salary not available,9333295105,https://ca.indeed.com/viewjob?jk=81e1ec4520b1c9fc&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9333295105,Not specified
8,human resources assistant,,"June 03, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 03, 2024",The District of Nipissing Social Services Administration Board,North Bay (ON),Salary: $20.00 hourly,2942264,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits', 'Pension plan', 'Paid time off (volunteering or personal days)', 'Wellness program']}","200 McIntyre Street East North Bay , ON P1B 8J8",$ 20.00 HOUR hourly / 35 hours per week,Term or contract Full time,Starts as soon as possible,1 vacancy,Job Bank #2942264,"Benefits:
					Health benefits, Financial benefits, Other benefits"
9,human resources assistant,,"June 03, 2024",Not specified,,,,"June 03, 2024",Viva Recruiters,Woodbridge (ON),"Salary: $55,675.18 to $65,927.32 annually",9307325416,https://ca.indeed.com/viewjob?jk=424e1e22d23cd0ef&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Woodbridge , ON","$ 55,675.18 to $ 65,927.32 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9307325416,Not specified
