,Job Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,"heating, ventilating and air conditioning technician","March 16, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 16, 2024",Protech Refrigeration & HVAC Ltd,Edmonton (AB),Salary: $33.00 hourly,2840272,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","1748 61 Street SW Edmonton , AB T6X 0W3",$ 33.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2840272,Not specified
1,"HVAC (heating, ventilation and air conditioning) technologist","May 22, 2024",2024-07-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 22, 2024",Tavanco HVAC ltd.,West Vancouver (BC),Salary: $34.00 to $38.00 hourly (to be negotiated),2929141,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Health care plan']}","West Vancouver , BC",$ 34.00 to $ 38.00 HOUR hourly (To be negotiated) / 30 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2929141,"Benefits:
					Health benefits"
2,bookkeeper,"April 29, 2024",2024-07-18,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 29, 2024",INFINITY HVAC LTD,Cambridge (ON),Salary: $29.00 hourly,2898458,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Cambridge , ON",$ 29.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2898458,"Day, Weekend"
3,"mechanic, heating and cooling","April 29, 2024",2024-07-18,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 29, 2024",INFINITY HVAC LTD,Cambridge (ON),Salary: $34.00 hourly,2898420,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Cambridge , ON",$ 34.00 HOUR hourly / 35 to 44 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2898420,"Day, Evening, Night, Weekend, Overtime, Early Morning, Morning"
4,heating and air conditioning mechanic,"March 12, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 12, 2024",SPLENDID HVAC LTD.,Surrey (BC),Salary: $32.00 hourly,2833816,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Surrey , BC",$ 32.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2833816,Not specified
5,electric household appliance installer - residential and commercial equipment,"June 03, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 03, 2024",Edgetch HVAC Services Ltd.,Mississauga (ON),Salary: $29.00 hourly,2944088,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Dental plan']}","Mississauga , ON",$ 29.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2944088,"Benefits:
					Health benefits"
6,duct installer,"May 29, 2024",2024-06-26,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",ADVANCE HVAC SOLUTIONS LTD,Surrey (BC),Salary: $28.00 hourly,2939088,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Surrey , BC",$ 28.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2939088,Not specified
7,central air conditioning mechanic,"May 13, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 13, 2024",ADVANCE HVAC SOLUTIONS LTD,Surrey (BC),Salary: $31.00 hourly,2916133,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","6463 131A STREET Surrey , BC V3W 7P4",$ 31.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2916133,Flexible Hours
8,bookkeeper,"April 09, 2024",2024-07-23,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 09, 2024",Protech Refrigeration & HVAC Ltd,Edmonton (AB),Salary: $30.00 hourly,2871712,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Edmonton , AB",$ 30.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2871712,Shift
9,bookkeeper,"April 29, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 29, 2024",INTEGRAL HVAC & CONTRACTING INC.,Brampton (ON),Salary: $28.50 hourly,2897466,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","89 SUNNY MEADOW BLVD. Brampton , ON L6R 2H8",$ 28.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2897466,Not specified
10,"heating, ventilation and air conditioning (HVAC) mechanic","April 16, 2024",2024-07-06,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 16, 2024",Comfort zone hvac services,Oldcastle (ON),Salary: $27.00 to $28.00 hourly (to be negotiated),2880650,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","Oldcastle , ON On the road job",$ 27.00 to $ 28.00 HOUR hourly (To be negotiated) / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2880650,"Day, Evening, On Call, To be determined"
11,bookkeeper,"May 22, 2024",2024-07-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 22, 2024",CANADIAN STANDARD HVAC SERVICES INC.,Brampton (ON),Salary: $22.00 hourly,2925878,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Brampton , ON",$ 22.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2925878,"Evening, Shift, Flexible Hours, Early Morning"
