,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,interior designer,,"June 14, 2024",Not specified,,,,"June 14, 2024",Niradia Group of Companies,Delta (BC),"$55,000.00 to $75,000.00 annually",9323550932,https://ca.indeed.com/viewjob?jk=599111fe4cd05eef&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Delta , BC","$ 55,000 to $ 75,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9323550932,Not specified
1,interior designer,,"June 20, 2024",Not specified,,,,"June 20, 2024",JKCE Construction,Richmond (BC),"$60,000.00 annually",9332060492,https://ca.indeed.com/viewjob?jk=f45d8a83b089c125&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond , BC","$ 60,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9332060492,Not specified
2,interior designer,,"June 21, 2024",Not specified,,,,"June 21, 2024",Truong Ly Design Inc.,Toronto (ON),"$38,000.00 to $45,000.00 annually",9333507491,https://ca.indeed.com/viewjob?jk=4fe6926bd2f4b74e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON","$ 38,000 to $ 45,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9333507491,Not specified
3,interior designer,Title posted on ZipRecruiter -interior designer and Drafter,"June 24, 2024",2024-07-23,,,,"June 24, 2024",Arcoco design Studio,North York (ON),Salary not available,cfcdef1b,https://www.ziprecruiter.com/k/t/AAJj6sr-BL3rW4nprhfnnFl9ElU-gJh3-Oc0ZWenzc0kgrjmj1kJ4gsvIqtkz6dCUXapxW5uV5QKv4pn4JOHlDVdr38SphOi5PSdMPcgM2jMR6AnOXQMaHQHS8yd4Jjs4YRPlxiBWDYpku8SdaD87Qo68PnzcpD2pYafue7XMa385LUkTrg5MDMT28Uxf7yr0EKlYYzTgbShKsPSsctpEGzqnJ2S5IT2MR_xGadUpQ3TGKTZ3m4bta68t4XUqu-7V8fBtOaZ3qmAxjxizJ7jCVmsuwu3C-JGS6NyPSczAwa_zVKxYDwNFzrFKp9KU2795io,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North York , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,ZipRecruiter #cfcdef1b,Not specified
4,interior designer,,"March 01, 2024",2024-06-29,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 01, 2024",Canmore Paint & Interiors LTD.,Canmore (AB),$29.50 hourly,2820292,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Health care plan', 'Parking available']}","Canmore , AB",$ 29.50 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2820292,"Benefits:Health benefits, Other benefits"
5,interior designer,Title posted on indeed.com -Intermediate Interior Designer,"June 20, 2024",Not specified,,,,"June 20, 2024",BYU Design,Vancouver (BC),"$58,000.00 to $78,000.00 annually",9331552472,https://ca.indeed.com/viewjob?jk=056cf5c3bdb30b5f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC","$ 58,000 to $ 78,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9331552472,Not specified
6,interior designer,,"June 06, 2024",Not specified,,,,"June 06, 2024",House of Bohn,Vancouver (BC),"$60,000.00 to $90,000.00 annually",9312491087,https://ca.indeed.com/viewjob?jk=4af38c0b1a2b7eeb&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC","$ 60,000 to $ 90,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9312491087,Not specified
7,interior designer,,"June 07, 2024",2024-07-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 07, 2024",Le moine urbain,Montréal (QC),$20.00 to $30.00 hourly (to be negotiated),2951031,,"{'Language Requirement': 'Bilingual', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Commission', 'Maternity and parental benefits']}","281 av laurier ouest Montréal , QC H2V 2K1",$ 20.00 to $ 30.00 HOUR hourly (To be negotiated) / 37.5 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2951031,"Benefits:Financial benefits, Long term benefits"
8,interior designer,,"June 21, 2024",Not specified,,,,"June 21, 2024",RenoDuck Inc,Concord (ON),"$60,000.00 to $100,000.00 annually",9332964157,https://ca.indeed.com/viewjob?jk=4c4115920b210d29&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Concord , ON","$ 60,000 to $ 100,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9332964157,Not specified
9,interior designer,,"June 25, 2024",Not specified,,,,"June 25, 2024",Cecconi Simone Inc,Toronto (ON),Salary not available,9337291387,https://ca.indeed.com/viewjob?jk=8f78dc6055d030d5&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9337291387,Not specified
