,Job Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,regulatory compliance specialist,"June 12, 2024",2024-07-02,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 12, 2024",ElectionBuddy Inc.,"LocationEdmonton, AB","$80,000.00 to $110,000.00 annually (to be negotiated)",2957478,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Bonus', 'Life insurance', 'Learning/training paid by employer', 'Other benefits', 'Team building opportunities']}","Virtual job based in Edmonton, AB","$ 80,000 to $ 110,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2957478,"Benefits:Health benefits, Financial benefits, Other benefits"
1,social media specialist,"June 17, 2024",2024-07-01,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 17, 2024",Forward Precision Inc.,"LocationToronto, ON",$20.00 hourly + 10% commission per sale,2963968,"{'Language Requirement': 'English or French', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Bonus', 'Stocks/shares']}","Virtual job based in Toronto, ON",$ 20.00 HOUR hourly / 7 to 14 hours per week + 10% commission per sale Minimum wage is guaranteed,Permanent employment Part time,Starts as soon as possible,2,Job Bank #2963968,"Benefits:Financial benefits"
2,marketing specialist,"June 03, 2024",2024-07-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 03, 2024",JUE WEI FOOD (CANADA) LTD.,"LocationMississauga, ON","$3,000.00 to $4,000.00 monthly (to be negotiated)",2942076,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Dental plan', 'Vision care benefits', 'Bonus']}","Virtual job based in Mississauga, ON","$ 3,000 to $ 4,000 MONTH monthly (To be negotiated) / 40 hours per week",Term or contract Full time,Starts as soon as possible,1 vacancy,Job Bank #2942076,"Benefits:Health benefits, Financial benefits"
3,marketing specialist,"April 04, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 04, 2024",Revenue Pulse Inc.,"LocationNepean, ON","$80,000.00 to $85,000.00 annually (to be negotiated)",2864038,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Group insurance benefits', 'Life insurance']}","Virtual job based in Nepean, ON","$ 80,000 to $ 85,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2864038,"Benefits:Health benefits, Financial benefits"
4,aboriginal education consultant,"June 19, 2024",2024-07-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 19, 2024",Gakino'amage: Teach For Canada,"LocationToronto, ON","$53,281.00 to $74,130.00 annually (to be negotiated)",2965641,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Virtual job based in Toronto, ON","$ 53,281 to $ 74,130 YEAR annually (To be negotiated) / 40 hours per week",Term or contract Full time,Starts as soon as possible,1 vacancy,Job Bank #2965641,Flexible Hours
5,marketing assistant,"June 18, 2024",2024-07-02,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 18, 2024",RSRS - Record Storage & Retrieval Services Inc.,"LocationToronto, ON","$1,200.00 to $1,500.00 monthly (to be negotiated)",2964445,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Virtual job based in Toronto, ON","$ 1,200 to $ 1,500 MONTH monthly (To be negotiated) / 20 hours per month",Term or contract (ending: 2024-09-30) Part time,"Starts as soon as 2024-07-01						to	2024-09-30",1 vacancy,Job Bank #2964445,Flexible Hours
6,telecommunications engineer,"June 17, 2024",2024-07-01,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 17, 2024",Mobia Technology Innovations,"LocationDartmouth, NS",$40.00 to $50.00 hourly (to be negotiated),2963514,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits', 'Registered Retirement Savings Plan (RRSP)', 'Tax-Free Savings Account (TFSA)']}","Virtual job based in Dartmouth, NS",$ 40.00 to $ 50.00 HOUR hourly (To be negotiated) / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2963514,"Benefits:Health benefits, Financial benefits, Long term benefits"
7,social media coordinator,"June 12, 2024",2024-07-02,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 12, 2024",Fanmi Se Fanmi,"LocationLongueuil, QC",$17.55 hourly,2956030,"{'Language Requirement': 'French', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['As per collective agreement', 'Learning/training paid by employer', 'Other benefits']}","Virtual job based in Longueuil, QC",$ 17.55 HOUR hourly / 25 hours per week,Term or contract Part time,Starts as soon as possible,1 vacancy,Job Bank #2956030,"Benefits:Financial benefits, Other benefits"
8,student recruiter - post-secondary education,"June 13, 2024",2024-06-27,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 13, 2024",Brooklyn International College of Toronto,"LocationToronto, ON",Salary: 25% commission per sale,2957664,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Virtual job based in Toronto, ON",25% commission per sale / 10 to 40 hours per week Minimum wage is guaranteed,Term or contract Part time leading to full time,Starts as soon as possible,10,Job Bank #2957664,Not specified
9,advertising consultant,"May 02, 2024",2024-07-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 02, 2024",Commerce Garage Inc.,"LocationToronto, ON",$45.00 hourly,2901877,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Virtual job based in Toronto, ON",$ 45.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2901877,Not specified
