,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,lawyer,,"June 07, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 07, 2024",Michael Reed Law Corporation,Vanderhoof (BC),Salary: $70.00 hourly,2952472,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","2575 Bute  Ave, P.O. BOX 1430 Vanderhoof , BC V0J 3A0",$ 70.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2952472,"Day, Overtime, Morning"
1,lawyer,,"June 13, 2024",Not specified,,,,"June 13, 2024",Citadel Law Corporation,Vancouver (BC),"Salary: $55,000.00 to $186,487.16 annually",9322596472,https://ca.indeed.com/viewjob?jk=14c87d90674bf4a7&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC","$ 55,000 to $ 186,487.16 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9322596472,Not specified
2,lawyer,Title posted on Monster -Commercial Litigation Lawyer,"June 18, 2024",2024-07-18,,,,"June 18, 2024",Forge Recruitment,Toronto (ON),Salary not available,24-00398-1570-1,https://job-openings.monster.ca/commercial-litigation-lawyer-toronto-on-ca-forge-recruitment/7c68a2a3-4f5b-4f02-8a75-965558e1cb79?mescoid=2300327001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-00398-1570-1,Not specified
3,associate lawyer,,"June 17, 2024",Not specified,,,,"June 17, 2024",Soica & Associates,Toronto (ON),"Salary: $50,000.00 to $60,000.00 annually",9326449541,https://ca.indeed.com/viewjob?jk=435da89ac4fed845&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON","$ 50,000 to $ 60,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9326449541,Not specified
4,criminal lawyer,,"June 13, 2024",Not specified,,,,"June 13, 2024",Lawyer UP Canada,Toronto (ON),"Salary: $80,000.00 to $130,000.00 annually",9324725546,https://ca.indeed.com/viewjob?jk=34c9b250df8aa12e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON","$ 80,000 to $ 130,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9324725546,Not specified
5,lawyer,Title posted on Monster -Employment Lawyer,"June 13, 2024",2024-07-14,,,,"June 13, 2024",Forge Recruitment,Vancouver (BC),Salary not available,24-00393-1570-1,https://job-openings.monster.ca/employment-lawyer-vancouver-bc-ca-forge-recruitment/e2874234-c465-4543-80db-b8bb51c4e0d7?mescoid=2300327001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-00393-1570-1,Not specified
6,lawyer,Title posted on ZipRecruiter -Personal Injury Lawyer,"June 11, 2024",2024-07-10,,,,"June 11, 2024",Antonov Kaganovich LLP,Toronto (ON),Salary not available,2202400134,https://www.ziprecruiter.com/k/t/AAIFizE_zgW1U6hHAJAA5u7nQTjQ8iv4mP13xRMVc1Sn8Ox3zhkcfwl5A5ffKD1BoPURFhCS44e7F2mG2rwJOPTSSEmkkVyJ6fnWczw9Yf_sQ1hBJY9Tq9Tk0p3WxKaIIy5WnueVDWnno8lY17J3VYN05A7OH3t7FG9J0khWn1dbXxivpZutQeWGWg15p-laxBpXN7ZHEFQx38YnfBUWEEWbACulmMhRa428mfLdnv7N2SE021ftD9JQA6RbR9xPbUHF5brTIe3-r5Zlo-t4AHPoXGyk9PHQvXoGbuyDvqhHnF_QEx5vJ2cevkUXL64,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #2202400134,Not specified
7,lawyer,Title posted on indeed.com -Practicing Lawyer,"June 23, 2024",Not specified,,,,"June 23, 2024",SAS Precision Manufacturing Inc,Aurora (ON),"Salary: $70,000.00 to $175,000.00 annually",9334873465,https://ca.indeed.com/viewjob?jk=7cedc1b96286a077&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Aurora , ON","$ 70,000 to $ 175,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9334873465,Not specified
8,associate lawyer,,"June 15, 2024",Not specified,,,,"June 15, 2024",Raj Dhillon Law Corporation Ltd.,Surrey (BC),"Salary: $54,000.00 to $84,000.00 annually",9324881884,https://ca.indeed.com/viewjob?jk=f18da3f69398a969&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC","$ 54,000 to $ 84,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9324881884,Not specified
9,associate lawyer,,"June 04, 2024",Not specified,,,,"June 04, 2024",Mahogany Law Group LLP,Abbotsford (BC),"Salary: $69,588.91 to $158,364.25 annually",9309763105,https://ca.indeed.com/viewjob?jk=541253decbf6ea2b&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Abbotsford , BC","$ 69,588.91 to $ 158,364.25 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9309763105,Not specified
10,lawyer,,"April 30, 2024",2024-07-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 30, 2024",Toronto Advocates,Various locations,Salary: $26.20 hourly,2899731,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","Various locations Winnipeg , , MB North York , , ON",$ 26.20 HOUR hourly / 30 to 40 hours per week,Term or contract Full time,Starts as soon as possible,1 vacancy,Job Bank #2899731,"Day, Evening, Early Morning, Morning"
11,lawyer,Title posted on Monster -Associate Lawyer - Family Law,"June 13, 2024",2024-07-14,,,,"June 13, 2024",Forge Recruitment,Abbotsford (BC),Salary not available,24-00247-1570-1,https://job-openings.monster.ca/associate-lawyer-family-law-abbotsford-bc-ca-forge-recruitment/e09100ba-1abc-428e-b630-a5c2199a5bfd?mescoid=2300327001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Abbotsford , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-00247-1570-1,Not specified
12,lawyer,Title posted on Monster -Associate Lawyer,"June 13, 2024",2024-07-14,,,,"June 13, 2024",Forge Recruitment,Vancouver (BC),Salary not available,24-00218-1570-1,https://job-openings.monster.ca/associate-lawyer-vancouver-bc-ca-forge-recruitment/dc2ef748-ea86-43fa-b5d9-56c97a7d6305?mescoid=2300327001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-00218-1570-1,Not specified
