,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,legal assistant,,"June 18, 2024",Not specified,,,,"June 18, 2024",Macdonald Hanley,Calgary (AB),"Salary: $49,000.00 to $50,000.00 annually",9328218959,https://ca.indeed.com/viewjob?jk=1c487d48c5fc2d96&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB","$ 49,000 to $ 50,000 YEAR annually",Part time,Starts as soon as possible,1 vacancy,indeed.com #9328218959,Not specified
1,legal assistant,,"June 14, 2024",Not specified,,,,"June 14, 2024",Smedstad & Sandstrom LLP,Edmonton (AB),Salary: $20.00 to $40.00 hourly,9323580558,https://ca.indeed.com/viewjob?jk=151b337f5a4e257b&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",$ 20.00 to $ 40.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9323580558,Not specified
2,legal assistant,,"June 17, 2024",Not specified,,,,"June 17, 2024",William Kerr Barrister & Solicitor,Oakville (ON),"Salary: $50,000.00 annually",9326631533,https://ca.indeed.com/viewjob?jk=5852dd897e580de8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Oakville , ON","$ 50,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9326631533,Not specified
3,legal assistant,,"June 13, 2024",Not specified,,,,"June 13, 2024",Bennet Waugh Corne,Winnipeg (MB),"Salary: $40,000.00 annually",9321818278,https://ca.indeed.com/viewjob?jk=3edef6afeb18e46e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB","$ 40,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9321818278,Not specified
4,legal assistant,,"June 25, 2024",Not specified,,,,"June 25, 2024",Malcolm E. Graham,Hamilton (ON),Salary: $21.00 hourly,9337124627,https://ca.indeed.com/viewjob?jk=1609ad1747f3393c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Hamilton , ON",$ 21.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9337124627,Not specified
5,legal assistant,,"June 20, 2024",2024-07-19,,,,"June 20, 2024",B&D Walter Trucking,Lethbridge (AB),"Salary: $4,104.72 monthly",cac3cae3,https://www.ziprecruiter.com/k/t/AAJog0QV1wCe898MigoVUiaw5mdh9KYY771vw-YY7DM5g6vzFe_uajl-VBJY1O_dsS9ZFW0bjDG0MYozoqbdOjzctACu0-_hatnbwytD8B49dLn6uE4nlbE6TJWkGcEZg_FYGc8qdJWWfVXMrKEyI-JpeolV8DEA59kwsZx_P8Fk9PM6YJwnhcTND996DmRfz7UIMudfCpaU3rbQGrhpvr-hrw4w_qPSCDJlqd55Z0nd7HPx_B39kogRSYMToQplxqmu5tgOkpJGQAmKe0MNQpXWRpUCGs_FiiAFwldJFSvtqQ,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Lethbridge , AB","$ 4,104.72 MONTH monthly",Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #cac3cae3,Not specified
6,legal assistant,,"June 07, 2024",Not specified,,,,"June 07, 2024",Unique Law Firm,North York (ON),"Salary: $35,000.00 to $50,000.00 annually",9313709478,https://ca.indeed.com/viewjob?jk=e704cc83508cfcf9&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North York , ON","$ 35,000 to $ 50,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9313709478,Not specified
7,legal assistant,,"June 10, 2024",Not specified,,,,"June 10, 2024",Origin Law Group,Surrey (BC),"Salary: $45,000.00 to $50,000.00 annually",9317038801,https://ca.indeed.com/viewjob?jk=070d51c295fb56b7&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC","$ 45,000 to $ 50,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9317038801,Not specified
8,legal assistant,,"June 21, 2024",Not specified,,,,"June 21, 2024",McLennan Ross LLP,Edmonton (AB),Salary not available,9333029111,https://ca.indeed.com/viewjob?jk=7c333203d09ee759&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9333029111,Not specified
9,legal assistant,,"May 30, 2024",2024-07-25,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 30, 2024",Uppal Legal Group,Saskatoon (SK),Salary: $26.00 hourly,2940894,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Free parking available', 'Other benefits', 'Paid time off (volunteering or personal days)']}","Saskatoon , SK",$ 26.00 HOUR hourly / 37.5 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2940894,"Benefits:
					Other benefits"
