,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,legal technician,,"May 31, 2024",2024-07-26,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 31, 2024",Kanset Services Inc.,North York (ON),Salary: $35.50 hourly,2941249,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","North York , ON",$ 35.50 HOUR hourly / 30 to 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2941249,Not specified
1,legal assistant,Title posted on Monster -Litigation Legal Assistant (Floater) #1,"June 13, 2024",2024-07-14,,,,"June 13, 2024",Forge Recruitment,Toronto (ON),Salary not available,24-00371-1570-1,https://job-openings.monster.ca/litigation-legal-assistant-floater-1-toronto-on-ca-forge-recruitment/5d39cdb5-c264-4586-a11a-dc8607293bc0?mescoid=4300747001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-00371-1570-1,Not specified
2,legal assistant,Title posted on Monster -Litigation Legal Assistant (Floater) #2,"June 13, 2024",2024-07-14,,,,"June 13, 2024",Forge Recruitment,Toronto (ON),Salary not available,24-00372-1570-1,https://job-openings.monster.ca/litigation-legal-assistant-floater-2-toronto-on-ca-forge-recruitment/048f3d97-956d-4303-b32e-7357ff13afa6?mescoid=4300747001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-00372-1570-1,Not specified
3,legal assistant,Title posted on Monster -Estates Litigation Legal Assistant,"June 18, 2024",2024-07-18,,,,"June 18, 2024",Forge Recruitment,Toronto (ON),Salary not available,24-00399-1570-1,https://job-openings.monster.ca/estates-litigation-legal-assistant-toronto-on-ca-forge-recruitment/6003a35d-7357-412c-a652-6bd051169dfb?mescoid=4300747001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-00399-1570-1,Not specified
4,"clerk, law",Title posted on indeed.com -Law Clerk Plaintiff,"June 17, 2024",Not specified,,,,"June 17, 2024",Reeves Richarz LLP,Toronto (ON),"Salary: $65,000.00 to $75,000.00 annually",9326493974,https://ca.indeed.com/viewjob?jk=ab5b8dd74176ddc2&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON","$ 65,000 to $ 75,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9326493974,Not specified
5,legal assistant,,"June 25, 2024",Not specified,,,,"June 25, 2024",Glowinsky Law,North York (ON),Salary not available,9337348714,https://ca.indeed.com/viewjob?jk=8965a5d3cdcff117&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North York , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9337348714,Not specified
6,legal assistant,,"June 07, 2024",Not specified,,,,"June 07, 2024",Fridman & Company Law Office,Winnipeg (MB),Salary not available,9314433932,https://ca.indeed.com/viewjob?jk=14b9d2b2f9155f74&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9314433932,Not specified
7,legal assistant,,"June 08, 2024",Not specified,,,,"June 08, 2024",Anita Perera Law Professional Corporation,Brampton (ON),Salary not available,9315037421,https://ca.indeed.com/viewjob?jk=2a91b889431e247f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Brampton , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9315037421,Not specified
8,legal technician,,"March 18, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 18, 2024",Merchant Law Group,Regina (SK),Salary: $31.25 hourly,2839889,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Health care plan']}","2401 Saskatchewan Drive suite 100 Regina , SK S4P 4H8",$ 31.25 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2839889,"Benefits:
					Health benefits"
9,legal assistant,,"June 25, 2024",Not specified,,,,"June 25, 2024",Malcolm E. Graham,Hamilton (ON),Salary: $21.00 hourly,9337124627,https://ca.indeed.com/viewjob?jk=1609ad1747f3393c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Hamilton , ON",$ 21.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9337124627,Not specified
10,family law clerk,,"June 22, 2024",Not specified,,,,"June 22, 2024",MFC Law Professional Corporation,Guelph (ON),"Salary: $70,000.00 annually",9334109984,https://ca.indeed.com/viewjob?jk=f032e9c0a3c686b4&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Guelph , ON","$ 70,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9334109984,Not specified
11,real estate clerk,,"June 19, 2024",Not specified,,,,"June 19, 2024",SKS Law LLP,Ottawa (ON),"Salary: $50,000.00 annually",9329993467,https://ca.indeed.com/viewjob?jk=307686a5a093c416&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON","$ 50,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9329993467,Not specified
12,"clerk, law",Title posted on Monster -Family Law Clerk,"June 20, 2024",2024-07-20,,,,"June 20, 2024",Forge Recruitment,Toronto (ON),Salary not available,24-00405-1570-1,https://job-openings.monster.ca/family-law-clerk-toronto-on-ca-forge-recruitment/c7e4eef1-3b51-4c69-b9c8-7b24a7333ef2?mescoid=2300328001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-00405-1570-1,Not specified
13,law clerk,Title posted on ZipRecruiter -Intermediate or Senior Real Estate Law Clerk,"June 18, 2024",2024-07-17,,,,"June 18, 2024",McMurter & Associates,Whitby (ON),"Salary: $75,490.80 annually",bd0744ac,https://www.ziprecruiter.com/k/t/AAJVnqoCg-etbbuwIJYPx1PjxwxnHPQEGeAQHdDZJI4SyNBb6VtiytZLCaU1oh7l4H6V7dtj1_oIA96ZLYaU97-ukKDalMdEiSguJQmd4BqFXjzisLo4N-w9_60hAj6ZQ403gnaPH0bBjccj8aYnV911WqsZshBC7ALmOe-3mPEiWbr1NWJ8xFoCRBbR_bc58AX94JyOCYSFr9Cf_dLaKYWBhOMEBnSETftN_1rly6FimVgfCceYxjBuev5Xg-32lfRjs_EOlQNYOZl5M6z8ElauOrph-RI8Gl5hqO48ZsKH32HwHradEygzn5TJuqCy6wNKzELOY9yKXuDnxk3b8w,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Whitby , ON","$ 75,490.8 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #bd0744ac,Not specified
14,legal assistant,Title posted on Monster -Legal Assistant - Float,"June 13, 2024",2024-07-14,,,,"June 13, 2024",Forge Recruitment,Toronto (ON),Salary not available,24-00242-1570-1,https://job-openings.monster.ca/legal-assistant-float-toronto-on-ca-forge-recruitment/1d3bfa8c-2144-461b-b56b-af10a88bfde2?mescoid=4300747001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-00242-1570-1,Not specified
15,"clerk, law",Title posted on Monster -Residential Real Estate Law Clerk,"June 14, 2024",2024-07-14,,,,"June 14, 2024",Forge Recruitment,Toronto (ON),Salary not available,24-00384-1570-1,https://job-openings.monster.ca/residential-real-estate-law-clerk-toronto-on-ca-forge-recruitment/4d952837-b6d0-42eb-aaa9-b1626f0cc899?mescoid=2300327001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-00384-1570-1,Not specified
16,law clerk,,"June 10, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 10, 2024",MBLAW Professional Corporation,North York (ON),Salary: $35.00 to $36.00 hourly (to be negotiated),2954817,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Free parking available', 'Team building opportunities']}","5050 DUFFERIN ST. North York , ON M6L 1A4",$ 35.00 to $ 36.00 HOUR hourly (To be negotiated) / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2954817,"Benefits:
					Other benefits"
17,litigation legal assistant,,"June 18, 2024",Not specified,,,,"June 18, 2024",The Elusive Fox Inc.,Toronto (ON),"Salary: $60,000.00 to $75,000.00 annually",9327939963,https://ca.indeed.com/viewjob?jk=3cab1a4f917c9ede&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON","$ 60,000 to $ 75,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9327939963,Not specified
18,family law legal assistant,,"June 24, 2024",Not specified,,,,"June 24, 2024",SV Law,Guelph (ON),Salary not available,9335817511,https://ca.indeed.com/viewjob?jk=7d9d98d68c11153e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Guelph , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9335817511,Not specified
19,corporate law legal assistant,,"June 10, 2024",Not specified,,,,"June 10, 2024",Loopstra Nixon LLP,Etobicoke (ON),"Salary: $55,000.00 to $60,000.00 annually",9316724993,https://ca.indeed.com/viewjob?jk=33462c1dcece4a0f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Etobicoke , ON","$ 55,000 to $ 60,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9316724993,Not specified
20,real estate law clerk,,"June 14, 2024",Not specified,,,,"June 14, 2024",Brightling & Watson Lawyers,St. Thomas (ON),Salary: $25.00 to $30.00 hourly,9323530998,https://ca.indeed.com/viewjob?jk=e89471495dacd1ba&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","St. Thomas , ON",$ 25.00 to $ 30.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9323530998,Not specified
