,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,legal secretary,,"June 24, 2024",2024-07-08,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 24, 2024",Said Mohammedally-Lawyer,Toronto (ON),Salary: $22.00 to $28.00 hourly (to be negotiated),2973471,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Free parking available']}","45 Overlea Blvd. Toronto , ON M4H 1C3",$ 22.00 to $ 28.00 HOUR hourly (To be negotiated) / 25 to 30 hours per week,Permanent employment Part time leading to full time,Starts as soon as possible,1 vacancy,Job Bank #2973471,"Benefits:
					Other benefits"
1,legal secretary,,"June 25, 2024",2024-07-09,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 25, 2024",Allen & Associates,Dawson Creek (BC),"Salary: $3,300.00 to $3,900.00 monthly (to be negotiated)",2975090,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits']}","Dawson Creek , BC","$ 3,300 to $ 3,900 MONTH monthly (To be negotiated) / 35 to 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2975090,"Benefits:
					Health benefits"
2,legal secretary,Title posted on CareerBeacon -Moncton Bilingual Litigation Legal Assistant,"June 20, 2024",2024-07-20,,,,"June 20, 2024",McInnes Cooper,Moncton (NB),Salary not available,2083949,https://www.careerbeacon.com/en/job/2083949/mcinnes-cooper/moncton-bilingual-litigation-legal-assistant/moncton?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Moncton , NB",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2083949,Not specified
3,legal secretary,,"April 09, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 09, 2024",Ann Arbour Consultants Inc.,Whitby (ON),Salary: $25.00 hourly,2871534,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","409 Brock Street South Whitby , ON L1N 4K5",$ 25.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2871534,"Day, Evening, Weekend, Morning"
4,legal secretary,,"April 19, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 19, 2024",WORLD IMMIGRATION NETWORK INC.,Toronto (ON),Salary: $28.40 hourly,2886940,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Toronto , ON",$ 28.40 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2886940,Not specified
5,legal secretary,Title posted on CareerBeacon -Charlottetown Legal Assistant,"May 30, 2024",2024-06-29,,,,"May 30, 2024",McInnes Cooper,Charlottetown (PE),"Salary: $40,000.00 annually",2064931,https://www.careerbeacon.com/en/job/2064931/mcinnes-cooper/charlottetown-legal-assistant/charlottetown?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Charlottetown , PE","$ 40,000 YEAR annually",Term or contract,Starts as soon as possible,1 vacancy,CareerBeacon #2064931,Not specified
6,legal administrative assistant,,"May 24, 2024",2024-07-18,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 24, 2024",Granard Management,Vancouver (BC),Salary: $28.85 hourly,2931335,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits']}","Vancouver , BC",$ 28.85 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2931335,"Benefits:
					Health benefits"
7,legal secretary,Title posted on Jobillico -Adjoint juridique - droit du transport,"June 26, 2024",2024-07-25,,,,"June 26, 2024",Stein Monast,Québec (QC),"Salary: $47,000.00 to $76,000.00 annually",13883109,https://www.jobillico.com/en/job-offer/stein-monast-ismimk/adjoint-e-juridique-droit-du-transport/13883109?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Québec , QC","$ 47,000 to $ 76,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13883109,Not specified
8,legal secretary,Title posted on Jobillico -Secrétaire juridique,"June 18, 2024",2024-07-17,,,,"June 18, 2024",Réseau d?aide juridique,Dolbeau-Mistassini (QC),"Salary: $42,315.00 to $52,050.00 annually",13008987,https://www.jobillico.com/en/job-offer/reseau-d-aide-juridique/secretaire-juridique/13008987?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Dolbeau-Mistassini , QC","$ 42,315 to $ 52,050 YEAR annually",Term or contract Full time,Starts as soon as possible,1 vacancy,Jobillico #13008987,Not specified
9,legal secretary,Title posted on Jobillico -Secrétaire juridique Val-d'Or Nord (Kuujjuaq),"June 17, 2024",2024-07-16,,,,"June 17, 2024",Réseau d?aide juridique,Val-d'Or (QC),"Salary: $43,166.00 to $53,096.00 annually",13803741,https://www.jobillico.com/en/job-offer/reseau-d-aide-juridique/secretaire-juridique-val-d-or-nord-kuujjuaq-/13803741?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Val-d'Or , QC","$ 43,166 to $ 53,096 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13803741,Not specified
