,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,librarian,Title posted on CareerBeacon -Librarian III,"June 06, 2024",2024-07-06,,,,"June 06, 2024",NL Health Services,St. John's (NL),Salary: $40.11 hourly,2070877,https://www.careerbeacon.com/en/job/2070877/nl-health-services/librarian-iii/st-john-s?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","St. John's , NL",$ 40.11 HOUR hourly,Term or contract,Starts as soon as possible,1 vacancy,CareerBeacon #2070877,Not specified
1,secondary school librarian,Title posted on ApplyToEducation --012 - 1   0.3 FTE Term Specific Librarian,"June 04, 2024",2024-08-03,,,,"June 04, 2024",School District #78 (Fraser-Cascade),Hope (BC),Salary not available,2774852,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=7948785a-dabc-4818-8948-a8e596caecda&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Hope , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2774852,Not specified
2,secondary school librarian,Title posted on ApplyToEducation -Temporary .5 FTE Teacher Librarian position (Posting No. 24-074),"May 28, 2024",2024-07-27,,,,"May 28, 2024",School District #72 (Campbell River),Quathiaski Cove (BC),Salary not available,2773315,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=f6cd8c9e-9ae7-423f-9761-45d8fe2c3fd3&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Quathiaski Cove , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2773315,Not specified
3,secondary school librarian,Title posted on ApplyToEducation -Temporary .6 FTE Teacher Librarian position (Posting No. 24-073),"May 28, 2024",2024-07-27,,,,"May 28, 2024",School District #72 (Campbell River),Campbell River (BC),Salary not available,2773316,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=37374a60-70ca-4753-a238-604b6eb530bf&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Campbell River , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2773316,Not specified
4,secondary school librarian,Title posted on ApplyToEducation -Probationary Librarian @ 0.25 FTE,"June 01, 2024",2024-07-31,,,,"June 01, 2024",Red Deer Catholic Regional Division No. 39,Red Deer (AB),Salary not available,2774687,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=265d6b6b-c2d8-407b-9c9e-76a4e2b8705a&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Red Deer , AB",Not available,Permanent employment Part time,Starts as soon as possible,1 vacancy,ApplyToEducation #2774687,Not specified
5,high school librarian,Title posted on ApplyToEducation -Temporary Librarian @ 0.50 FTE,"June 01, 2024",2024-07-31,,,,"June 01, 2024",Red Deer Catholic Regional Division No. 39,Red Deer (AB),Salary not available,2774706,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=c382015f-64dc-420a-b108-0263fc8eb5cd&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Red Deer , AB",Not available,Permanent employment Part time,Starts as soon as possible,1 vacancy,ApplyToEducation #2774706,Not specified
6,secondary school librarian,Title posted on ApplyToEducation -Probationary Librarian @ 0.50 FTE,"June 01, 2024",2024-07-31,,,,"June 01, 2024",Red Deer Catholic Regional Division No. 39,Red Deer (AB),Salary not available,2774710,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=3d5bc43a-37a3-43e1-bd93-61e877721e1d&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Red Deer , AB",Not available,Permanent employment Part time,Starts as soon as possible,1 vacancy,ApplyToEducation #2774710,Not specified
7,secondary school librarian,Title posted on ApplyToEducation -Probationary Librarian @ 0.50 FTE,"June 01, 2024",2024-07-31,,,,"June 01, 2024",Red Deer Catholic Regional Division No. 39,Red Deer (AB),Salary not available,2774721,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=86c385c4-6080-4b56-8d95-60d549196277&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Red Deer , AB",Not available,Permanent employment Part time,Starts as soon as possible,1 vacancy,ApplyToEducation #2774721,Not specified
8,secondary school librarian,Title posted on ApplyToEducation -Probationary Librarian @ 1.0 FTE,"June 01, 2024",2024-07-31,,,,"June 01, 2024",Red Deer Catholic Regional Division No. 39,Red Deer (AB),Salary not available,2774718,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=f3c9bb3c-0261-4a43-924a-6bace3406551&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Red Deer , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2774718,Not specified
9,secondary school librarian,"Title posted on ApplyToEducation -LTO -1.0 LIBRARIAN, LIBRARIAN QUALS","June 11, 2024",2024-08-10,,,,"June 11, 2024",Simcoe County District School Board,Orillia (ON),Salary not available,2777033,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=a016aec6-c14d-4717-820e-0b76d53cce04&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Orillia , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2777033,Not specified
