,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,licensed practical nurse (L.P.N.),Title posted on Monster -Licensed Practical Nurse (LPN) - Devonshire,"May 31, 2024",2024-07-01,,,,"May 31, 2024",Park Place Seniors Living,Edmonton (AB),Salary not available,hGV245SgkA,https://job-openings.monster.ca/licensed-practical-nurse-lpn-devonshire-edmonton-ab-ca-park-place-seniors-living/c67eefc4-c41a-483c-8463-b3090085a728?mescoid=2900530001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",Not available,Term or contract Part time,Starts as soon as possible,1 vacancy,Monster #hGV245SgkA,Not specified
1,licensed practical nurse (L.P.N.),"Title posted on Monster -Licensed Practical Nurse (LPN), MHSU","June 13, 2024",2024-07-14,,,,"June 13, 2024",Vancouver Coastal Health,Vancouver (BC),Salary not available,02254cf2fafb4c9c98f70faa92844c90,https://job-openings.monster.ca/licensed-practical-nurse-lpn-mhsu-vancouver-bc-ca-vancouver-coastal-health/8f000ffb-7cb2-4586-be7f-29db86a4a5ef?mescoid=2900530001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #02254cf2fafb4c9c98f70faa92844c90,Not specified
2,licensed practical nurse (L.P.N.),Title posted on Monster -Licensed Practical Nurse (LPN) - 3 South Acute Medicine & Telemetry,"June 12, 2024",2024-07-13,,,,"June 12, 2024",Vancouver Coastal Health,Richmond (BC),Salary not available,bb35744a215b42769ebe73764524f089,https://job-openings.monster.ca/licensed-practical-nurse-lpn-3-south-acute-medicine-telemetry-richmond-bc-ca-vancouver-coastal-health/984d15b6-408a-44ff-81f3-9f446500d6ad?mescoid=2900530001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #bb35744a215b42769ebe73764524f089,Not specified
3,licensed practical nurse (L.P.N.),Title posted on Monster -Licensed Practical Nurse (LPN),"June 07, 2024",2024-07-08,,,,"June 07, 2024",Vancouver Coastal Health,Squamish (BC),Salary not available,b16c9733206241aab79b19df1df54756,https://job-openings.monster.ca/licensed-practical-nurse-lpn-squamish-bc-ca-vancouver-coastal-health/370f7b18-fa78-44af-9790-6e1d838ccb54?mescoid=2900530001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Squamish , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #b16c9733206241aab79b19df1df54756,Not specified
4,licensed practical nurse (L.P.N.),Title posted on Monster -Licensed Practical Nurse (LPN),"June 07, 2024",2024-07-08,,,,"June 07, 2024",Vancouver Coastal Health,Sechelt (BC),Salary not available,4bb62e6f1f1845f7816f9971d13ba780,https://job-openings.monster.ca/licensed-practical-nurse-lpn-sechelt-bc-ca-vancouver-coastal-health/fafcd2a2-f404-413d-ba45-91710a920fa7?mescoid=2900530001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sechelt , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #4bb62e6f1f1845f7816f9971d13ba780,Not specified
5,licensed practical nurse (L.P.N.),Title posted on CareerBeacon -Licensed Practical Nurse I,"June 11, 2024",2024-07-11,,,,"June 11, 2024",NL Health Services,Labrador City (NL),Salary not available,2010728,https://www.careerbeacon.com/en/job/2010728/nl-health-services/licensed-practical-nurse-i/labrador-city?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Labrador City , NL",Not available,Term or contract,Starts as soon as possible,1 vacancy,CareerBeacon #2010728,Not specified
6,licensed practical nurse (L.P.N.),Title posted on Monster -Licensed Practical Nurse,"June 10, 2024",2024-07-11,,,,"June 10, 2024",Providence Healthcare,Vancouver (BC),Salary not available,142681446eae4797afa7f510f24388ca,https://job-openings.monster.ca/licensed-practical-nurse-vancouver-bc-ca-providence-healthcare/859a5daa-0989-401d-9f82-6f77e9b01606?mescoid=2900530001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #142681446eae4797afa7f510f24388ca,Not specified
7,licensed practical nurse (L.P.N.),Title posted on CareerBeacon -Licensed Practical Nurse,"May 22, 2024",2024-06-21,,,,"May 22, 2024",Maple Hill Manor,New Waterford (NS),Salary not available,MB2405227603,https://www.careerbeacon.com/en/job/2057603/maple-hill-manor/licensed-practical-nurse/new-waterford?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","New Waterford , NS",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #MB2405227603,Not specified
8,licensed practical nurse (L.P.N.),Title posted on CareerBeacon -Licensed Practical Nurse I,"May 28, 2024",2024-06-27,,,,"May 28, 2024",NL Health Services,Labrador City (NL),Salary: $31.79 hourly,1916755,https://www.careerbeacon.com/en/job/1916755/nl-health-services/licensed-practical-nurse-i/labrador-city?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Labrador City , NL",$ 31.79 HOUR hourly,Term or contract,Starts as soon as possible,1 vacancy,CareerBeacon #1916755,Not specified
9,licensed practical nurse (L.P.N.),Title posted on CareerBeacon -Licensed Practical Nurse I,"May 28, 2024",2024-06-27,,,,"May 28, 2024",NL Health Services,Labrador City (NL),Salary not available,1916531,https://www.careerbeacon.com/en/job/1916531/nl-health-services/licensed-practical-nurse-i/labrador-city?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Labrador City , NL",Not available,Term or contract,Starts as soon as possible,1 vacancy,CareerBeacon #1916531,Not specified
