,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,logistics coordinator,,"June 22, 2024",Not specified,,,,"June 22, 2024",Pantos Logistics Canada Inc.,North York (ON),Salary not available,9334118671,https://ca.indeed.com/viewjob?jk=6acfb8372a7c4d9a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North York , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9334118671,Not specified
1,logistics coordinator,,"June 19, 2024",Not specified,,,,"June 19, 2024",ShipWise Logistics Inc,Mississauga (ON),"$40,000.00 to $60,000.00 annually",9329746949,https://ca.indeed.com/viewjob?jk=f30484f9291ec128&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON","$ 40,000 to $ 60,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9329746949,Not specified
2,logistics coordinator,,"June 12, 2024",Not specified,,,,"June 12, 2024",ATV Farms,Holland Landing (ON),Salary not available,9320196044,https://ca.indeed.com/viewjob?jk=1b93df44a703e00d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Holland Landing , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9320196044,Not specified
3,logistics coordinator,,"June 17, 2024",Not specified,,,,"June 17, 2024",Lumico Logistics Inc,Kitchener (ON),$16.55 hourly,9326408702,https://ca.indeed.com/viewjob?jk=6977622d227ee2c1&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kitchener , ON",$ 16.55 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9326408702,Not specified
4,logistics coordinator,,"June 23, 2024",Not specified,,,,"June 23, 2024",Qualitest,Richmond Hill (ON),"$33,723.92 annually",9334491532,https://ca.indeed.com/viewjob?jk=559cc9f5f90d183b&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond Hill , ON","$ 33,723.92 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9334491532,Not specified
5,logistics coordinator,,"June 11, 2024",Not specified,,,,"June 11, 2024",Westgate Technology Corporation,Delta (BC),$27.00 hourly,9318099828,https://ca.indeed.com/viewjob?jk=928bd1b8ed137373&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Delta , BC",$ 27.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9318099828,Not specified
6,logistics coordinator,,"June 24, 2024",2024-07-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 24, 2024",KTX Transport,Port Coquitlam (BC),$23.00 to $25.00 hourly (to be negotiated),2973936,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","1579 Kingsway Ave Port Coquitlam , BC V3C 0H1",$ 23.00 to $ 25.00 HOUR hourly (To be negotiated) / 30 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2973936,Not specified
7,logistics coordinator,,"June 21, 2024",Not specified,,,,"June 21, 2024",Charger Logistics Inc,Brampton (ON),Salary not available,9333352915,https://ca.indeed.com/viewjob?jk=dbff594131a0da1b&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Brampton , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9333352915,Not specified
8,logistics coordinator,,"April 19, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 19, 2024",MARITIME STEAMSHIP ASSISTANTS INC,Richmond (BC),$23.00 hourly,2888073,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Richmond , BC",$ 23.00 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2888073,Not specified
9,logistics coordinator,,"June 17, 2024",2024-07-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 17, 2024",Servetronics Manufacturing Ltd.,Richmond Hill (ON),$28.00 hourly,2963757,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Health care plan', 'Pension plan', 'Free parking available']}","Richmond Hill , ON",$ 28.00 HOUR hourly / 33 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2963757,"Benefits:Health benefits, Financial benefits, Other benefits"
