,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,"manager, marketing",Title posted on indeed.com -Marketing Manager,"June 18, 2024",Not specified,,,,"June 18, 2024",GINCOR Werx,Newmarket (ON),"Salary: $100,000.00 to $130,000.00 annually",9327958182,https://ca.indeed.com/viewjob?jk=876f0f11d3f94d62&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Newmarket , ON","$ 100,000 to $ 130,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9327958182,Not specified
1,"manager, marketing",Title posted on indeed.com -Marketing Manager,"June 18, 2024",Not specified,,,,"June 18, 2024",Greater Vancouver Zoo,Aldergrove (BC),"Salary: $70,000.00 to $75,000.00 annually",9328194844,https://ca.indeed.com/viewjob?jk=f71f89151fdf96ba&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Aldergrove , BC","$ 70,000 to $ 75,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9328194844,Not specified
2,"manager, marketing",Title posted on indeed.com -Marketing Manager,"June 15, 2024",Not specified,,,,"June 15, 2024",LOLO Sweet & Event,Mississauga (ON),Salary: $34.16 to $54.30 hourly,9324725468,https://ca.indeed.com/viewjob?jk=62a8377cffd64f7f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",$ 34.16 to $ 54.30 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9324725468,Not specified
3,"manager, marketing",Title posted on indeed.com -Marketing Manager,"June 12, 2024",Not specified,,,,"June 12, 2024",Royal York Property Management,Toronto (ON),"Salary: $75,000.00 to $85,000.00 annually",9319850831,https://ca.indeed.com/viewjob?jk=15eb2b1427e28701&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON","$ 75,000 to $ 85,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9319850831,Not specified
4,"manager, marketing",Title posted on indeed.com -Marketing Manager,"June 17, 2024",Not specified,,,,"June 17, 2024",Holborn Holdings Ltd,Vancouver (BC),"Salary: $85,000.00 to $100,000.00 annually",9326920891,https://ca.indeed.com/viewjob?jk=9ee44014c174e655&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC","$ 85,000 to $ 100,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9326920891,Not specified
5,"manager, marketing",Title posted on indeed.com -Marketing Manager,"June 17, 2024",Not specified,,,,"June 17, 2024",Tigh-Na-Mara Seaside Spa Resort,Parksville (BC),"Salary: $70,000.00 to $75,000.00 annually",9326937424,https://ca.indeed.com/viewjob?jk=a0cf87e1d82d4c2f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Parksville , BC","$ 70,000 to $ 75,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9326937424,Not specified
6,marketing manager,,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Bombay Collection Ltd,Surrey (BC),Salary: $28.85 hourly,2928048,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","Surrey , BC",$ 28.85 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2928048,"Day, Evening, Night, Weekend, Flexible Hours, Morning"
7,"manager, marketing",Title posted on indeed.com -Marketing Manager,"June 21, 2024",Not specified,,,,"June 21, 2024",Westbank Corp,Vancouver (BC),"Salary: $77,000.00 to $92,000.00 annually",9333554047,https://ca.indeed.com/viewjob?jk=77135bc488a7d3ab&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC","$ 77,000 to $ 92,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9333554047,Not specified
8,"manager, marketing",Title posted on indeed.com -Marketing Manager,"June 18, 2024",Not specified,,,,"June 18, 2024",Grand Touring Automobiles Group,Toronto (ON),"Salary: $80,000.00 annually",9328246003,https://ca.indeed.com/viewjob?jk=1c5aa88f70fab375&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON","$ 80,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9328246003,Not specified
9,"manager, marketing",Title posted on indeed.com -Marketing Manager,"June 18, 2024",Not specified,,,,"June 18, 2024",Sakeenah Canada,Mississauga (ON),"Salary: $50,000.00 to $55,000.00 annually",9328295900,https://ca.indeed.com/viewjob?jk=a0d6b6473ab45801&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON","$ 50,000 to $ 55,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9328295900,Not specified
