,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,medical receptionist,,"June 13, 2024",Not specified,,,,"June 13, 2024",Dufferin Steeles Family Medical Centre,North York (ON),Salary: $20.00 to $22.00 hourly,9321886935,https://ca.indeed.com/viewjob?jk=29969e5cfcc167f3&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North York , ON",$ 20.00 to $ 22.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9321886935,Not specified
1,medical receptionist,,"May 30, 2024",Not specified,,,,"May 30, 2024",West Mississauga Foot Clinic,Mississauga (ON),Salary: $16.55 to $19.00 hourly,9300837596,https://ca.indeed.com/viewjob?jk=ca676007007032a1&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",$ 16.55 to $ 19.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9300837596,Not specified
2,medical receptionist,,"June 04, 2024",Not specified,,,,"June 04, 2024",Cole Harbour Family Medicine,Dartmouth (NS),Salary: $18.00 hourly,9308908061,https://ca.indeed.com/viewjob?jk=fc56bd78b0d1930d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Dartmouth , NS",$ 18.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9308908061,Not specified
3,medical receptionist,,"May 30, 2024",Not specified,,,,"May 30, 2024",Dundas Eye Physicians & Surgeons,Dundas (ON),Salary: $18.50 to $19.00 hourly,9300834562,https://ca.indeed.com/viewjob?jk=d7dcc164586910d3&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Dundas , ON",$ 18.50 to $ 19.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9300834562,Not specified
4,medical receptionist,,"June 13, 2024",Not specified,,,,"June 13, 2024",Annex Medical Imaging,Toronto (ON),Salary not available,9321863348,https://ca.indeed.com/viewjob?jk=1ae382d9ada90944&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9321863348,Not specified
5,medical receptionist,,"May 30, 2024",Not specified,,,,"May 30, 2024",Dundas Eye Physicians & Surgeons,Dundas (ON),Salary: $18.50 to $19.00 hourly,9300837979,https://ca.indeed.com/viewjob?jk=9cfe03625888ed2a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Dundas , ON",$ 18.50 to $ 19.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9300837979,Not specified
6,medical receptionist,,"June 04, 2024",Not specified,,,,"June 04, 2024",Zina Cosmetic Clinic,Concord (ON),Salary: $18.00 to $21.00 hourly,9308815485,https://ca.indeed.com/viewjob?jk=c7957c9f29a16290&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Concord , ON",$ 18.00 to $ 21.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9308815485,Not specified
7,medical clinic receptionist,,"June 06, 2024",Not specified,,,,"June 06, 2024",Fort W Medical Clinic,Thunder Bay (ON),Salary: $17.79 to $23.70 hourly,9312223511,https://ca.indeed.com/viewjob?jk=7d92b7a3d53f54a6&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Thunder Bay , ON",$ 17.79 to $ 23.70 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9312223511,Not specified
8,medical receptionist,,"May 31, 2024",Not specified,,,,"May 31, 2024",Brantford Commons Medical Centre,Brantford (ON),Salary: $16.55 to $18.00 hourly,9302629715,https://ca.indeed.com/viewjob?jk=24af546b088ebfdc&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Brantford , ON",$ 16.55 to $ 18.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9302629715,Not specified
9,medical receptionist,,"June 05, 2024",Not specified,,,,"June 05, 2024",Richmond Health Clinic,Richmond Hill (ON),Salary: $19.00 hourly,9310408205,https://ca.indeed.com/viewjob?jk=02b9433a92956a12&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond Hill , ON",$ 19.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9310408205,Not specified
