,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,VFX artist,Title posted on indeed.com -Lash Artist,"June 18, 2024",Not specified,,,,"June 18, 2024",Beyond Beauty Bar,Nanaimo (BC),$25.00 to $50.00 hourly,9327402077,https://ca.indeed.com/viewjob?jk=4f8fdf3e59a4ab81&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Nanaimo , BC",$ 25.00 to $ 50.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9327402077,Not specified
1,VFX artist,Title posted on indeed.com -Makeup Artist,"June 26, 2024",Not specified,,,,"June 26, 2024",Pretty & Spice Makeup,Niagara Falls (ON),$20.00 to $100.00 hourly,9338910842,https://ca.indeed.com/viewjob?jk=af84cb0827366fe7&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Niagara Falls , ON",$ 20.00 to $ 100.00 HOUR hourly,Casual employment,Starts as soon as possible,1 vacancy,indeed.com #9338910842,Not specified
2,VFX artist,Title posted on indeed.com -Caricature Artist,"June 26, 2024",Not specified,,,,"June 26, 2024",Six Pines Haunted Attractions,Rosser (MB),Salary not available,9339075069,https://ca.indeed.com/viewjob?jk=6daa62978c21caba&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Rosser , MB",Not available,Not specified,Starts as soon as possible,1 vacancy,indeed.com #9339075069,Not specified
3,VFX artist,Title posted on indeed.com -FX Artist,"June 17, 2024",Not specified,,,,"June 17, 2024",Sony Pictures Imageworks,Vancouver (BC),$29.09 to $53.80 hourly,9326551726,https://ca.indeed.com/viewjob?jk=28b26a57d0a482d2&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",$ 29.09 to $ 53.80 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9326551726,Not specified
4,multimedia developer,,"March 11, 2024",2024-07-06,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 11, 2024",COSTAL CONSULTING INC,Calgary (AB),Salary: 10% commission per sale,2830347,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Calgary , AB Remote work available",10% commission per sale / 10 to 40 hours per week Minimum wage is guaranteed,Term or contract Part time leading to full time,Starts as soon as possible,1 vacancy,Job Bank #2830347,To be determined
5,VFX artist,Title posted on indeed.com -Makeup Artist,"May 29, 2024",Not specified,,,,"May 29, 2024",Maddpretty Mobile,Calgary (AB),$37.00 to $99.00 hourly,9299479558,https://ca.indeed.com/viewjob?jk=c6d2906f70deedfa&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 37.00 to $ 99.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9299479558,Not specified
6,VFX artist,Title posted on indeed.com -Texture Artist,"June 17, 2024",Not specified,,,,"June 17, 2024",Sony Pictures Imageworks,Vancouver (BC),$26.44 to $53.80 hourly,9326546976,https://ca.indeed.com/viewjob?jk=d18aa59b8b9dfc64&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",$ 26.44 to $ 53.80 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9326546976,Not specified
7,VFX artist,Title posted on indeed.com -Experienced FX Artist,"June 17, 2024",Not specified,,,,"June 17, 2024",Sony Pictures Imageworks,Vancouver (BC),$45.34 to $65.10 hourly,9326553057,https://ca.indeed.com/viewjob?jk=3b5bc5b4fce81186&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",$ 45.34 to $ 65.10 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9326553057,Not specified
8,multimedia graphic design technician,,"June 21, 2024",2024-07-05,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 21, 2024",KFA Architects Inc.,Toronto (ON),$30.00 hourly,2970508,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Group insurance benefits', 'Life insurance', 'Long-term care insurance', 'Learning/training paid by employer']}","Toronto , ON",$ 30.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2970508,"Benefits:Health benefits, Financial benefits, Long term benefits, Other benefits"
9,layout artist,,"June 17, 2024",Not specified,,,,"June 17, 2024",Sony Pictures Imageworks,Vancouver (BC),$26.44 to $43.99 hourly,9326567541,https://ca.indeed.com/viewjob?jk=b4e5b22ff68168f5&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",$ 26.44 to $ 43.99 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9326567541,Not specified
10,technical artist,,"April 18, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 18, 2024",Spin Productions Corporation,Toronto (ON),$34.00 to $38.00 hourly (to be negotiated),2884832,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Dental plan', 'Health care plan', 'Registered Retirement Savings Plan (RRSP)']}","Toronto , ON",$ 34.00 to $ 38.00 HOUR hourly (To be negotiated) / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2884832,"Benefits:Health benefits, Financial benefits"
11,3D artist,,"March 08, 2024",2024-07-06,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 08, 2024",IdeaSpark Labs,Edmonton (AB),"$65,000.00 annually",2828989,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits', 'Registered Retirement Savings Plan (RRSP)']}","Edmonton , AB","$ 65,000 YEAR annually / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2828989,"Benefits:Health benefits, Financial benefits"
12,graphic artist,,"June 05, 2024",2024-07-05,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 05, 2024",MediaMonks Toronto ULC,Toronto (ON),"$76,875.00 annually",2937375,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Health care plan', 'Pension plan', 'Learning/training paid by employer', 'Other benefits']}","3 Dovercourt Rd Toronto , ON M6J 3C2","$ 76,875 YEAR annually / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2937375,"Benefits:Health benefits, Financial benefits, Other benefits"
13,technical artist,,"May 17, 2024",2024-07-06,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 17, 2024",ChimeraXR Incorporated,North York (ON),"$100,000.00 to $110,000.00 annually (to be negotiated)",2922818,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","North York , ON","$ 100,000 to $ 110,000 YEAR annually (To be negotiated) / 38 to 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2922818,"Day, Flexible Hours, Early Morning, Morning"
14,3D artist,,"April 23, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 23, 2024",City From Naught Inc.,Toronto (ON),$34.00 hourly,2890294,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits']}","Toronto , ON Remote work available",$ 34.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,3,Job Bank #2890294,"Benefits:Health benefits"
15,VFX artist,Title posted on indeed.com -Experienced Texture Artist,"June 17, 2024",Not specified,,,,"June 17, 2024",Sony Pictures Imageworks,Vancouver (BC),$45.34 to $65.10 hourly,9326550107,https://ca.indeed.com/viewjob?jk=9438f8c397400189&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",$ 45.34 to $ 65.10 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9326550107,Not specified
16,layout artist,Title posted on indeed.com -Experienced Layout Artist,"June 17, 2024",Not specified,,,,"June 17, 2024",Sony Pictures Imageworks,Vancouver (BC),$41.20 to $59.16 hourly,9326568055,https://ca.indeed.com/viewjob?jk=e3263f9ffecee409&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",$ 41.20 to $ 59.16 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9326568055,Not specified
