,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,network administrator,Title posted on CivicJobs.ca -Network Technician,"June 10, 2024",2024-07-02,,,,"June 10, 2024",City of Campbell River,Campbell River (BC),Salary: $37.31 hourly,95320,https://www.civicjobs.ca/jobs?id=95320,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Campbell River , BC",$ 37.31 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95320,Not specified
1,network administrator,Title posted on indeed.com -Network Administrator - Temporary,"June 12, 2024",Not specified,,,,"June 12, 2024",REDI Enterprises,Medicine Hat (AB),Salary: $24.75 to $28.75 hourly,9320442100,https://ca.indeed.com/viewjob?jk=e0ceb1e15381e534&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Medicine Hat , AB",$ 24.75 to $ 28.75 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9320442100,Not specified
2,network administrator,Title posted on ZipRecruiter -Senior Network Administrator,"June 11, 2024",2024-07-10,,,,"June 11, 2024",rievax,Burlington (ON),"Salary: $96,267.15 annually",7b8e0d91,https://www.ziprecruiter.com/k/t/AAL-21BXKXYlJJnHYpRdkOM3Awlrt9BrU6aHGDyeMotQOQbX_54UGj3pwg-kgk8hlk_Kqz0y9XcEEi-zfGNUCttiSoLdaBOgF0afd81YmLzU_GngjmPNfmi_kUffHfCMl09ERHu6C09JWaFFmIyH3cxPanUPjvSUDuLrBDtu14qpX0Tshu2cWPb-xtwgDqAQrlbFVaIcPr6kAhTpnJXjEMmeHw7RklfGDAYd0ZU-bQU0zoDXLYJSxfTSFj30lA1Xs_CoE6V9OKXbCM_nrJ3M4RLcHz_CftYlRzJRC_yZslJyBw,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Burlington , ON","$ 96,267.15 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #7b8e0d91,Not specified
3,network administrator,,"June 10, 2024",Not specified,,,,"June 10, 2024",LED Roadway Lighting,Amherst (NS),"Salary: $75,000.00 to $85,000.00 annually",9316762505,https://ca.indeed.com/viewjob?jk=55ae82397689fe41&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Amherst , NS","$ 75,000 to $ 85,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9316762505,Not specified
4,network administrator,,"June 07, 2024",Not specified,,,,"June 07, 2024",Brock University,St. Catharines (ON),"Salary: $68,600.00 to $100,900.00 annually",9313964442,https://ca.indeed.com/viewjob?jk=35b329adc22e562b&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","St. Catharines , ON","$ 68,600 to $ 100,900 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9313964442,Not specified
5,network system administrator,Title posted on Jobillico -Network and System Administrator,"June 07, 2024",2024-07-06,,,,"June 07, 2024",Fed IT,Montréal (QC),"Salary: $90,000.00 to $115,000.00 annually",13965309,https://www.jobillico.com/en/job-offer/fed-it-dszhrq/network-and-system-administrator/13965309?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC","$ 90,000 to $ 115,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13965309,In-house position at the agency
6,network system administrator,Title posted on Jobillico -Network and System Administrator,"June 07, 2024",2024-07-06,,,,"June 07, 2024",Fed IT,Montréal (QC),"Salary: $90,000.00 to $115,000.00 annually",13965306,https://www.jobillico.com/en/job-offer/fed-it-dszhrq/network-and-system-administrator/13965306?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC","$ 90,000 to $ 115,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13965306,In-house position at the agency
7,network administrator,,"June 10, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 10, 2024",eTor Networks,Mississauga (ON),Salary: $34.87 hourly,2954111,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","6705 Tomken Road, Mississauga , ON L5T 2J6",$ 34.87 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2954111,Day
8,network administrator,,"June 07, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 07, 2024",Netsmart Inc.,Edmonton (AB),"Salary: $72,800.00 annually",2948146,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Group insurance benefits']}","10647 - 102 Street NW Edmonton , AB T5H 2T6","$ 72,800 YEAR annually / 38 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2948146,"Benefits:
					Financial benefits"
9,network system administrator,Title posted on Jobillico -Senior IT technician   Junior systems administrator,"June 07, 2024",2024-07-06,,,,"June 07, 2024",Fed IT,Montréal (QC),"Salary: $75,000.00 to $90,000.00 annually",13965357,https://www.jobillico.com/en/job-offer/fed-it-dszhrq/senior-it-technician-junior-systems-administrator/13965357?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC","$ 75,000 to $ 90,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13965357,In-house position at the agency
