,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,office clerk,,"May 31, 2024",2024-06-30,,,"May 31, 2024",Heartland Livestock Services,Swift Current (SK),Salary not available,1356277,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1356277,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Swift Current , SK",Not available,Part time,Starts as soon as possible,Not specified,SaskJobs #1356277,Not specified
1,office clerk,,"June 12, 2024",Not specified,,,"June 12, 2024",North Central Livestock Exchange,Clyde (AB),Salary: $20.00 to $22.00 hourly,9320488148,https://ca.indeed.com/viewjob?jk=e3549394862b2f9a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Clyde , AB",$ 20.00 to $ 22.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9320488148,Not specified
2,office clerk,,"June 06, 2024",2024-07-05,,,"June 06, 2024",Pantorama 1850,Dollard-des-Ormeaux (QC),Salary not available,11765551,https://www.jobillico.com/en/job-offer/pantorama-1850/office-clerk/11765551?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Dollard-des-Ormeaux , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #11765551,Not specified
3,office clerk,Title posted on CivicJobs.ca -Clerk Typist 3 - Fire,"June 07, 2024",2024-06-24,,,"June 07, 2024",City of Langley,Langley (BC),Salary: $31.34 hourly,95251,https://www.civicjobs.ca/jobs?id=95251,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Langley , BC",$ 31.34 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95251,Not specified
4,office clerk,Title posted on CivicJobs.ca -???????Deputy Clerk,"May 31, 2024",2024-06-18,,,"May 31, 2024",Town of Renfrew,Renfrew (ON),Salary: $37.25 hourly,95010,https://www.civicjobs.ca/jobs?id=95010,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Renfrew , ON",$ 37.25 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95010,Not specified
5,office clerk,Title posted on CivicJobs.ca -Corporate Administration Clerk,"June 03, 2024",2024-06-16,,,"June 03, 2024",Village of Anmore,Anmore (BC),Salary: $33.57 hourly,95097,https://www.civicjobs.ca/jobs?id=95097,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Anmore , BC",$ 33.57 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95097,Not specified
6,general office clerk,,"June 06, 2024",Not specified,,,"June 06, 2024",Ceejay Automotive & Autobody,Calgary (AB),Salary not available,9312953651,https://ca.indeed.com/viewjob?jk=8945a63beadf642f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9312953651,Not specified
7,office clerk,Title posted on CivicJobs.ca -Clerk Typist 3,"June 05, 2024",2024-06-14,,,"June 05, 2024",City of Burnaby,Burnaby (BC),"Salary: $4,486.00 monthly",95154,https://www.civicjobs.ca/jobs?id=95154,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Burnaby , BC","$ 4,486 MONTH monthly",Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95154,Not specified
8,office clerk,Title posted on CivicJobs.ca -Clerk 3 - Community Enhancement,"June 05, 2024",2024-06-19,,,"June 05, 2024",City of Surrey,Surrey (BC),Salary: $30.12 hourly,95178,https://www.civicjobs.ca/jobs?id=95178,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",$ 30.12 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95178,Not specified
9,office clerk,Title posted on CivicJobs.ca -General Operations Clerk,"June 12, 2024",2024-06-26,,,"June 12, 2024",City of Surrey,Surrey (BC),Salary: $34.75 hourly,95393,https://www.civicjobs.ca/jobs?id=95393,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",$ 34.75 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95393,Not specified
