,Job Title,Original Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,paralegal,Title posted on indeed.com -WSIB Paralegal,"June 19, 2024",Not specified,"June 19, 2024",Nicolini Law Group,Woodbridge (ON),"Salary: $60,000.00 annually",9329499104,https://ca.indeed.com/viewjob?jk=3607559d2765c619&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Woodbridge , ON","$ 60,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9329499104,Not specified
1,paralegal,,"June 13, 2024",2024-07-14,"June 13, 2024",Hexagon,Calgary (AB),Salary not available,a79ff4b6241a467ebc87a0ddd0ac53c0,https://job-openings.monster.ca/paralegal-calgary-ab-ca-hexagon/51cc7cec-062d-405d-85b4-60ecabe06959?mescoid=2300332001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #a79ff4b6241a467ebc87a0ddd0ac53c0,Not specified
2,paralegal,,"June 24, 2024",Not specified,"June 24, 2024",Elite college of business and healthcare,Markham (ON),Salary: $17.93 hourly,9335862829,https://ca.indeed.com/viewjob?jk=8b276d7d969e7459&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Markham , ON",$ 17.93 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9335862829,Not specified
3,paralegal,Title posted on indeed.com -Propperty Paralegal,"June 19, 2024",Not specified,"June 19, 2024",Noseworthy Di Costanzo Diab,Halifax (NS),Salary not available,9329593720,https://ca.indeed.com/viewjob?jk=5eddb3471c1f988f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Halifax , NS",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9329593720,Not specified
4,paralegal,,"June 17, 2024",Not specified,"June 17, 2024",Drewlo Holdings,London (ON),"Salary: $65,000.00 to $75,000.00 annually",9326852613,https://ca.indeed.com/viewjob?jk=4305886012af6684&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","London , ON","$ 65,000 to $ 75,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9326852613,Not specified
5,paralegal,Title posted on Monster -*Senior Paralegal (Corporate Law),"June 22, 2024",2024-07-23,"June 22, 2024",Recrute Action,Montréal (QC),Salary not available,60508000028915735,https://job-openings.monster.ca/senior-paralegal-corporate-law-montréal-qc-ca-recrute-action/1ebc3370-9077-4720-a427-03d8dfaaf698?mescoid=2300332001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #60508000028915735,Not specified
6,paralegal,,"June 24, 2024",Not specified,"June 24, 2024",Spraggs Law,Coquitlam (BC),"Salary: $60,000.00 to $70,000.00 annually",9336229897,https://ca.indeed.com/viewjob?jk=661b297d01b9fac8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Coquitlam , BC","$ 60,000 to $ 70,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9336229897,Not specified
7,paralegal,Title posted on indeed.com -IP Paralegal,"June 19, 2024",Not specified,"June 19, 2024",Palmer IP Inc.,Vancouver (BC),"Salary: $65,000.00 to $85,000.00 annually",9330192695,https://ca.indeed.com/viewjob?jk=099908c448299287&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC","$ 65,000 to $ 85,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9330192695,Not specified
8,paralegal,,"June 13, 2024",Not specified,"June 13, 2024",MacDonald & Associates,Toronto (ON),"Salary: $55,000.00 to $65,000.00 annually",9321906134,https://ca.indeed.com/viewjob?jk=5870219db80b6c4a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON","$ 55,000 to $ 65,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9321906134,Not specified
9,paralegal,"Title posted on Monster -Paralegal, Corporate Services","June 06, 2024",2024-07-07,"June 06, 2024",Personnel Alter Ego,Montréal (QC),Salary not available,Z0U4bjd6ZG9DWlIyaXQ1RlNXNzlRQT09en,https://job-openings.monster.ca/paralegal-corporate-services-montréal-qc-ca-personnel-alter-ego/7b91b94b-6282-40a6-bf73-2467faa9e7b3?mescoid=2300332001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #Z0U4bjd6ZG9DWlIyaXQ1RlNXNzlRQT09en,Not specified
