,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,photographer,,"June 17, 2024",2024-07-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 17, 2024",RIO BANQUET,Calgary (AB),Salary: $29.50 hourly,2963510,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","2850 Hopewell Place NE Calgary , AB T1Y 7J7",$ 29.50 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2963510,"Evening, Night, Weekend, Shift, Early Morning, Morning"
1,photographer,,"June 05, 2024",2024-07-05,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 05, 2024",Ansal Media Group Inc.,Surrey (BC),Salary: $22.00 hourly,2946537,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Surrey , BC",$ 22.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2946537,To be determined
2,photographer,,"June 21, 2024",2024-07-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 21, 2024",Camus Photography,Smithers (BC),Salary: $22.50 hourly,2968651,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Free parking available', 'Parking available']}","Smithers , BC",$ 22.50 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2968651,"Benefits:
					Health benefits, Other benefits"
3,photographer,,"April 01, 2024",2024-06-27,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 01, 2024",Varun Photography Ltd.,Calgary (AB),Salary: $29.50 hourly,2860622,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","127 Skyview Point Cres NE Calgary , AB T3N 0M2",$ 29.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2860622,Not specified
4,photographer,,"May 23, 2024",2024-07-06,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 23, 2024",Trident X Ltd.,Brandon (MB),Salary: $22.30 hourly,2931244,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Brandon , MB",$ 22.30 HOUR hourly / 32 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2931244,Flexible Hours
5,photographer,,"March 09, 2024",2024-07-02,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 09, 2024",Gill's Photography ltd.,Delta (BC),Salary: $23.00 hourly,2830635,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","Delta , BC",$ 23.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2830635,"Day, Evening, Night, Weekend, Morning"
6,photographer,,"May 03, 2024",2024-07-04,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 03, 2024",Vibrant Photos,Maple Ridge (BC),Salary: $25.00 hourly,2903607,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits']}","10072 247B Street Maple Ridge , BC V2W 0H1",$ 25.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2903607,"Benefits:
					Health benefits"
7,photographer,,"June 14, 2024",Not specified,,,,"June 14, 2024",Pro Image Studio,Brampton (ON),Salary: $18.00 to $20.00 hourly,9323752619,https://ca.indeed.com/viewjob?jk=cb587fd8b5bafbf0&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Brampton , ON",$ 18.00 to $ 20.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9323752619,Not specified
8,photographer,,"May 02, 2024",2024-06-27,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 02, 2024",Mr. Convenience,Mississauga (ON),Salary: $20.00 hourly,2902984,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Mississauga , ON",$ 20.00 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2902984,Not specified
9,photographer,,"May 24, 2024",2024-07-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 24, 2024",1ST CLASS CHILDCARE INC.,Calgary (AB),Salary: $20.00 hourly,2932651,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","2800 107 Ave SE #122 Calgary , AB T2Z 3R7 On the road job",$ 20.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2932651,Day
10,photographer,,"April 04, 2024",2024-07-25,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 04, 2024",Garry thind Personal Real Estate Corporation,Surrey (BC),Salary: $23.90 hourly,2864418,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Gasoline paid', 'Mileage paid']}","Surrey , BC",$ 23.90 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2864418,"Benefits:
					Financial benefits"
