,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,procurement specialist,,"June 19, 2024",Not specified,,,,"June 19, 2024",Giraffe Foods Inc.,Mississauga (ON),$22.91 to $39.72 hourly,9329506129,https://ca.indeed.com/viewjob?jk=4a06a6eee6270892&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",$ 22.91 to $ 39.72 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9329506129,Not specified
1,supply chain specialist - procurement,Title posted on Jobillico -Procurement Specialist,"June 23, 2024",2024-07-22,,,,"June 23, 2024",Coveo Solutions inc.,Québec (QC),Salary not available,13863990,https://www.jobillico.com/en/job-offer/coveo-solutions-inc/procurement-specialist/13863990?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Québec , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #13863990,Not specified
2,procurement specialist,,"June 07, 2024",Not specified,,,,"June 07, 2024",Krug Inc,Kitchener (ON),Salary not available,9314233283,https://ca.indeed.com/viewjob?jk=07a5ed7599a40c8a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kitchener , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9314233283,Not specified
3,procurement specialist,,"June 10, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 10, 2024",SIRIUS AUTO PARTS CORP.,Woodbridge (ON),$33.00 hourly,2955139,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Health care plan', 'Paid time off (volunteering or personal days)', 'Parking available']}","Woodbridge , ON",$ 33.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2955139,"Benefits:Health benefits, Other benefits"
4,supply chain specialist - procurement,,"June 19, 2024",2024-07-09,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 19, 2024",Canadian Mortgage and Housing Corporation (CMHC),Ottawa (ON),"$51,261.00 to $64,077.00 annually (to be negotiated)",2966463,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","Ottawa , ON Remote work available","$ 51,261 to $ 64,077 YEAR annually (To be negotiated) / 37.5 hours per week",Term or contract (ending: 2024-12-20) Full time,"Starts as soon as 2024-09-03						to	2024-12-20",1 vacancy,Job Bank #2966463,Not specified
5,procurement specialist,,"June 21, 2024",Not specified,,,,"June 21, 2024",MacDon Industries Ltd.,Winnipeg (MB),Salary not available,9333182314,https://ca.indeed.com/viewjob?jk=0fd2ac5124327142&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9333182314,Not specified
6,procurement specialist,,"May 29, 2024",Not specified,,,,"May 29, 2024",Caribbean Specialty Herbs,Etobicoke (ON),$21.00 to $27.00 hourly,9298970549,https://ca.indeed.com/viewjob?jk=54d6506a2bf5f70a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Etobicoke , ON",$ 21.00 to $ 27.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9298970549,Not specified
7,supply chain specialist - procurement,Title posted on AgCareers.com -Ag Procurement Manager,"June 12, 2024",Not specified,,,,"June 12, 2024",Federated Co-operatives Limited,Melville (SK),Salary not available,960366,https://www.agcareers.com/federated-co-operatives-limited/ag-procurement-manager-job-960366.cfm,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Melville , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #960366,Not specified
8,procurement specialist,Title posted on indeed.com -Spécialiste de l?approvisionnement,"June 14, 2024",Not specified,,,,"June 14, 2024",Les YMCA du Québec,Montréal (QC),Salary not available,9323480758,https://ca.indeed.com/viewjob?jk=8da582cc31bca359&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9323480758,Not specified
9,procurement specialist,,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Caribbean Specialty Herbs Canada Inc,Etobicoke (ON),$25.00 hourly,2936757,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Health care plan']}","Etobicoke , ON",$ 25.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2936757,"Benefits:Health benefits"
