,Job Title,Original Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,property manager,,"June 21, 2024",Not specified,"June 21, 2024",BRYDGES PROPERTY MANAGEMENT,Winnipeg (MB),"$40,378.11 to $77,399.71 annually",9333003541,https://ca.indeed.com/viewjob?jk=ac19f54fc37a04c5&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB","$ 40,378.11 to $ 77,399.71 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9333003541,Not specified
1,property manager,,"June 11, 2024",Not specified,"June 11, 2024",Beaunest Property Services,Toronto (ON),"$3,750.00 monthly",9318519679,https://ca.indeed.com/viewjob?jk=73841ae191b7359a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON","$ 3,750 MONTH monthly",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9318519679,Not specified
2,property manager,Title posted on indeed.com -Condominium Property Manager,"June 17, 2024",Not specified,"June 17, 2024",PEKA Professional Property Management Ltd.,Calgary (AB),"$50,000.00 to $65,000.00 annually",9326505107,https://ca.indeed.com/viewjob?jk=e0b5c7507f54da95&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB","$ 50,000 to $ 65,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9326505107,Not specified
3,property manager,,"June 26, 2024",Not specified,"June 26, 2024",Hassey Property Group,Barrie (ON),Salary not available,9338767874,https://ca.indeed.com/viewjob?jk=7383feb5896ceeea&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Barrie , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9338767874,Not specified
4,property manager,,"June 19, 2024",Not specified,"June 19, 2024",Walia Group of Companies,Calgary (AB),"$70,000.00 to $100,000.00 annually",9328932314,https://ca.indeed.com/viewjob?jk=9eb9c79875f5a048&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB","$ 70,000 to $ 100,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9328932314,Not specified
5,property manager,,"June 17, 2024",Not specified,"June 17, 2024",Century 21 Argos Realty,Calgary (AB),"$43,000.00 to $45,000.00 annually",9326925623,https://ca.indeed.com/viewjob?jk=0ecf2e6d1c2d9e3d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB","$ 43,000 to $ 45,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9326925623,Not specified
6,property manager,,"June 25, 2024",Not specified,"June 25, 2024",Lookout Housing and Health Society,New Westminster (BC),$37.57 to $38.75 hourly,9337679894,https://ca.indeed.com/viewjob?jk=2bcf2ca987d8e5b0&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","New Westminster , BC",$ 37.57 to $ 38.75 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9337679894,Not specified
7,property manager,,"June 19, 2024",Not specified,"June 19, 2024",Devon Properties Ltd.,Victoria (BC),"$60,000.00 to $80,000.00 annually",9330189495,https://ca.indeed.com/viewjob?jk=e573b1e8cb09fa5e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC","$ 60,000 to $ 80,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9330189495,Not specified
8,property manager,,"June 26, 2024",Not specified,"June 26, 2024",MARDA Management,Windsor (ON),"$42,000.00 to $45,000.00 annually",9338767106,https://ca.indeed.com/viewjob?jk=1dc352266ffc8949&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Windsor , ON","$ 42,000 to $ 45,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9338767106,Not specified
9,property manager,Title posted on JobsMedia.ca -Regional Property Manager,"June 14, 2024",2024-07-14,"June 14, 2024",Armco Quebec,LaSalle (QC),Salary not available,104832,https://jhubz.com/en/offer/regional-property-manager/104832?utm_campaign=jobbank_jobs_apply&utm_source=jobbank_jobs_apply&utm_medium=organic,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","LaSalle , QC",Not available,Full time,Starts as soon as possible,1 vacancy,JobsMedia.ca #104832,Not specified
10,property manager,Title posted on Monster -Senior Property Manager,"June 27, 2024",2024-07-27,"June 27, 2024",Aplin,Winnipeg (MB),Salary not available,53451305,https://job-openings.monster.ca/senior-property-manager-winnipeg-mb-ca-aplin/a2c67539-4bbc-4e19-896c-3a0126aa9e60?mescoid=1100052001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #53451305,Not specified
11,property manager,Title posted on Monster -Regional Property Manager,"June 15, 2024",2024-07-16,"June 15, 2024",Armco Quebec,Montréal (QC),Salary not available,OHE5NkxSVVYzcTFBMy9QdytoTDZKZz09en,https://job-openings.monster.ca/regional-property-manager-montréal-qc-ca-armco-quebec/326df748-bc42-459a-a89a-d022147f717f?mescoid=1100052001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #OHE5NkxSVVYzcTFBMy9QdytoTDZKZz09en,Not specified
12,property manager,,"June 21, 2024",Not specified,"June 21, 2024",Maple Ridge Pitt Meadows Community Services,Maple Ridge (BC),"$72,000.00 to $78,000.00 annually",9333304270,https://ca.indeed.com/viewjob?jk=28b022d8144ea46f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Maple Ridge , BC","$ 72,000 to $ 78,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9333304270,Not specified
