,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,purchasing manager,"Title posted on indeed.com -Manager, Purchasing & Pricing","June 21, 2024",Not specified,,,,"June 21, 2024",Metal Supermarkets,Toronto (ON),"$65,000.00 to $70,000.00 annually",9333072453,https://ca.indeed.com/viewjob?jk=9a65e5fe1e622750&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON","$ 65,000 to $ 70,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9333072453,Not specified
1,purchasing manager,,"June 12, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 12, 2024",JD Property Canada Corp.,Markham (ON),$63.00 to $68.00 hourly (to be negotiated),2957487,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","Markham , ON",$ 63.00 to $ 68.00 HOUR hourly (To be negotiated) / 37.5 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2957487,Not specified
2,purchasing manager,,"June 10, 2024",Not specified,,,,"June 10, 2024",Del Industrial Metals,Brampton (ON),"$80,000.00 to $120,000.00 annually",9316753805,https://ca.indeed.com/viewjob?jk=ab158c4e5c556795&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Brampton , ON","$ 80,000 to $ 120,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9316753805,Not specified
3,purchasing manager,,"June 25, 2024",2024-07-09,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 25, 2024",LIU LOQUM ATELIER,Toronto (ON),$63.00 hourly,2975235,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Health care plan', 'Night shift premium', 'Free parking available', 'Team building opportunities', 'Transportation provided by employer', 'Parking available']}","Toronto , ON",$ 63.00 HOUR hourly / 30 to 40 hours per week,Term or contract (ending: 2026-07-01) Full time,"Starts as soon as 2024-07-01						to	2026-07-01",1 vacancy,Job Bank #2975235,"Benefits:Health benefits, Financial benefits, Other benefits"
4,purchasing manager,,"June 25, 2024",2024-07-25,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 25, 2024",2193305 Ontario Inc,Woodstock (ON),"$80,000.00 annually",2974963,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Dental plan', 'Health care plan', 'Vision care benefits', 'Life insurance', 'Free parking available', 'Travel insurance']}","465 Griffin Way Woodstock , ON N4T 0N2 Remote work available","$ 80,000 YEAR annually / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2974963,"Benefits:Health benefits, Financial benefits, Other benefits"
5,purchasing manager,,"June 18, 2024",2024-07-18,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 18, 2024",Danma Kitchen Cabinets Ltd.,Delta (BC),$47.60 hourly,2966191,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","Delta , BC",$ 47.60 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2966191,"Day, Evening, Weekend, Shift, Overtime, Flexible Hours, Early Morning, Morning"
6,purchasing manager,,"June 05, 2024",2024-07-05,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 05, 2024",F2G Solutions Inc.,Toronto (ON),$63.00 hourly,2947453,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","Toronto , ON",$ 63.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2947453,"Day, Evening, Weekend"
7,purchasing manager,,"June 20, 2024",2024-07-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 20, 2024",Seamax Trading Ltd.,Richmond Hill (ON),$63.00 to $66.00 hourly (to be negotiated),2964727,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Richmond Hill , ON",$ 63.00 to $ 66.00 HOUR hourly (To be negotiated) / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2964727,Not specified
8,purchasing manager,,"June 20, 2024",2024-07-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 20, 2024",Crystal Kitchens Ltd.,Surrey (BC),$45.00 hourly,2969301,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Surrey , BC",$ 45.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2969301,"Day, Evening, Morning"
9,purchasing manager,,"April 15, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 15, 2024",Alpha Living DIY Homes Ltd,Richmond (BC),$47.60 to $80.00 hourly (to be negotiated),2878618,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","Richmond , BC",$ 47.60 to $ 80.00 HOUR hourly (To be negotiated) / 35 hours per week,Term or contract Full time,Starts as soon as possible,1 vacancy,Job Bank #2878618,Not specified
