,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,real estate agent,,"June 13, 2024",Not specified,,,,"June 13, 2024",OATH Group Real Estate,Markham (ON),"$50,000.00 to $150,000.00 annually",9322040012,https://ca.indeed.com/viewjob?jk=5c8eb44e0bc8eb49&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Markham , ON","$ 50,000 to $ 150,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9322040012,Not specified
1,real estate agent,,"June 21, 2024",Not specified,,,,"June 21, 2024",Landmark Real Estate Group,Surrey (BC),Salary not available,9333564777,https://ca.indeed.com/viewjob?jk=c63f7919c572c4ce&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9333564777,Not specified
2,real estate agent,,"June 26, 2024",Not specified,,,,"June 26, 2024",One Percent Realty Ltd. Brokerage,Newmarket (ON),"$80,000.00 to $400,000.00 annually",9338879205,https://ca.indeed.com/viewjob?jk=ab7d65cbca863a26&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Newmarket , ON","$ 80,000 to $ 400,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9338879205,Not specified
3,real estate agent,,"June 26, 2024",Not specified,,,,"June 26, 2024",One Percent Realty Ltd. Brokerage,Hamilton (ON),"$80,000.00 to $400,000.00 annually",9338877151,https://ca.indeed.com/viewjob?jk=9e800671192ca190&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Hamilton , ON","$ 80,000 to $ 400,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9338877151,Not specified
4,real estate agent,,"June 26, 2024",Not specified,,,,"June 26, 2024",One Percent Realty Ltd. Brokerage,North Bay (ON),"$80,000.00 to $400,000.00 annually",9338875138,https://ca.indeed.com/viewjob?jk=2e0a98484129b26e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North Bay , ON","$ 80,000 to $ 400,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9338875138,Not specified
5,real estate agent,,"June 26, 2024",Not specified,,,,"June 26, 2024",One Percent Realty Ltd. Brokerage,Oshawa (ON),"$80,000.00 to $400,000.00 annually",9338878138,https://ca.indeed.com/viewjob?jk=92baf32c85062e81&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Oshawa , ON","$ 80,000 to $ 400,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9338878138,Not specified
6,real estate agent,,"June 26, 2024",Not specified,,,,"June 26, 2024",One Percent Realty Ltd. Brokerage,Woodstock (ON),"$80,000.00 to $400,000.00 annually",9338874142,https://ca.indeed.com/viewjob?jk=5d583acedf841121&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Woodstock , ON","$ 80,000 to $ 400,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9338874142,Not specified
7,real estate agent,,"June 26, 2024",Not specified,,,,"June 26, 2024",One Percent Realty Ltd. Brokerage,Mississauga (ON),"$80,000.00 to $400,000.00 annually",9338876090,https://ca.indeed.com/viewjob?jk=616655a3d05e937e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON","$ 80,000 to $ 400,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9338876090,Not specified
8,real estate agent,,"June 26, 2024",Not specified,,,,"June 26, 2024",One Percent Realty Ltd. Brokerage,Ottawa (ON),"$80,000.00 to $400,000.00 annually",9338870171,https://ca.indeed.com/viewjob?jk=7c4436d7be66d2ec&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON","$ 80,000 to $ 400,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9338870171,Not specified
9,real estate agent,,"June 26, 2024",Not specified,,,,"June 26, 2024",One Percent Realty Ltd. Brokerage,Kitchener (ON),"$80,000.00 to $400,000.00 annually",9338881448,https://ca.indeed.com/viewjob?jk=c3f8fd98edf823b4&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kitchener , ON","$ 80,000 to $ 400,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9338881448,Not specified
10,real estate agent,,"June 19, 2024",2024-07-20,,,,"June 19, 2024",JP Real Estate,Vancouver (BC),Salary not available,SHGJM8GF,https://job-openings.monster.ca/real-estate-agent-vancouver-bc-ca-jp-real-estate/66a70cc5-c9e9-46bd-9373-7df5e9f2f776?mescoid=4100687001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #SHGJM8GF,Not specified
11,real estate agent,,"June 19, 2024",2024-07-20,,,,"June 19, 2024",JP Real Estate,Goffs (NS),Salary not available,EGK1OARF,https://job-openings.monster.ca/real-estate-agent-goffs-ns-ca-jp-real-estate/8bced2a9-8909-4d59-87bc-e768ab21ab5d?mescoid=4100687001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Goffs , NS",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #EGK1OARF,Not specified
12,real estate agent,,"June 17, 2024",Not specified,,,,"June 17, 2024","Red House Realty, Brokerage",Toronto (ON),"$51,965.00 to $238,243.00 annually",9326401721,https://ca.indeed.com/viewjob?jk=59b0374ad0b37981&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON","$ 51,965 to $ 238,243 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9326401721,Not specified
13,real estate agent,,"June 13, 2024",Not specified,,,,"June 13, 2024","Red House Realty, Brokerage",Scarborough (ON),"$51,965.00 to $238,243.00 annually",9322514282,https://ca.indeed.com/viewjob?jk=5303047e886adf3b&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Scarborough , ON","$ 51,965 to $ 238,243 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9322514282,Not specified
14,real estate agent,,"June 10, 2024",Not specified,,,,"June 10, 2024",FOREST HILL REAL ESTATE - ROSS TALIBOV,Etobicoke (ON),"$100,000.00 to $150,000.00 annually",9317037487,https://ca.indeed.com/viewjob?jk=aa37485f5ba41630&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Etobicoke , ON","$ 100,000 to $ 150,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9317037487,Not specified
15,real estate agent,,"June 13, 2024",Not specified,,,,"June 13, 2024",Bright Realty Team,Burlington (ON),Salary not available,9322020068,https://ca.indeed.com/viewjob?jk=6274e37ef81b9d03&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Burlington , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9322020068,Not specified
16,real estate agent,,"June 24, 2024",Not specified,,,,"June 24, 2024",Selling Kelowna Real Estate Group,Kelowna (BC),"$60,787.54 to $181,375.59 annually",9335864411,https://ca.indeed.com/viewjob?jk=7ba957870e3f1162&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kelowna , BC","$ 60,787.54 to $ 181,375.6 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9335864411,Not specified
17,real estate agent,,"June 06, 2024",Not specified,,,,"June 06, 2024",Sunshine Realty Brokerage Inc.,Markham (ON),Salary not available,9312117545,https://ca.indeed.com/viewjob?jk=f3ccc2e90ce25881&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Markham , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9312117545,Not specified
