,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,real estate appraiser,,"June 25, 2024",Not specified,,,,"June 25, 2024",Atkinson & Asssociates,Calgary (AB),Salary not available,9337536259,https://ca.indeed.com/viewjob?jk=12b063e238162eee&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9337536259,Not specified
1,real estate agent,,"June 17, 2024",Not specified,,,,"June 17, 2024",Royal LePage METRO,Calgary (AB),"$48,625.73 to $204,297.88 annually",9326968375,https://ca.indeed.com/viewjob?jk=81fdd4cdf3d008fb&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB","$ 48,625.73 to $ 204,297.88 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9326968375,Not specified
2,"administrative assistant, real estate",,"March 11, 2024",2024-07-06,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 11, 2024",2380335 ALBERTA INC.,Calgary (AB),$36.75 hourly,2831727,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","Calgary , AB",$ 36.75 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2831727,Not specified
3,real estate office manager,,"March 28, 2024",2024-07-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 28, 2024",Alpha commercial group,Calgary (AB),$59.00 hourly,2856497,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","2333 18 Ave NE Calgary , AB T2E 8T6",$ 59.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2856497,Not specified
4,pathologists' assistant,Title posted on indeed.com -Rehab Assistant,"June 19, 2024",Not specified,,,,"June 19, 2024",Wing Kei,Calgary (AB),Salary not available,9330091527,https://ca.indeed.com/viewjob?jk=0e3cc5dd455ce554&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Casual employment,Starts as soon as possible,1 vacancy,indeed.com #9330091527,Not specified
5,pathologists' assistant,Title posted on indeed.com -Bakers Assistant,"June 25, 2024",Not specified,,,,"June 25, 2024",la table inc,Airdrie (AB),$16.00 to $20.00 hourly,9337664930,https://ca.indeed.com/viewjob?jk=bca0c6d32181b9dc&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Airdrie , AB",$ 16.00 to $ 20.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9337664930,Not specified
6,medical laboratory technician,,"March 01, 2024",2024-06-29,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 01, 2024",ABOUNAJA CORP.,Calgary (AB),$29.50 hourly,2818140,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Calgary , AB",$ 29.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2818140,Not specified
7,insurance manager,"Title posted on Monster -Team Lead, Insurance Advisor","June 27, 2024",2024-07-27,,,,"June 27, 2024",Westland Insurance Group,Calgary (AB),Salary not available,16875-349664650,https://job-openings.monster.ca/team-lead-insurance-advisor-calgary-ab-ca-westland-insurance-group/3ff396db-5e57-4ff0-ab19-06e0765d3aeb?mescoid=4100673001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #16875-349664650,Not specified
8,insurance manager,Title posted on Monster -Insurance Advisor,"June 26, 2024",2024-07-26,,,,"June 26, 2024",Westland Insurance Group,Calgary (AB),Salary not available,16283-349271600,https://job-openings.monster.ca/insurance-advisor-calgary-ab-ca-westland-insurance-group/b0389b50-0e62-4fbc-a1e0-299f12ecdc53?mescoid=4100673001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #16283-349271600,Not specified
9,insurance manager,Title posted on Monster -Senior Insurance Advisor,"June 22, 2024",2024-07-22,,,,"June 22, 2024",Westland Insurance Group,Calgary (AB),Salary not available,16714-348916051,https://job-openings.monster.ca/senior-insurance-advisor-calgary-ab-ca-westland-insurance-group/b4a52fb2-a58c-4c07-9aab-fb6ab7bc366e?mescoid=4100673001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #16714-348916051,Not specified
10,insurance manager,Title posted on Monster -Insurance Advisor,"June 22, 2024",2024-07-22,,,,"June 22, 2024",Westland Insurance Group,Strathmore (AB),Salary not available,16704-348916091,https://job-openings.monster.ca/insurance-advisor-strathmore-ab-ca-westland-insurance-group/65c40b80-ad43-447e-ab80-aa8b1e1ccc04?mescoid=4100673001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Strathmore , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #16704-348916091,Not specified
