,Job Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,receptionist,"May 30, 2024",Not specified,"May 30, 2024",Nickel City Motors,Thompson (MB),Salary:$16.00 to $18.00 hourly,9300807820,https://ca.indeed.com/viewjob?jk=886ce47926c039ff&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Thompson , MB",$ 16.00 to $ 18.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9300807820,Not specified
1,receptionist,"June 05, 2024",Not specified,"June 05, 2024",Kerr Design Build,Vancouver (BC),Salary:$16.75 to $20.00 hourly,9310653616,https://ca.indeed.com/viewjob?jk=22c1e0b2e4b58192&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",$ 16.75 to $ 20.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9310653616,Not specified
2,receptionist,"June 12, 2024",2024-06-26,"June 12, 2024",Commissionaires Saskatchewan (South-Sask Division),Regina (SK),Salary:$19.60,1358549,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1358549,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",$ 19.60 HOUR hourly,Not specified,Starts as soon as possible,Not specified,SaskJobs #1358549,Not specified
3,receptionist,"June 12, 2024",Not specified,"June 12, 2024",Keora Aveda Salon and Spa,Burlington (ON),Salary:$17.25 to $17.50 hourly,9320332873,https://ca.indeed.com/viewjob?jk=dfe9f9da75f8b876&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Burlington , ON",$ 17.25 to $ 17.50 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9320332873,Not specified
4,receptionist,"June 05, 2024",Not specified,"June 05, 2024",Township Chevrolet Buick GMC Ltd,Summerside (PE),Salary:$16.00 hourly,9310652444,https://ca.indeed.com/viewjob?jk=74ee4e1e69197c23&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Summerside , PE",$ 16.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9310652444,Not specified
5,receptionist,"June 06, 2024",Not specified,"June 06, 2024",West End Nissan,Edmonton (AB),Salary not available,9312222461,https://ca.indeed.com/viewjob?jk=e1a717b565ecb4d2&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9312222461,Not specified
6,dental receptionist,"May 29, 2024",Not specified,"May 29, 2024",Brookswood Dental,Langley (BC),Salary:$24.00 to $35.00 hourly,9298473471,https://ca.indeed.com/viewjob?jk=f3b18dca879926d7&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Langley , BC",$ 24.00 to $ 35.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9298473471,Not specified
7,receptionist,"June 12, 2024",Not specified,"June 12, 2024",Prio Auto Sales,Ottawa (ON),Salary:$17.50 hourly,9320325375,https://ca.indeed.com/viewjob?jk=557d76bee14f1f93&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",$ 17.50 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9320325375,Not specified
8,receptionist,"May 31, 2024",2024-07-01,"May 31, 2024",Vancouver Coastal Health,Vancouver (BC),Salary not available,e877f2581ad14240b3f5844d305d1a32,https://job-openings.monster.ca/secretary-receptionist-vancouver-bc-ca-vancouver-coastal-health/1d612604-d9af-4a21-81f5-7fe88e44cd99?mescoid=4300749001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #e877f2581ad14240b3f5844d305d1a32,Not specified
9,receptionist,"June 04, 2024",2024-07-04,"June 04, 2024",Western Tractor Company Inc.,Burdett (AB),Salary not available,755733000001075110,https://job-openings.monster.ca/receptionist-service-writer-burdett-ab-ca-western-tractor-company-inc/186298c0-d5e6-494a-aed0-e200668adc81?mescoid=4301136002005,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Burdett , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #755733000001075110,Not specified
