,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,retail buyer,,"June 17, 2024",2024-07-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 17, 2024",KESHAVPRIYAINC.,Hamilton (ON),$30.00 hourly,2941574,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Hamilton , ON",$ 30.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2941574,Not specified
1,buyer - retail,,"April 29, 2024",2024-07-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 29, 2024",Aurora Lighting Technologies Inc.,Markham (ON),$31.97 hourly,2898949,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","220 Alden Road Markham , ON L3R 4C1",$ 31.97 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2898949,Not specified
2,buyer - retail,,"June 22, 2024",2024-07-22,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 22, 2024",KLED ENTERPRISE LTD.,Edmonton (AB),$28.85 hourly,2971611,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","820  Drysdale Run NW Edmonton , AB T6M 2Y4",$ 28.85 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2971611,"Day, Weekend"
3,retail buyer,,"March 12, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 12, 2024",Konbiniya Japan Centre,Vancouver (BC),$26.44 hourly,2832673,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Vancouver , BC",$ 26.44 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2832673,Not specified
4,retail buyer,,"April 30, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 30, 2024",Apollo Health & Beauty Care Inc.,North York (ON),$36.00 hourly,2900236,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","North York , ON",$ 36.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2900236,Not specified
5,retail buyer,,"May 21, 2024",2024-07-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 21, 2024",Circle K Gas station,Fonthill (ON),$30.00 hourly,2927056,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Fonthill , ON",$ 30.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2927056,Not specified
6,chief buyer,,"June 27, 2024",2024-07-27,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 27, 2024",Aerotex Interiors Inc.,Calgary (AB),$28.85 hourly,2978568,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Calgary , AB",$ 28.85 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2978568,Not specified
7,retail buyer,,"May 29, 2024",2024-07-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Sapere Aude Inc.,Thornhill (ON),$30.00 hourly,2938053,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Thornhill , ON",$ 30.00 HOUR hourly / 30 to 44 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2938053,"Day, Weekend, Flexible Hours, Morning"
8,chief buyer,,"June 17, 2024",2024-07-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 17, 2024",GUYCAN PLASTIC LIMITED,Brampton (ON),$32.00 to $34.00 hourly (to be negotiated),2961116,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Brampton , ON",$ 32.00 to $ 34.00 HOUR hourly (To be negotiated) / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2961116,"Day, Evening, Early Morning, Morning"
9,retail buyer,,"April 30, 2024",2024-07-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 30, 2024",CIRCLE K,Tillsonburg (ON),$30.00 hourly,2899542,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","Tillsonburg , ON",$ 30.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2899542,Not specified
10,senior buyer - retail or wholesale,,"June 05, 2024",2024-07-05,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 05, 2024",L'OCA Quality Market,Sherwood Park (AB),$28.85 to $35.00 hourly (to be negotiated),2947829,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Dental plan', 'Health care plan']}","340 Baseline Road Sherwood Park , AB T8H 2N4",$ 28.85 to $ 35.00 HOUR hourly (To be negotiated) / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2947829,"Benefits:Health benefits"
11,chief buyer,,"March 01, 2024",2024-06-29,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 01, 2024",Aerotex Interiors Inc.,Calgary (AB),$28.85 hourly,2820359,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Calgary , AB",$ 28.85 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2820359,Not specified
12,retail buyer,,"June 15, 2024",2024-07-15,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 15, 2024",2204095 ALBERTA LTD. o/a CANNABIS QUEEN,Edmonton (AB),$29.50 hourly,2962629,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Edmonton , AB",$ 29.50 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2962629,Not specified
