,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,retail sales associate,,"June 21, 2024",Not specified,,,,"June 21, 2024",Furbelows,Thornbury (ON),$19.00 hourly,9333070960,https://ca.indeed.com/viewjob?jk=372b1fa2142b1f31&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Thornbury , ON",$ 19.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9333070960,Not specified
1,retail sales associate,,"June 12, 2024",Not specified,,,,"June 12, 2024",Zyn The Wine Market Ltd.,Calgary (AB),$18.00 to $20.00 hourly,9319925083,https://ca.indeed.com/viewjob?jk=9e591c129591e999&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 18.00 to $ 20.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9319925083,Not specified
2,retail sales associate,,"June 26, 2024",Not specified,,,,"June 26, 2024",Sweet Deals Liquidation,Melfort (SK),Salary not available,9339040138,https://ca.indeed.com/viewjob?jk=79e2dce72e2c9d59&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Melfort , SK",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9339040138,Not specified
3,retail sales associate,,"June 18, 2024",Not specified,,,,"June 18, 2024",Alt. Vape,Lethbridge (AB),$15.00 hourly,9328041199,https://ca.indeed.com/viewjob?jk=40750090a567d5d8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Lethbridge , AB",$ 15.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9328041199,Not specified
4,retail sales associate,,"June 21, 2024",Not specified,,,,"June 21, 2024",Alt. Vape,Calgary (AB),$15.00 hourly,9333062280,https://ca.indeed.com/viewjob?jk=b965f54992384df6&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 15.00 HOUR hourly,Casual employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9333062280,Not specified
5,retail sales associate,Title posted on Monster -Associé(e) aux ventes - Ordinateurs (Temps partiel),"June 20, 2024",2024-07-20,,,,"June 20, 2024",Best Buy Canada,Québec (QC),Salary not available,R-37681-348471782,https://job-openings.monster.ca/associé-e-aux-ventes-ordinateurs-temps-partiel-quebec-qc-ca-best-buy-canada/4930a6b4-7abb-45b8-bdc5-3ed6ff89017b?mescoid=4100683001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Québec , QC",Not available,Part time,Starts as soon as possible,1 vacancy,Monster #R-37681-348471782,Not specified
6,retail sales associate,Title posted on Monster -Associé(e) aux ventes - Ordinateurs (Temps plein),"June 20, 2024",2024-07-20,,,,"June 20, 2024",Best Buy Canada,Québec (QC),Salary not available,R-37680-348471767,https://job-openings.monster.ca/associé-e-aux-ventes-ordinateurs-temps-plein-quebec-qc-ca-best-buy-canada/053a8cb7-027b-423a-b97b-f36df42b5b7c?mescoid=4100683001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Québec , QC",Not available,Full time,Starts as soon as possible,1 vacancy,Monster #R-37680-348471767,Not specified
7,retail sales associate,,"June 12, 2024",Not specified,,,,"June 12, 2024",Windsor Plywood Keating,Saanichton (BC),$19.00 to $22.00 hourly,9320081568,https://ca.indeed.com/viewjob?jk=b9eac384bcb941b9&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saanichton , BC",$ 19.00 to $ 22.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9320081568,Not specified
8,retail sales associate,,"June 17, 2024",Not specified,,,,"June 17, 2024",Mook Fabrics Ltd,Medicine Hat (AB),$15.00 to $21.95 hourly,9327018299,https://ca.indeed.com/viewjob?jk=544484b8ad0a6080&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Medicine Hat , AB",$ 15.00 to $ 21.95 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9327018299,Not specified
9,retail sales associate,,"June 26, 2024",Not specified,,,,"June 26, 2024",Squares Hardware Inc.,Cambridge (ON),$19.00 hourly,9338613358,https://ca.indeed.com/viewjob?jk=f7224225aac4b20d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cambridge , ON",$ 19.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9338613358,Not specified
