,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,corporate sales manager,,"June 17, 2024",2024-07-01,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 17, 2024",Acel Power Inc,Vancouver (BC),"Salary: $65,000.00 to $85,000.00 annually (to be negotiated)",2964432,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': []}","Vancouver , BC","$ 65,000 to $ 85,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2964432,To be determined
1,corporate sales manager,,"June 17, 2024",2024-07-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 17, 2024",1390357 BC Ltd.,Port Hardy (BC),Salary: $56.50 hourly,2964714,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Port Hardy , BC",$ 56.50 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2964714,Not specified
2,corporate sales manager,,"June 10, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 10, 2024",1848952 Alberta Ltd,St. Albert (AB),Salary: $54.52 hourly,2954239,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","St. Albert , AB",$ 54.52 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2954239,Not specified
3,corporate sales manager,,"June 24, 2024",2024-07-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 24, 2024",Karna Consulting Corp.,Edmonton (AB),Salary: $54.52 hourly,2972247,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","11025 - 26 Avenue NW Edmonton , AB T6J 5V3",$ 54.52 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2972247,Day
4,regional sales manager,,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Tulnor Inc. dba NexGen IOT Solutions,Oakville (ON),Salary: $62.50 hourly,2940481,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': []}","Oakville , ON",$ 62.50 HOUR hourly / 37.5 hours per week,Permanent employment Full time,Starts as soon as possible,3,Job Bank #2940481,"Day, Evening, Morning"
5,sales planning manager,,"June 12, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 12, 2024",GREAT MOUNTAIN ENTERPRISES INC,Saskatoon (SK),Salary: $40.00 hourly,2956694,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Commission', 'Parking available']}","620 WELDON AVE Saskatoon , SK S7M 2T9",$ 40.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2956694,"Benefits:
					Financial benefits, Other benefits"
6,corporate sales manager,,"June 19, 2024",2024-07-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 19, 2024",HEXA CONTROL CANADA INC.,Calgary (AB),Salary: $54.60 hourly,2966376,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","#400 -  3115 12 STREET NE Calgary , AB T2E 7J2",$ 54.60 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2966376,"Day, Morning"
7,sales and distribution manager,,"June 13, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 13, 2024",Norden Windows And Doors Ltd.,Delta (BC),Salary: $56.30 hourly,2960322,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","Delta , BC",$ 56.30 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2960322,Day
8,area sales manager,,"June 12, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 12, 2024",9121-5152 Quebec Inc.,Mississauga (ON),Salary: $58.00 hourly,2957514,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Other benefits']}","4510 Eastgate Parkway Mississauga , ON L4W 3W6",$ 58.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2957514,"Benefits:
					Other benefits"
9,corporate sales manager,,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",4 J Logistics Inc.,Halifax (NS),Salary: $49.00 hourly,2961255,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Halifax , NS",$ 49.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2961255,"Day, Evening, Morning"
10,corporate sales manager,,"June 14, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Epsilon Solutions LTD.,Etobicoke (ON),Salary: $59.00 to $60.00 hourly (to be negotiated),2959991,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Etobicoke , ON",$ 59.00 to $ 60.00 HOUR hourly (To be negotiated) / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2959991,In-house position at the agency
11,"manager, sales and distribution",,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",Value Mobile,Woodbridge (ON),Salary: $47.00 hourly,2955787,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Parking available']}","643 Chrislea Road Woodbridge , ON L4L 8A3",$ 47.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2955787,"Benefits:
					Other benefits"
12,corporate sales manager,,"June 19, 2024",2024-07-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 19, 2024",Steelage construction ltd.,Surrey (BC),Salary: $54.00 hourly,2967280,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","12484 82 Avenue Surrey , BC V3W 3E9",$ 54.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2967280,Not specified
13,account manager - sales,,"June 10, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 10, 2024",Bwysk Strategies Inc.,Vancouver (BC),Salary: $53.85 hourly,2955060,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Vancouver , BC",$ 53.85 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2955060,Not specified
14,area sales manager,,"June 21, 2024",2024-07-21,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 21, 2024",REGISTON BUILDING RESTORATION LTD.,Mississauga (ON),Salary: $55.00 hourly,2968543,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Mississauga , ON",$ 55.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2968543,"Day, Evening, Flexible Hours, Early Morning, Morning"
15,corporate sales manager,,"June 14, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",Epsilon Solutions LTD.,Etobicoke (ON),Salary: $83.00 to $84.00 hourly (to be negotiated),2959983,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': []}","Etobicoke , ON",$ 83.00 to $ 84.00 HOUR hourly (To be negotiated) / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2959983,In-house position at the agency
16,national sales manager,,"June 14, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 14, 2024",ServiceMaster of Canada,Oakville (ON),"Salary: $65,000.00 to $75,000.00 annually (to be negotiated)",2959859,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Paramedical services coverage', 'Vision care benefits', 'Bonus', 'Life insurance', 'Mileage paid', 'Registered Retirement Savings Plan (RRSP)', 'Free parking available', 'Learning/training paid by employer', 'On-site amenities', 'On-site recreation and activities', 'Paid time off (volunteering or personal days)', 'Team building opportunities', 'Parking available', 'Travel insurance', 'Variable or compressed work week', 'Wellness program']}","Oakville , ON Remote work available","$ 65,000 to $ 75,000 YEAR annually (To be negotiated) / 150 to 170 hours per month",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2959859,"Benefits:
					Health benefits, Financial benefits, Other benefits"
