,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,sales supervisor,,"June 27, 2024",Not specified,,,,"June 27, 2024",James Perse,Toronto (ON),Salary not available,9340482589,https://ca.indeed.com/viewjob?jk=5a2d93be6cbf7c08&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9340482589,Not specified
1,sales supervisor,,"June 17, 2024",2024-07-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 17, 2024",Number 7 Sales Ltd.,Woodbridge (ON),$23.00 hourly,2963533,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Health care plan', 'Other benefits']}","5555 Highway 7 West Woodbridge , ON L4L 1T5",$ 23.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2963533,"Benefits:Health benefits, Other benefits"
2,sales supervisor - retail,Title posted on CareerBeacon -Special Services & Deliveries Supervisor (French Required),"June 08, 2024",2024-07-07,,,,"June 08, 2024",Home Depot,Boisbriand (QC),Salary not available,2072237,https://www.careerbeacon.com/en/job/2072237/home-depot/special-services-deliveries-supervisor-french-required/boisbriand?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Boisbriand , QC",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2072237,Not specified
3,grocery clerk supervisor,Title posted on CareerBeacon -Grocery Supervisor (FT),"June 18, 2024",2024-07-17,,,,"June 18, 2024",Thrifty Foods,Duncan (BC),Salary not available,2016005,https://www.careerbeacon.com/en/job/2016005/thrifty-foods/grocery-supervisor-ft/duncan?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Duncan , BC",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2016005,Not specified
4,sales supervisor - retail,Title posted on CareerBeacon -Department Supervisor Full Time - ORANGEVILLE,"June 04, 2024",2024-07-03,,,,"June 04, 2024",Home Depot,Orangeville (ON),Salary not available,2068116,https://www.careerbeacon.com/en/job/2068116/home-depot/department-supervisor-full-time-orangeville/orangeville?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Orangeville , ON",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2068116,Not specified
5,sales supervisor - retail,Title posted on CareerBeacon -Supervisor Grocery-FT,"June 27, 2024",2024-07-26,,,,"June 27, 2024",Thrifty Foods,Courtenay (BC),Salary not available,2088603,https://www.careerbeacon.com/en/job/2088603/thrifty-foods/supervisor-grocery-ft/courtenay?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Courtenay , BC",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2088603,Not specified
6,sales supervisor - retail,Title posted on CareerBeacon -Supervisor Grocery-FT,"June 21, 2024",2024-07-20,,,,"June 21, 2024",Thrifty Foods,Surrey (BC),Salary not available,2084104,https://www.careerbeacon.com/en/job/2084104/thrifty-foods/supervisor-grocery-ft/surrey?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2084104,Not specified
7,sales supervisor,,"June 27, 2024",2024-07-27,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 27, 2024",Acuity Immigration Services Inc,Delta (BC),$23.00 hourly,2978791,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Delta , BC Remote work available",$ 23.00 HOUR hourly / 30 to 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2978791,"Weekend, Early Morning"
8,sales supervisor,Title posted on Jobillico -Front End Supervisor (Bilingual),"June 17, 2024",2024-07-16,,,,"June 17, 2024",Home Depot of Canada Inc.,Vaudreuil-Dorion (QC),Salary not available,14028621,https://www.jobillico.com/en/job-offer/home-depot-of-canada-inc-.zTcmRh/front-end-supervisor-bilingual-/14028621?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vaudreuil-Dorion , QC",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #14028621,Not specified
9,sales supervisor - retail,,"June 15, 2024",2024-06-29,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 15, 2024",SIMPLE AUTO SALES & SERVICES L,Mississauga (ON),$22.00 hourly,2962565,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","Mississauga , ON",$ 22.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2962565,"Day, Evening, Weekend, Overtime, Morning"
