,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,social media manager,,"June 12, 2024",Not specified,,,,"June 12, 2024",Elegant Marketing,Surrey (BC),Salary: $18.36 to $28.61 hourly,9320357767,https://ca.indeed.com/viewjob?jk=26b4d059062e8e8c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",$ 18.36 to $ 28.61 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9320357767,Not specified
1,social media manager,,"June 11, 2024",Not specified,,,,"June 11, 2024",TuxMat Inc.,Toronto (ON),"Salary: $70,000.00 to $85,000.00 annually",9318552093,https://ca.indeed.com/viewjob?jk=7ed818a140d7939a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON","$ 70,000 to $ 85,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9318552093,Not specified
2,social media manager,,"June 05, 2024",Not specified,,,,"June 05, 2024",Glam Galaxy Cosmetics,Scarborough (ON),Salary: $18.00 to $20.00 hourly,9310228729,https://ca.indeed.com/viewjob?jk=89fe62da181fa131&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Scarborough , ON",$ 18.00 to $ 20.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9310228729,Not specified
3,social media manager,,"June 24, 2024",Not specified,,,,"June 24, 2024",TutorONE,Toronto (ON),Salary not available,9335162615,https://ca.indeed.com/viewjob?jk=0a36e357a9290804&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Part time,Starts as soon as possible,1 vacancy,indeed.com #9335162615,Not specified
4,social media manager,,"May 30, 2024",Not specified,,,,"May 30, 2024",Instawraps,Vaughan (ON),Salary: $24.00 to $32.00 hourly,9300474331,https://ca.indeed.com/viewjob?jk=060349f46b8393d9&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vaughan , ON",$ 24.00 to $ 32.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9300474331,Not specified
5,social media manager,,"June 21, 2024",Not specified,,,,"June 21, 2024",Xception Beauty Studio,Mississauga (ON),Salary: $16.55 to $20.00 hourly,9333150543,https://ca.indeed.com/viewjob?jk=713ba2454c1acfc7&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",$ 16.55 to $ 20.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9333150543,Not specified
6,social media manager,,"June 21, 2024",Not specified,,,,"June 21, 2024",Xception Beauty Studio,Mississauga (ON),Salary: $16.55 to $20.00 hourly,9333135156,https://ca.indeed.com/viewjob?jk=293e35c83013df06&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",$ 16.55 to $ 20.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9333135156,Not specified
7,social media manager,,"June 21, 2024",Not specified,,,,"June 21, 2024",Xception Beauty Studio,Mississauga (ON),Salary: $16.55 to $20.00 hourly,9333152110,https://ca.indeed.com/viewjob?jk=fbc35e82d057dadf&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",$ 16.55 to $ 20.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9333152110,Not specified
8,social media manager,,"June 06, 2024",2024-07-06,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 06, 2024",2333212 Alberta ltd,Edmonton (AB),Salary: $45.67 hourly,2949618,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","5071, 22 ave southwest Edmonton , AB T6X 1A4",$ 45.67 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2949618,"Day, Weekend"
9,social media manager,,"June 05, 2024",2024-07-04,,,,"June 05, 2024",Tecqify Solutions Inc.,Vancouver (BC),"Salary: $68,346.45 annually",4d5c65b235,https://www.ziprecruiter.com/k/t/AALkjrjVIwN_jx46Am4aro28zNKEQdFjZ30JDshvvxrOt3ldNiMComQ6vCxYoxaEKjJJDeSIgO2mKG6TElZNYDurqI_XzyG9jKXKxwwb1LsMeiOFB9VfRS3FQNkerrPIffWLj4gz46FrXiNAKTO__FYYDFoZtwFFKyx1pDMdJj-HCrDtQU4kLzsupYC4Kin-R5y_dKgo-KjL50l7PNbF7enLqwZ6OZSr4_Fn_uodUw4Vlro7Ex6gZVpwiMRojHYMXi-VRUZoxzeP-fD9RlhiEoCEWZtn_b5C55MrPitlOUQ_hDjOv80-FVWi2xM,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC","$ 68,346.45 YEAR annually",Not specified,Starts as soon as possible,1 vacancy,ZipRecruiter #4d5c65b235,Not specified
