,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,"engineer, software",,"June 22, 2024",2024-07-22,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 22, 2024",Explorer Group Canada Ltd.,Edmonton (AB),Salary: $48.30 hourly,2971617,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Edmonton , AB",$ 48.30 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2971617,"Day, Evening, Weekend, Morning"
1,software engineer,Title posted on Monster -DevOps Engineer,"June 13, 2024",2024-07-14,,,,"June 13, 2024",Epsilon Solutions LTD,Toronto (ON),Salary not available,24-00635-2304-1,https://job-openings.monster.ca/devops-engineer-toronto-on-ca-epsilon-solutions-ltd/50b92cee-2702-409c-9d1d-88f934691714?mescoid=1500131001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-00635-2304-1,Not specified
2,software engineer,Title posted on Monster -DevOps Engineer,"June 13, 2024",2024-07-14,,,,"June 13, 2024","J&M Group, Inc",Toronto (ON),Salary not available,24-01140-2282-1,https://job-openings.monster.ca/devops-engineer-toronto-on-ca-j-m-group-inc/a7750ae7-4313-455f-8f10-8c01ec8f0d85?mescoid=1500131001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-01140-2282-1,Not specified
3,"engineer, software","Title posted on Jobillico -Software Data Engineer, Apple Services Engineering","June 23, 2024",2024-07-22,,,,"June 23, 2024",Apple,Vancouver (BC),Salary not available,13862382,https://www.jobillico.com/en/job-offer/apple/software-data-engineer-apple-services-engineering/13862382?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #13862382,Not specified
4,software engineer,,"June 05, 2024",Not specified,,,,"June 05, 2024",EVACA,Burnaby (BC),Salary: $55.00 to $58.00 hourly,9311132682,https://ca.indeed.com/viewjob?jk=c9f436ed61176e85&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Burnaby , BC",$ 55.00 to $ 58.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9311132682,Not specified
5,software engineer,"Title posted on Monster -Software Engineer, Machine Learning (ASR), Automotive","June 15, 2024",2024-07-16,,,,"June 15, 2024",SoundHound AI,Toronto (ON),Salary not available,7490853002,https://job-openings.monster.ca/software-engineer-machine-learning-asr-automotive-toronto-on-ca-soundhound-ai/bc676fe3-64f6-4a57-833d-f201db37b2c6?mescoid=1500127001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #7490853002,Not specified
6,software engineer,"Title posted on Monster -Senior Software Engineer, Machine Learning (ASR), Automotive","June 15, 2024",2024-07-16,,,,"June 15, 2024",SoundHound AI,Toronto (ON),Salary not available,7491066002,https://job-openings.monster.ca/senior-software-engineer-machine-learning-asr-automotive-toronto-on-ca-soundhound-ai/38beec4b-8430-49d6-9ffb-d47888a0aaa2?mescoid=1500127001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #7491066002,Not specified
7,software engineer,Title posted on Monster -Senior Algorithm Software Engineer,"June 21, 2024",2024-07-22,,,,"June 21, 2024","Garmin International, Inc.",Cochrane (AB),Salary not available,3d5895a320fb450eb3bceb218a702594,https://job-openings.monster.ca/senior-algorithm-software-engineer-cochrane-ab-ca-garmin-international-inc/dbe22afc-15ae-4c6f-858f-460932a647bb?mescoid=1500127001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cochrane , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #3d5895a320fb450eb3bceb218a702594,Not specified
8,software engineer,,"June 15, 2024",2024-07-16,,,,"June 15, 2024",BRIGHTER STAFFING AGENCY,Vancouver (BC),Salary not available,1792124,https://job-openings.monster.ca/software-engineer-vancouver-bc-ca-brighter-staffing-agency/c9da9d1c-1b68-46e1-889a-99284c110124?mescoid=1500127001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #1792124,Not specified
9,software engineer,Title posted on Monster -Software Engineer Consultant Expert,"June 13, 2024",2024-07-14,,,,"June 13, 2024",Artech LLC,Kanata (ON),Salary not available,24-11580-87-1,https://job-openings.monster.ca/software-engineer-consultant-expert-kanata-on-ca-artech-llc/277b2546-c07c-4d11-946b-361825731ad6?mescoid=1500127001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kanata , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-11580-87-1,Not specified
