,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,stock clerk - retail,Title posted on Monster -Stock Clerk,"June 26, 2024",2024-07-27,,,,"June 26, 2024",Ardene,Pickering (ON),Salary not available,15489-316-SC-PT,https://job-openings.monster.ca/stock-clerk-pickering-on-ca-ardene/c95062a7-2c5b-4f9f-b20d-ae43aefff6e0?mescoid=4300743001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Pickering , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #15489-316-SC-PT,Not specified
1,stock clerk - retail,Title posted on Monster -Stock Clerk,"June 18, 2024",2024-07-19,,,,"June 18, 2024",Ardene,Brampton (ON),Salary not available,15400-235-SC-FT,https://job-openings.monster.ca/stock-clerk-brampton-on-ca-ardene/066eda1a-1e53-4502-a524-644b3d42398a?mescoid=4300743001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Brampton , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #15400-235-SC-FT,Not specified
2,stock clerk - retail,Title posted on Monster -Stock Clerk,"June 01, 2024",2024-07-02,,,,"June 01, 2024",Ardene,Prince Albert (SK),Salary not available,15267-125-SC-FT,https://job-openings.monster.ca/stock-clerk-prince-albert-sk-ca-ardene/6f494b08-57c1-42a1-9f6c-7a560d7e2722?mescoid=4300743001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Prince Albert , SK",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #15267-125-SC-FT,Not specified
3,stock clerk - retail,,"June 20, 2024",2024-07-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 20, 2024",Panah Bakery & Halal Meat,Calgary (AB),$16.50 hourly,2968828,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","318 - 3770 Westwinds Drive NE Calgary , AB T3J 5H3",$ 16.50 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2968828,Not specified
4,stock clerk - retail,,"June 13, 2024",2024-07-13,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 13, 2024",Sheng House Furnishings,Esterhazy (SK),$15.00 hourly,2960386,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","724 Park Ave. Esterhazy , SK S0A 0X0",$ 15.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2960386,"Day, Weekend, Shift"
5,stock clerks supervisor - retail,,"June 07, 2024",2024-07-07,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 07, 2024",A-Mart North Calgary,Calgary (AB),$21.89 hourly,2951486,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","#6112, 8650 112 AVE NW Calgary , AB T3R 0R5",$ 21.89 HOUR hourly / 30 to 44 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2951486,Not specified
6,stock clerk - retail,,"June 25, 2024",2024-07-25,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 25, 2024",BEAVER HILL LIQUOR STORE,Lac La Biche (AB),$16.50 hourly,2975310,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","Lac La Biche , AB",$ 16.50 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2975310,Not specified
7,stock clerk - retail,,"June 27, 2024",2024-07-27,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 27, 2024",PICK QUICK RETAIL INC,Vancouver (BC),$17.40 hourly,2978067,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","1022 Kingsway Vancouver , BC V5V 3C6",$ 17.40 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2978067,Not specified
8,stock clerk - retail,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",Sioux Lookout Home Hardware Building Centre,Sioux Lookout (ON),$16.55 to $18.55 hourly (to be negotiated),2955752,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': ['Health care plan']}","40 Alcona Drive Sioux Lookout , ON P8T 1B3",$ 16.55 to $ 18.55 HOUR hourly (To be negotiated) / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2955752,"Benefits:Health benefits"
9,stock clerk - retail,,"June 18, 2024",2024-07-18,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 18, 2024",Sandyridge Gas & Grocery,Grandora (SK),$15.00 hourly,2966146,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Grandora , SK",$ 15.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2966146,Not specified
