,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,assistant store manager,,"June 12, 2024",Not specified,,,,"June 12, 2024",Warehouse One - The Jean Store,Whitehorse (YT),$19.00 hourly,9320084141,https://ca.indeed.com/viewjob?jk=9a825d0ac6f0ddc0&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Whitehorse , YT",$ 19.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9320084141,Not specified
1,assistant store manager,Title posted on indeed.com -Assistant Store Manager - Temporary,"June 11, 2024",Not specified,,,,"June 11, 2024",Warehouse One - The Jean Store,Moose Jaw (SK),$16.50 hourly,9318327516,https://ca.indeed.com/viewjob?jk=9fe083d96f5cc265&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Moose Jaw , SK",$ 16.50 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9318327516,Not specified
2,store manager - retail,Title posted on indeed.com -Retail Store Manager,"June 22, 2024",Not specified,,,,"June 22, 2024",Being Human Markville Inc.,Markham (ON),$20.00 hourly,9334343263,https://ca.indeed.com/viewjob?jk=91db8ed6c4ec84fe&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Markham , ON",$ 20.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9334343263,Not specified
3,appliance store manager,Title posted on Jobillico -Store Manager,"June 23, 2024",2024-07-22,,,,"June 23, 2024",Stokes Inc. - Head Office,Kanata (ON),Salary not available,13232336,https://www.jobillico.com/en/job-offer/stokes-inc-head-office/store-manager/13232336?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kanata , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13232336,Not specified
4,assistant store manager,,"June 19, 2024",Not specified,,,,"June 19, 2024",Bath Depot / Bain Dépôt,Barrie (ON),"$35,817.13 to $55,877.90 annually",9329958002,https://ca.indeed.com/viewjob?jk=e8c4f8ac5b3bec30&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Barrie , ON","$ 35,817.13 to $ 55,877.9 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9329958002,Not specified
5,store manager - retail,"Title posted on Monster -Retail Assistant Store Manager - 111th Ave, Edmonton","June 19, 2024",2024-07-20,,,,"June 19, 2024",Canna Cabana,Edmonton (AB),Salary not available,814283,https://job-openings.monster.ca/retail-assistant-store-manager-111th-ave-edmonton-edmonton-ab-ca-canna-cabana/533a87a4-3420-4ad5-b4c5-cdec8dd883d0?mescoid=4100665001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #814283,Not specified
6,store manager - retail,Title posted on Monster -Retail Assistant Store Manager - Morden,"June 22, 2024",2024-07-23,,,,"June 22, 2024",Canna Cabana,Morden (MB),Salary not available,815890,https://job-openings.monster.ca/retail-assistant-store-manager-morden-morden-mb-ca-canna-cabana/e7db8e95-9979-421a-96d1-3f8859a10084?mescoid=4100665001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Morden , MB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #815890,Not specified
7,assistant store manager,,"June 18, 2024",Not specified,,,,"June 18, 2024",LABELS-Eastgate Square,Hamilton (ON),$16.55 to $17.50 hourly,9328060383,https://ca.indeed.com/viewjob?jk=416a9cee66df3835&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Hamilton , ON",$ 16.55 to $ 17.50 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9328060383,Not specified
8,general store manager,,"June 01, 2024",Not specified,,,,"June 01, 2024",Campden General Store,Campden (ON),$38.46 to $39.00 hourly,9304618405,https://ca.indeed.com/viewjob?jk=80d088be842f8d9e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Campden , ON",$ 38.46 to $ 39.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9304618405,Not specified
9,store manager - retail,Title posted on Monster -Assistant Store Manager - Government Street Canada,"June 19, 2024",2024-07-20,,,,"June 19, 2024",Eddie Bauer,Victoria (BC),Salary not available,c09004a2ccb7452ba81a206d4c0aba86,https://job-openings.monster.ca/assistant-store-manager-government-street-canada-victoria-bc-ca-eddie-bauer/66548902-b3fa-4e57-91a3-57e80eb5af78?mescoid=4100665001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #c09004a2ccb7452ba81a206d4c0aba86,Not specified
10,store manager - retail,Title posted on Monster -Assistant Store Manager,"June 20, 2024",2024-07-21,,,,"June 20, 2024",IIQAF,Cornwall (ON),Salary not available,176621,https://job-openings.monster.ca/assistant-store-manager-ontario-on-ca-iiqaf/b3013f4c-63bf-49ef-ba51-0c79c9f18de1?mescoid=4100665001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cornwall , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #176621,Not specified
11,assistant store manager,,"June 14, 2024",Not specified,,,,"June 14, 2024",True Religion Brand Jeans,Halton Hills (ON),$17.00 hourly,9323170665,https://ca.indeed.com/viewjob?jk=d34e070642d87614&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Halton Hills , ON",$ 17.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9323170665,Not specified
12,store manager - retail,Title posted on indeed.com -Retail Store Manager,"June 25, 2024",Not specified,,,,"June 25, 2024",Walking On A Cloud,Barrie (ON),$720.00 weekly,9337257444,https://ca.indeed.com/viewjob?jk=d00f2ac1436116fe&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Barrie , ON",$ 720 WEEKLY weekly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9337257444,Not specified
13,assistant store manager,,"June 12, 2024",Not specified,,,,"June 12, 2024",Tip Top Tailors Store - Bayshore Shopping Centre,Nepean (ON),Salary not available,9319817630,https://ca.indeed.com/viewjob?jk=b4a6595e94bf99f8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Nepean , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9319817630,Not specified
14,assistant store manager,,"June 20, 2024",Not specified,,,,"June 20, 2024",The Hunny Pot Cannabis Co,Toronto (ON),$21.00 hourly,9331399497,https://ca.indeed.com/viewjob?jk=10e080d112cb5700&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",$ 21.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9331399497,Not specified
15,store manager - retail,Title posted on Monster -Assistant Store Manager - Montréal,"June 20, 2024",2024-07-21,,,,"June 20, 2024",ANINE BING,Montréal (QC),Salary not available,b62a3af53180b63b091e40bfba285b11,https://job-openings.monster.ca/assistant-store-manager-montréal-montréal-qc-ca-anine-bing/ed7c737d-c704-46fc-be0e-8ae298d2d843?mescoid=4100665001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #b62a3af53180b63b091e40bfba285b11,Not specified
