,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,tax specialist,Title posted on Jobillico -Compliance Tax Specialist,"June 10, 2024",2024-07-09,,,,"June 10, 2024",Fed Finance,Montréal (QC),"Salary: $70,000.00 to $90,000.00 annually",13980666,https://www.jobillico.com/en/job-offer/fed-finance/compliance-tax-specialist/13980666?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC","$ 70,000 to $ 90,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13980666,Not specified
1,tax specialist,,"June 17, 2024",2024-07-16,,,,"June 17, 2024",Fed Finance,Longueuil (QC),"Salary: $70,000.00 to $110,000.00 annually",14027784,https://www.jobillico.com/en/job-offer/fed-finance/tax-specialist/14027784?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Longueuil , QC","$ 70,000 to $ 110,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #14027784,Not specified
2,tax specialist,,"June 18, 2024",2024-07-19,,,,"June 18, 2024","Forvis Mazars, Canada",Montréal (QC),Salary not available,39005en,https://job-openings.monster.ca/tax-specialist-montréal-qc-ca-forvis-mazars-canada/e2a23043-29a2-4c30-85d8-f07c68cd1a7b?mescoid=1300116001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #39005en,Not specified
3,tax specialist,,"June 07, 2024",2024-07-08,,,,"June 07, 2024",Elite Call Support Center,Toronto (ON),Salary not available,285,https://job-openings.monster.ca/tax-specialist-toronto-on-ca-elite-call-support-center/60db4815-2168-4ee3-a8c5-456c59cdaa85?mescoid=1300116001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #285,Not specified
4,tax specialist,Title posted on Jobillico -Compliance Tax Specialist,"June 10, 2024",2024-07-09,,,,"June 10, 2024",Fed Finance,Montréal (QC),Salary not available,13980660,https://www.jobillico.com/en/job-offer/fed-finance/compliance-tax-specialist/13980660?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #13980660,Not specified
5,tax specialist,,"June 17, 2024",2024-07-16,,,,"June 17, 2024",Fed Finance,Longueuil (QC),Salary not available,14027781,https://www.jobillico.com/en/job-offer/fed-finance/tax-specialist/14027781?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Longueuil , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #14027781,Not specified
6,tax specialist,,"June 20, 2024",Not specified,,,,"June 20, 2024",Chartered Professional Accountants,Mississauga (ON),Salary not available,9331863487,https://ca.indeed.com/viewjob?jk=226db650575c3be6&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9331863487,Not specified
7,income tax expert,Title posted on Jobillico -Operational Tax Associate Director,"June 19, 2024",2024-07-18,,,,"June 19, 2024",National Bank,Montréal (QC),Salary not available,13630785,https://www.jobillico.com/en/job-offer/national-bank/operational-tax-associate-director/13630785?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13630785,Not specified
8,tax specialist,,"March 31, 2024",2024-06-25,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 31, 2024",Fernandez Young LLP,Vancouver (BC),Salary: $38.46 hourly,2859150,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Vancouver , BC",$ 38.46 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2859150,Not specified
9,tax specialist,,"April 23, 2024",2024-07-20,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 23, 2024",KPMG LLP,Calgary (AB),"Salary: $73,000.00 to $110,000.00 annually (to be negotiated)",2885831,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': []}","Calgary , AB","$ 73,000 to $ 110,000 YEAR annually (To be negotiated) / 37.5 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2885831,Not specified
10,income tax expert,,"June 01, 2024",2024-06-30,,,,"June 01, 2024",Levy Pilotte S.E.N.C.R.L.,Montréal (QC),Salary not available,13517073,https://www.jobillico.com/en/job-offer/levy-pilotte-sencrl/tax-specialist/13517073?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Permanent employment,Starts as soon as possible,1 vacancy,Jobillico #13517073,Not specified
11,tax specialist,,"June 18, 2024",2024-07-19,,,,"June 18, 2024","Forvis Mazars, Canada",Montréal (QC),Salary not available,39005fr,https://job-openings.monster.ca/fiscaliste-montréal-qc-ca-forvis-mazars-canada/51ed2079-4678-472e-9afb-e6c97a8905d1?mescoid=1300116001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #39005fr,Not specified
12,tax specialist,,"June 06, 2024",2024-07-07,,,,"June 06, 2024",American Iron and Metal,Montréal-Est (QC),Salary not available,79847383-b425-4759-a83e-4be7995d4a55,https://job-openings.monster.ca/tax-specialist-montréal-est-qc-ca-american-iron-metal/be035b54-5212-4f88-a9f1-931ff4e17745?mescoid=1300116001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal-Est , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #79847383-b425-4759-a83e-4be7995d4a55,Not specified
13,tax specialist,Title posted on Monster -Fiscaliste en conformité,"June 04, 2024",2024-07-05,,,,"June 04, 2024",FBL S.E.N.C.R.L,Montréal (QC),Salary not available,MDRvNDFwMjJZb09WUm9MeUlmNjVrdz09fr,https://job-openings.monster.ca/fiscaliste-en-conformité-montréal-qc-ca-fbl-s-e-n-c-r-l/6f5e175e-7515-4b23-8cac-653f976c3e52?mescoid=1300116001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #MDRvNDFwMjJZb09WUm9MeUlmNjVrdz09fr,Not specified
14,income tax expert,Title posted on Québec emploi -Fiscaliste ? Montréal ? Hybride ? Salaire annuel jusqu?à 120 000 $,"June 19, 2024",2024-07-26,,,,"June 19, 2024",UMAN RECRUTEMENT INC.,Montréal (QC),"Salary: $85,000.00 annually",449184,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=449184,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC","$ 85,000 YEAR annually / 37.5 hours per week",Permanent employment Full time,Starts as soon as 2024-07-19,1 vacancy,Québec emploi #449184,In-house position at the agency
15,income tax expert,,"June 17, 2024",2024-07-16,,,,"June 17, 2024",Fed Finance,Longueuil (QC),"Salary: $70,000.00 to $110,000.00 annually",14027775,https://www.jobillico.com/en/job-offer/fed-finance/fiscaliste/14027775?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Longueuil , QC","$ 70,000 to $ 110,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #14027775,Not specified
16,income tax expert,,"June 16, 2024",2024-07-15,,,,"June 16, 2024",dupuis,Joliette (QC),"Salary: $100,000.00 to $120,000.00 annually",13832211,https://www.jobillico.com/en/job-offer/dupuis/fiscaliste/13832211?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Joliette , QC","$ 100,000 to $ 120,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13832211,In-house position at the agency
17,income tax expert,,"June 13, 2024",2024-07-12,,,,"June 13, 2024",Fed Finance,Saint-Hyacinthe (QC),"Salary: $80,000.00 to $100,000.00 annually",14006856,https://www.jobillico.com/en/job-offer/fed-finance/fiscaliste/14006856?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Hyacinthe , QC","$ 80,000 to $ 100,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #14006856,Not specified
18,income tax expert,Title posted on Québec emploi -Directeur fiscalité,"June 20, 2024",2024-07-31,,,,"June 20, 2024",Bénéfik Inc.,Plessisville (QC),Salary: $1.00 hourly,449356,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=449356,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Plessisville , QC",$1.00 hourly / 37.5 hours per week,Permanent employment Full time,Starts as soon as 2024-09-05,1 vacancy,Québec emploi #449356,Not specified
