,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,"agent, travel",Title posted on indeed.com -Travel Agent,"May 28, 2024",Not specified,,,,"May 28, 2024",Maple Leaf Tours,Kingston (ON),Salary not available,9297423760,https://ca.indeed.com/viewjob?jk=643f69fc96030f4e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kingston , ON",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9297423760,Not specified
1,travel agent,,"June 18, 2024",2024-07-02,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 18, 2024",Qualitour Holiday Inc.,Vancouver (BC),Salary: $17.40 to $20.00 hourly (to be negotiated),2966133,,"{'Language Requirement': 'English', 'Experience Requirement': '3 years to less than 5 years', 'Benefits': ['Commission', 'Variable or compressed work week']}","5635 Cambie St. Vancouver , BC V5Z 3A3",$ 17.40 to $ 20.00 HOUR hourly (To be negotiated) / 30 hours per week,Term or contract Full time,Starts as soon as possible,1 vacancy,Job Bank #2966133,"Benefits:
					Financial benefits, Other benefits"
2,travel agent,,"April 25, 2024",2024-07-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 25, 2024",Continental Travel Group Ltd.,Winnipeg (MB),"Salary: $40,000.00 to $70,000.00 annually (to be negotiated)",2893561,,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Dental plan', 'Disability benefits', 'Health care plan', 'Vision care benefits', 'Bonus', 'Group insurance benefits', 'Life insurance', 'Pension plan', 'Registered Retirement Savings Plan (RRSP)', 'Long-term care insurance', 'Maternity and parental benefits', 'Deferred Profit Sharing Plan (DPSP)', 'Free parking available', 'Learning/training paid by employer', 'Other benefits', 'Paid time off (volunteering or personal days)']}","1345 Portage Avenue Winnipeg , MB R3G 0V7","$ 40,000 to $ 70,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as 2024-09-02,6,Job Bank #2893561,"Benefits:
					Health benefits, Financial benefits, Long term benefits, Other benefits"
3,travel agent,,"March 11, 2024",2024-07-09,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 11, 2024",Royal Star Insurance & Travel Ltd,Edmonton (AB),Salary: $25.51 hourly,2830335,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': []}","Edmonton , AB",$ 25.51 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2830335,Not specified
4,travel agent,,"June 10, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 10, 2024",IMPERIAL HOSPITALITY CONSULTING,Edmonton (AB),Salary: $28.85 hourly,2953447,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Edmonton , AB",$ 28.85 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2953447,"Day, Weekend, Early Morning, Morning"
5,travel agent,,"June 10, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 10, 2024",IMPERIAL HOSPITALITY CONSULTING,Red Deer (AB),Salary: $28.85 hourly,2953444,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Red Deer , AB",$ 28.85 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2953444,"Day, Weekend, Early Morning, Morning"
6,travel agent,,"June 06, 2024",2024-07-05,,,,"June 06, 2024",Expedia Cruises LaSalle,LaSalle (QC),"Salary: $20,000.00 to $80,000.00 annually",11123001,https://www.jobillico.com/en/job-offer/expedia-cruises-lasalle/travel-agent/11123001?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","LaSalle , QC","$ 20,000 to $ 80,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,4,Jobillico #11123001,Not specified
7,"agent, travel",,"April 19, 2024",2024-07-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 19, 2024",Terres d'Aventure,Montréal (QC),"Salary: $40,000.00 to $43,000.00 annually (to be negotiated)",2885164,,"{'Language Requirement': 'Bilingual', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': ['Group insurance benefits', 'Learning/training paid by employer', 'Parking available']}","Montréal , QC Remote work available","$ 40,000 to $ 43,000 YEAR annually (To be negotiated) / 37.5 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2885164,"Benefits:
					Financial benefits, Other benefits"
8,travel agent,,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",PUNJAB TRAVELS INC.,Edmonton (AB),Salary: $25.51 hourly,2938842,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","5177 55 AVE NW Edmonton , AB T6B 3V1",$ 25.51 HOUR hourly / 32 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2938842,"Day, Weekend"
9,travel agent,,"March 06, 2024",2024-07-04,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 06, 2024",Top Canada Tours Ltd.,Calgary (AB),Salary: $28.85 hourly,2826034,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': ['Free parking available', 'Other benefits', 'Team building opportunities']}","Calgary , AB",$ 28.85 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2826034,"Benefits:
					Other benefits"
10,travel agent,,"March 02, 2024",2024-06-30,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 02, 2024",Mystica Tours Inc,Edmonton (AB),Salary: $22.00 hourly,2820907,,"{'Language Requirement': 'English', 'Experience Requirement': 'Will train', 'Benefits': ['Commission']}","Edmonton , AB",$ 22.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2820907,"Benefits:
					Financial benefits"
11,booking agent - travel agency,,"May 20, 2024",2024-07-14,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 20, 2024","BLUE BIRD TRAVEL, INC.",Burnaby (BC),Salary: $25.00 hourly,2925828,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Burnaby , BC",$ 25.00 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2925828,"Day, Weekend, Overtime, Morning"
