,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,tutor - secondary school subjects,,"May 28, 2024",2024-06-27,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 28, 2024",Roboplanet Education and Community Society,Richmond (BC),Salary: $20.00 hourly,2936408,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","7080 River Road suite 201 Richmond , BC V6X 1X5",$ 20.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2936408,Not specified
1,tutor - elementary school subjects,Title posted on Jobillico --196: Summer Tutor- Reading and or Math (Grades 1-8),"June 08, 2024",2024-07-07,,,,"June 08, 2024",Bruce-Grey Catholic District School Board,Hanover (ON),Salary not available,13973604,https://www.jobillico.com/en/job-offer/bruce-grey-catholic-district-school-board/2024-196-summer-tutor-reading-and-or-math-grades-1-8-/13973604?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Hanover , ON",Not available,Term or contract,Starts as soon as possible,1 vacancy,Jobillico #13973604,Not specified
2,tutor - secondary school subjects,,"May 23, 2024",2024-06-27,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 23, 2024",Kumon Albion Mall,Etobicoke (ON),Salary: $21.00 hourly,2930208,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","1530 Albion Road Etobicoke , ON M9V 1B4",$ 21.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2930208,Not specified
3,tutor - secondary school subjects,,"June 12, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 12, 2024",Funtasy Education Inc.,Richmond Hill (ON),Salary: $28.40 hourly,2957499,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","10030 Yonge St, Richmond Hill , ON L4C 1T8",$ 28.40 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2957499,Not specified
4,tutor - secondary school subjects,,"June 12, 2024",2024-07-12,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 12, 2024",Topclass Education Inc.,Vancouver (BC),Salary: $30.00 hourly,2958725,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Vancouver , BC",$ 30.00 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2958725,Not specified
5,tutor - elementary school subjects,Title posted on Jobillico -After School Tutors for Grade 8-10 and Grade 11-12,"May 31, 2024",2024-06-29,,,,"May 31, 2024",Gitksan / Wet?suwet?en,Kitwanga (BC),Salary not available,13705206,https://www.jobillico.com/en/job-offer/gitksan-wet-suwet-en/after-school-tutors-for-grade-8-10-and-grade-11-12/13705206?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kitwanga , BC",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13705206,Not specified
6,tutor - secondary school subjects,,"May 16, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 16, 2024",1000677913 ONTARIO INC.,Brampton (ON),Salary: $28.40 hourly,2918671,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Brampton , ON Remote work available",$ 28.40 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2918671,Not specified
7,tutor - secondary school subjects,,"May 03, 2024",2024-07-10,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 03, 2024",Luminary Nexus Markham,Richmond Hill (ON),Salary: $28.40 hourly,2902480,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Richmond Hill , ON Remote work available",$ 28.40 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2902480,Not specified
8,tutor - elementary school subjects,,"April 22, 2024",2024-07-09,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 22, 2024",Dundas West Runnymede Kumon,York (ON),Salary: $20.00 hourly,2889451,,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","York , ON",$ 20.00 HOUR hourly / 30 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2889451,"Day, Evening, Weekend"
9,tutor - elementary school subjects,,"June 11, 2024",2024-07-11,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 11, 2024",Code Ninjas,Saskatoon (SK),Salary: $28.71 hourly,2957208,,"{'Language Requirement': 'English', 'Experience Requirement': '7 months to less than 1 year', 'Benefits': []}","1844 McOrmond Drive Saskatoon , SK S7S 0A5",$ 28.71 HOUR hourly / 32 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2957208,Not specified
