,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,"manager, warehouse",Title posted on indeed.com -Warehouse Manager(Mandarin),"June 26, 2024",Not specified,,,,"June 26, 2024",Lecangs,Toronto (ON),"$50,046.21 to $80,560.86 annually",9338053237,https://ca.indeed.com/viewjob?jk=aacec2975e931846&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON","$ 50,046.21 to $ 80,560.86 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9338053237,Not specified
1,"manager, warehouse",Title posted on indeed.com -Warehouse Manager,"June 25, 2024",Not specified,,,,"June 25, 2024",Pro-Line Building Materials,Surrey (BC),$28.00 to $32.00 hourly,9337300021,https://ca.indeed.com/viewjob?jk=61eb9aee50037ceb&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",$ 28.00 to $ 32.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9337300021,Not specified
2,"manager, warehouse",Title posted on indeed.com -Warehouse Manager,"June 26, 2024",Not specified,,,,"June 26, 2024",Total Tire Distributors Inc.,Ottawa (ON),"$65,000.00 to $70,000.00 annually",9339083235,https://ca.indeed.com/viewjob?jk=095a5d0427a0e6b7&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON","$ 65,000 to $ 70,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9339083235,Not specified
3,"manager, warehouse",Title posted on indeed.com -Warehouse Manager,"June 20, 2024",Not specified,,,,"June 20, 2024",Interstate Batteries,Langley (BC),"$65,000.00 to $75,000.00 annually",9331641781,https://ca.indeed.com/viewjob?jk=5ef04b3d86aeae79&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Langley , BC","$ 65,000 to $ 75,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9331641781,Not specified
4,warehouse manager,,"June 17, 2024",2024-07-16,,,,"June 17, 2024",Brassex Inc.,Mississauga (ON),$30.22 hourly,aac8adc8,https://www.ziprecruiter.com/k/t/AAJYmuna-XDHQ3VZmsDV5Y6ZX7pdcbbiifu3XwNKyADlaaiWNv_fIZqYn1fKujjg-z5TBlKv8kdcTq18bBFlaVAsaGtdRFG2MJ4rLWpCxBYeHyGPfPV1kN4Lh39C7TEcAB7jS8mKtwKzork69hF1dVuimlD01E9vLe1QdQee8fLlscg4HhmniayYRZ7jMF6u7xc_YRbkO3oX-RkPtHQUvwCaVwftyhQh_BwTqpCT1McBCFxGbGWOPKE44HdUbVCG8wBjWUmopCh88A8ZNQOfi7zxMfJM-ilClSOi3Q,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",$ 30.22 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #aac8adc8,Not specified
5,"manager, warehouse",Title posted on indeed.com -Warehouse Manager,"June 07, 2024",Not specified,,,,"June 07, 2024",ScanDesigns and Muse & Merchant,Coquitlam (BC),"$7,000.00 monthly",9314683385,https://ca.indeed.com/viewjob?jk=7fafd661c4e1be4f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Coquitlam , BC","$ 7,000 MONTH monthly",Full time,Starts as soon as possible,1 vacancy,indeed.com #9314683385,Not specified
6,"manager, warehouse",Title posted on indeed.com -Warehouse Manager,"June 25, 2024",Not specified,,,,"June 25, 2024",Maple Supply Chain Management Inc.,Markham (ON),"$60,000.00 to $80,000.00 annually",9337678001,https://ca.indeed.com/viewjob?jk=821f156534fbc216&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Markham , ON","$ 60,000 to $ 80,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9337678001,Not specified
7,"manager, warehouse",Title posted on indeed.com -Warehouse Manager,"June 06, 2024",Not specified,,,,"June 06, 2024",Robertson Electric Wholesale,Vaughan (ON),"$60,000.00 annually",9312181248,https://ca.indeed.com/viewjob?jk=7a8efa8edbf79015&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vaughan , ON","$ 60,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9312181248,Not specified
8,assistant warehouse manager,Title posted on indeed.com -Warehouse Assistant Manager,"June 26, 2024",Not specified,,,,"June 26, 2024",Total Tire Distributors Inc.,Calgary (AB),$20.00 to $23.00 hourly,9339078449,https://ca.indeed.com/viewjob?jk=a5f220d3ed93eee7&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 20.00 to $ 23.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9339078449,Not specified
9,"manager, warehouse",Title posted on indeed.com -Warehouse Manager,"June 06, 2024",Not specified,,,,"June 06, 2024",Blinds To Go,Mississauga (ON),"$60,000.00 to $80,000.00 annually",9312638251,https://ca.indeed.com/viewjob?jk=31a1fec485d2b8a0&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON","$ 60,000 to $ 80,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9312638251,Not specified
