,Job Title,Original Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,Web designer,Title posted on indeed.com -UX UI Web Designer,"June 17, 2024",Not specified,,,,"June 17, 2024",SOS Media Corp,Edmonton (AB),"$46,800.00 to $55,000.00 annually",9327069625,https://ca.indeed.com/viewjob?jk=77fe6a510bfd4ec4&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB","$ 46,800 to $ 55,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9327069625,Not specified
1,Web designer,,"June 23, 2024",Not specified,,,,"June 23, 2024",Ark Renewable Energy,Calgary (AB),$32.50 to $40.00 hourly,9334626574,https://ca.indeed.com/viewjob?jk=12c294d1b3591448&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 32.50 to $ 40.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9334626574,Not specified
2,Web designer,,"June 06, 2024",2024-07-06,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 06, 2024",2188136 Alberta LTD,Edmonton (AB),$30.00 hourly,2949739,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","Edmonton , AB",$ 30.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2949739,Not specified
3,Web designer,,"May 10, 2024",2024-07-22,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 10, 2024",EVO-IN-MOTION Technology,Richmond (BC),$30.50 to $32.00 hourly (to be negotiated),2915233,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","Richmond , BC",$ 30.50 to $ 32.00 HOUR hourly (To be negotiated) / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2915233,Not specified
4,Web designer,,"June 17, 2024",2024-07-17,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 17, 2024",2213690 Ontario Inc,Burlington (ON),$35.00 to $37.00 hourly (to be negotiated),2963253,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': ['Free parking available']}","Burlington , ON",$ 35.00 to $ 37.00 HOUR hourly (To be negotiated) / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2963253,"Benefits:Other benefits"
5,Web designer,Title posted on Monster -Graphic Web Designer,"June 13, 2024",2024-07-14,,,,"June 13, 2024","J&M Group, Inc",Mississauga (ON),Salary not available,24-00749-2282-1,https://job-openings.monster.ca/graphic-web-designer-mississauga-on-ca-j-m-group-inc/cd3ac992-460d-49d9-9f9f-8abf95231d85?mescoid=1500129001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #24-00749-2282-1,Not specified
6,Web designer,,"June 24, 2024",2024-07-24,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 24, 2024",Charsobe Food Group Ltd,Abbotsford (BC),$30.29 hourly,2973855,,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Abbotsford , BC",$ 30.29 HOUR hourly / 35 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2973855,Shift
7,Web designer,,"April 03, 2024",2024-06-30,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"April 03, 2024",Cloud hut Technologies,Edmonton (AB),$31.64 hourly,2864136,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","1206 16 A Street NW Edmonton , AB T6T 2S5",$ 31.64 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2864136,"Day, Morning"
8,Web designer,,"June 03, 2024",2024-07-03,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"June 03, 2024",Podium Catchers Consultant Inc.,Vancouver (BC),$28.50 hourly,2944810,,"{'Language Requirement': 'English', 'Experience Requirement': '2 years to less than 3 years', 'Benefits': []}","68 Water Street suite 401 Vancouver , BC V6B 1A4",$ 28.50 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2944810,"Day, Evening, Flexible Hours, Morning"
9,Web designer,,"March 25, 2024",2024-07-19,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"March 25, 2024",One Basis Solutions Inc.,Brampton (ON),$33.46 to $36.00 hourly (to be negotiated),2850067,,"{'Language Requirement': 'English', 'Experience Requirement': '1 to less than 7 months', 'Benefits': []}","Brampton , ON",$ 33.46 to $ 36.00 HOUR hourly (To be negotiated) / 30 to 35 hours per week,Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2850067,Not specified
